n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
8,20,0.000298188,1,0.000298188,0.000298188,0.000298188,7,1,7,7,7
8,20,0.000230255,1,0.000230255,0.000230255,0.000230255,4,1,4,4,4
8,20,0.00024252,1,0.00024252,0.00024252,0.00024252,5,1,5,5,5
8,20,0.00024476,1,0.00024476,0.00024476,0.00024476,5,1,5,5,5
8,20,0.000253832,1,0.000253832,0.000253832,0.000253832,5,1,5,5,5
8,20,0.000276613,1,0.000276613,0.000276613,0.000276613,6,1,6,6,6
8,20,0.000290185,1,0.000290185,0.000290185,0.000290185,5,1,5,5,5
8,20,0.000227943,1,0.000227943,0.000227943,0.000227943,3,1,3,3,3
8,20,0.000155345,1,0.000155345,0.000155345,0.000155345,2,1,2,2,2
8,20,0.000365254,1,0.000365254,0.000365254,0.000365254,12,1,12,12,12
8,20,0.000277195,1,0.000277195,0.000277195,0.000277195,8,1,8,8,8
8,20,0.000200733,1,0.000200733,0.000200733,0.000200733,3,1,3,3,3
8,20,0.000237104,1,0.000237104,0.000237104,0.000237104,5,1,5,5,5
8,20,0.000169376,1,0.000169376,0.000169376,0.000169376,3,1,3,3,3
8,20,0.000518151,1,0.000518151,0.000518151,0.000518151,15,1,15,15,15
8,20,0.00028502,1,0.00028502,0.00028502,0.00028502,7,1,7,7,7
8,20,0.000299624,1,0.000299624,0.000299624,0.000299624,8,1,8,8,8
8,20,0.000352642,1,0.000352642,0.000352642,0.000352642,11,1,11,11,11
8,20,0.000304749,1,0.000304749,0.000304749,0.000304749,7,1,7,7,7
8,20,0.000197849,1,0.000197849,0.000197849,0.000197849,3,1,3,3,3
8,20,0.000272555,1,0.000272555,0.000272555,0.000272555,5,1,5,5,5
8,20,0.000161415,1,0.000161415,0.000161415,0.000161415,2,1,2,2,2
8,20,0.000291596,1,0.000291596,0.000291596,0.000291596,5,1,5,5,5
8,20,0.000456758,1,0.000456758,0.000456758,0.000456758,13,1,13,13,13
8,20,0.000203143,1,0.000203143,0.000203143,0.000203143,4,1,4,4,4
8,20,0.000264023,1,0.000264023,0.000264023,0.000264023,5,1,5,5,5
8,20,0.000268853,1,0.000268853,0.000268853,0.000268853,6,1,6,6,6
8,20,0.000494225,1,0.000494225,0.000494225,0.000494225,14,1,14,14,14
8,20,0.000224419,1,0.000224419,0.000224419,0.000224419,5,1,5,5,5
8,20,0.000290891,1,0.000290891,0.000290891,0.000290891,8,1,8,8,8
8,20,0.000201042,1,0.000201042,0.000201042,0.000201042,3,1,3,3,3
8,20,0.000166174,1,0.000166174,0.000166174,0.000166174,2,1,2,2,2
8,20,0.000223067,1,0.000223067,0.000223067,0.000223067,4,1,4,4,4
8,20,0.000241874,1,0.000241874,0.000241874,0.000241874,4,1,4,4,4
8,20,0.000213704,1,0.000213704,0.000213704,0.000213704,4,1,4,4,4
8,20,0.000281725,1,0.000281725,0.000281725,0.000281725,7,1,7,7,7
8,20,0.000496609,1,0.000496609,0.000496609,0.000496609,13,1,13,13,13
8,20,0.000184765,1,0.000184765,0.000184765,0.000184765,3,1,3,3,3
8,20,0.000254742,1,0.000254742,0.000254742,0.000254742,5,1,5,5,5
8,20,0.000151271,1,0.000151271,0.000151271,0.000151271,2,1,2,2,2
8,20,0.000201991,1,0.000201991,0.000201991,0.000201991,4,1,4,4,4
8,20,0.000307078,1,0.000307078,0.000307078,0.000307078,5,1,5,5,5
8,20,0.000463988,1,0.000463988,0.000463988,0.000463988,14,1,14,14,14
8,20,0.000153901,1,0.000153901,0.000153901,0.000153901,2,1,2,2,2
8,20,0.000177817,1,0.000177817,0.000177817,0.000177817,3,1,3,3,3
8,20,0.000232169,1,0.000232169,0.000232169,0.000232169,5,1,5,5,5
8,20,0.000326606,1,0.000326606,0.000326606,0.000326606,8,1,8,8,8
8,20,0.000202048,1,0.000202048,0.000202048,0.000202048,3,1,3,3,3
8,20,0.000279591,1,0.000279591,0.000279591,0.000279591,6,1,6,6,6
8,20,0.00040733,1,0.00040733,0.00040733,0.00040733,11,1,11,11,11
8,20,0.000200792,1,0.000200792,0.000200792,0.000200792,4,1,4,4,4
8,20,0.000247421,1,0.000247421,0.000247421,0.000247421,4,1,4,4,4
8,20,0.000234604,1,0.000234604,0.000234604,0.000234604,5,1,5,5,5
8,20,0.000210743,1,0.000210743,0.000210743,0.000210743,4,1,4,4,4
8,20,0.000167247,1,0.000167247,0.000167247,0.000167247,3,1,3,3,3
8,20,0.000209419,1,0.000209419,0.000209419,0.000209419,4,1,4,4,4
8,20,0.000229899,1,0.000229899,0.000229899,0.000229899,4,1,4,4,4
8,20,0.000205829,1,0.000205829,0.000205829,0.000205829,3,1,3,3,3
8,20,0.00020389,1,0.00020389,0.00020389,0.00020389,3,1,3,3,3
8,20,0.000214799,1,0.000214799,0.000214799,0.000214799,4,1,4,4,4
8,20,0.000283883,1,0.000283883,0.000283883,0.000283883,7,1,7,7,7
8,20,0.000177739,1,0.000177739,0.000177739,0.000177739,3,1,3,3,3
8,20,0.000291666,1,0.000291666,0.000291666,0.000291666,8,1,8,8,8
8,20,0.000303062,1,0.000303062,0.000303062,0.000303062,9,1,9,9,9
8,20,0.000257405,1,0.000257405,0.000257405,0.000257405,6,1,6,6,6
8,20,0.000479057,1,0.000479057,0.000479057,0.000479057,13,1,13,13,13
8,20,0.000394351,1,0.000394351,0.000394351,0.000394351,11,1,11,11,11
8,20,0.000169245,1,0.000169245,0.000169245,0.000169245,3,1,3,3,3
8,20,0.000261165,1,0.000261165,0.000261165,0.000261165,6,1,6,6,6
8,20,0.00029413,1,0.00029413,0.00029413,0.00029413,6,1,6,6,6
8,20,0.000357166,1,0.000357166,0.000357166,0.000357166,10,1,10,10,10
8,20,0.000343601,1,0.000343601,0.000343601,0.000343601,9,1,9,9,9
8,20,0.000235268,1,0.000235268,0.000235268,0.000235268,5,1,5,5,5
8,20,0.000340306,1,0.000340306,0.000340306,0.000340306,6,1,6,6,6
8,20,0.000542845,1,0.000542845,0.000542845,0.000542845,16,1,16,16,16
8,20,0.00018317,1,0.00018317,0.00018317,0.00018317,3,1,3,3,3
8,20,0.000158574,1,0.000158574,0.000158574,0.000158574,2,1,2,2,2
8,20,0.000201507,1,0.000201507,0.000201507,0.000201507,4,1,4,4,4
8,20,0.0001844,1,0.0001844,0.0001844,0.0001844,3,1,3,3,3
8,20,0.00036695,1,0.00036695,0.00036695,0.00036695,9,1,9,9,9
8,20,0.000226514,1,0.000226514,0.000226514,0.000226514,4,1,4,4,4
8,20,0.000150278,1,0.000150278,0.000150278,0.000150278,2,1,2,2,2
8,20,0.000176499,1,0.000176499,0.000176499,0.000176499,3,1,3,3,3
8,20,0.000300486,1,0.000300486,0.000300486,0.000300486,8,1,8,8,8
8,20,0.000303363,1,0.000303363,0.000303363,0.000303363,8,1,8,8,8
8,20,0.0003169,1,0.0003169,0.0003169,0.0003169,7,1,7,7,7
8,20,0.000297098,1,0.000297098,0.000297098,0.000297098,8,1,8,8,8
8,20,0.000381294,1,0.000381294,0.000381294,0.000381294,9,1,9,9,9
8,20,0.000253073,1,0.000253073,0.000253073,0.000253073,5,1,5,5,5
8,20,0.000152932,1,0.000152932,0.000152932,0.000152932,2,1,2,2,2
8,20,0.000249189,1,0.000249189,0.000249189,0.000249189,6,1,6,6,6
8,20,0.000203327,1,0.000203327,0.000203327,0.000203327,3,1,3,3,3
8,20,0.00019403,1,0.00019403,0.00019403,0.00019403,3,1,3,3,3
8,20,0.000193045,1,0.000193045,0.000193045,0.000193045,3,1,3,3,3
8,20,0.000296992,1,0.000296992,0.000296992,0.000296992,8,1,8,8,8
8,20,0.000290673,1,0.000290673,0.000290673,0.000290673,7,1,7,7,7
8,20,0.000279375,1,0.000279375,0.000279375,0.000279375,7,1,7,7,7
8,20,0.000219293,1,0.000219293,0.000219293,0.000219293,5,1,5,5,5
8,20,0.000192179,1,0.000192179,0.000192179,0.000192179,3,1,3,3,3
8,20,0.000296042,1,0.000296042,0.000296042,0.000296042,5,1,5,5,5
8,20,0.000201584,1,0.000201584,0.000201584,0.000201584,3,1,3,3,3
8,20,0.00024742,1,0.00024742,0.00024742,0.00024742,5,1,5,5,5
8,20,0.000216481,1,0.000216481,0.000216481,0.000216481,5,1,5,5,5
8,20,0.000256711,1,0.000256711,0.000256711,0.000256711,7,1,7,7,7
8,20,0.000198421,1,0.000198421,0.000198421,0.000198421,3,1,3,3,3
8,20,0.000251903,1,0.000251903,0.000251903,0.000251903,5,1,5,5,5
8,20,0.000202463,1,0.000202463,0.000202463,0.000202463,4,1,4,4,4
8,20,0.000177572,1,0.000177572,0.000177572,0.000177572,3,1,3,3,3
8,20,0.000179349,1,0.000179349,0.000179349,0.000179349,3,1,3,3,3
8,20,0.000153837,1,0.000153837,0.000153837,0.000153837,2,1,2,2,2
8,20,0.0002912,1,0.0002912,0.0002912,0.0002912,7,1,7,7,7
8,20,0.000295563,1,0.000295563,0.000295563,0.000295563,8,1,8,8,8
8,20,0.000156723,1,0.000156723,0.000156723,0.000156723,2,1,2,2,2
8,20,0.00021625,1,0.00021625,0.00021625,0.00021625,3,1,3,3,3
8,20,0.000193144,1,0.000193144,0.000193144,0.000193144,4,1,4,4,4
8,20,0.000301202,1,0.000301202,0.000301202,0.000301202,9,1,9,9,9
8,20,0.000321815,1,0.000321815,0.000321815,0.000321815,6,1,6,6,6
8,20,0.000284745,1,0.000284745,0.000284745,0.000284745,8,1,8,8,8
8,20,0.000214674,1,0.000214674,0.000214674,0.000214674,5,1,5,5,5
8,20,0.000270835,1,0.000270835,0.000270835,0.000270835,6,1,6,6,6
8,20,0.000303542,1,0.000303542,0.000303542,0.000303542,6,1,6,6,6
8,20,0.000364501,1,0.000364501,0.000364501,0.000364501,11,1,11,11,11
8,20,0.000286757,1,0.000286757,0.000286757,0.000286757,5,1,5,5,5
8,20,0.00029256,1,0.00029256,0.00029256,0.00029256,7,1,7,7,7
8,20,0.000267414,1,0.000267414,0.000267414,0.000267414,6,1,6,6,6
8,20,0.000178394,1,0.000178394,0.000178394,0.000178394,3,1,3,3,3
8,20,0.000193828,1,0.000193828,0.000193828,0.000193828,3,1,3,3,3
8,20,0.00024912,1,0.00024912,0.00024912,0.00024912,5,1,5,5,5
8,20,0.000254632,1,0.000254632,0.000254632,0.000254632,5,1,5,5,5
8,20,0.000201872,1,0.000201872,0.000201872,0.000201872,4,1,4,4,4
8,20,0.000189238,1,0.000189238,0.000189238,0.000189238,3,1,3,3,3
8,20,0.000310468,1,0.000310468,0.000310468,0.000310468,6,1,6,6,6
