n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
20,60,0.167887,1,0.167887,0.167887,0.167887,2637,1,2637,2637,2637
20,60,0.262173,1,0.262173,0.262173,0.262173,4601,1,4601,4601,4601
20,60,0.214651,1,0.214651,0.214651,0.214651,3411,1,3411,3411,3411
20,60,0.0384487,1,0.0384487,0.0384487,0.0384487,520,1,520,520,520
20,60,0.0918089,1,0.0918089,0.0918089,0.0918089,1363,1,1363,1363,1363
20,60,0.0176928,1,0.0176928,0.0176928,0.0176928,297,1,297,297,297
20,60,0.0707736,1,0.0707736,0.0707736,0.0707736,1161,1,1161,1161,1161
20,60,0.0540866,1,0.0540866,0.0540866,0.0540866,857,1,857,857,857
20,60,0.0379212,1,0.0379212,0.0379212,0.0379212,555,1,555,555,555
20,60,0.0842314,1,0.0842314,0.0842314,0.0842314,1458,1,1458,1458,1458
20,60,0.170787,1,0.170787,0.170787,0.170787,2914,1,2914,2914,2914
20,60,0.135049,1,0.135049,0.135049,0.135049,2325,1,2325,2325,2325
20,60,0.208869,1,0.208869,0.208869,0.208869,3637,1,3637,3637,3637
20,60,0.0494209,1,0.0494209,0.0494209,0.0494209,752,1,752,752,752
20,60,0.0651081,1,0.0651081,0.0651081,0.0651081,1080,1,1080,1080,1080
20,60,0.199681,1,0.199681,0.199681,0.199681,3262,1,3262,3262,3262
20,60,0.230948,1,0.230948,0.230948,0.230948,3594,1,3594,3594,3594
20,60,0.0562471,1,0.0562471,0.0562471,0.0562471,906,1,906,906,906
20,60,0.205996,1,0.205996,0.205996,0.205996,3814,1,3814,3814,3814
20,60,0.097583,1,0.097583,0.097583,0.097583,1420,1,1420,1420,1420
20,60,0.142496,1,0.142496,0.142496,0.142496,2541,1,2541,2541,2541
20,60,0.12653,1,0.12653,0.12653,0.12653,2032,1,2032,2032,2032
20,60,0.050353,1,0.050353,0.050353,0.050353,747,1,747,747,747
