n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
20,10,1.75757,100,0.0175757,0.00137355,0.0657811,18304,100,183.04,7,767
20,20,6.63134,100,0.0663134,0.0100578,0.451787,74052,100,740.52,84,7275
20,30,12.5304,100,0.125304,0.00825424,0.497303,143169,100,1431.69,99,5063
20,40,16.3628,100,0.163628,0.0288066,0.715547,208189,100,2081.89,244,9206
20,50,18.135,100,0.18135,0.0150677,0.618227,251102,100,2511.02,233,10325
20,60,11.8972,100,0.118972,0.0122673,0.396522,185988,100,1859.88,200,6000
20,70,7.55308,100,0.0755308,0.00808785,0.301144,131194,100,1311.94,135,5982
20,80,3.42788,100,0.0342788,0.00434144,0.124196,66021,100,660.21,68,2626
20,90,0.695414,100,0.00695414,0.00110028,0.0409287,13459,100,134.59,15,905
