n,p,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
16,30,0.0073625,1,0.0073625,0.0073625,0.0073625,83,1,83,83,83
16,30,0.206225,1,0.206225,0.206225,0.206225,3575,1,3575,3575,3575
16,30,0.000156861,1,0.000156861,0.000156861,0.000156861,1,1,1,1,1
16,30,0.0876838,1,0.0876838,0.0876838,0.0876838,1161,1,1161,1161,1161
16,30,0.0202406,1,0.0202406,0.0202406,0.0202406,289,1,289,289,289
16,30,0.000787661,1,0.000787661,0.000787661,0.000787661,7,1,7,7,7
16,30,0.0101007,1,0.0101007,0.0101007,0.0101007,121,1,121,121,121
16,30,0.000201458,1,0.000201458,0.000201458,0.000201458,1,1,1,1,1
16,30,0.0660475,1,0.0660475,0.0660475,0.0660475,867,1,867,867,867
16,30,0.000155962,1,0.000155962,0.000155962,0.000155962,1,1,1,1,1
16,30,0.000162596,1,0.000162596,0.000162596,0.000162596,1,1,1,1,1
16,30,0.178622,1,0.178622,0.178622,0.178622,2169,1,2169,2169,2169
16,30,0.0328663,1,0.0328663,0.0328663,0.0328663,349,1,349,349,349
16,30,0.000166942,1,0.000166942,0.000166942,0.000166942,1,1,1,1,1
16,30,0.630055,1,0.630055,0.630055,0.630055,9175,1,9175,9175,9175
16,30,0.000193324,1,0.000193324,0.000193324,0.000193324,1,1,1,1,1
16,30,0.017841,1,0.017841,0.017841,0.017841,203,1,203,203,203
16,30,0.00019956,1,0.00019956,0.00019956,0.00019956,1,1,1,1,1
16,30,0.000185743,1,0.000185743,0.000185743,0.000185743,1,1,1,1,1
16,30,0.00014833,1,0.00014833,0.00014833,0.00014833,1,1,1,1,1
16,30,0.000272925,1,0.000272925,0.000272925,0.000272925,1,1,1,1,1
16,30,0.00020965,1,0.00020965,0.00020965,0.00020965,1,1,1,1,1
16,30,0.00416742,1,0.00416742,0.00416742,0.00416742,51,1,51,51,51
16,30,0.000150576,1,0.000150576,0.000150576,0.000150576,1,1,1,1,1
16,30,0.00125729,1,0.00125729,0.00125729,0.00125729,13,1,13,13,13
16,30,0.0151109,1,0.0151109,0.0151109,0.0151109,219,1,219,219,219
16,30,0.000209781,1,0.000209781,0.000209781,0.000209781,1,1,1,1,1
16,30,0.0126746,1,0.0126746,0.0126746,0.0126746,249,1,249,249,249
16,30,0.216587,1,0.216587,0.216587,0.216587,3143,1,3143,3143,3143
16,30,0.182081,1,0.182081,0.182081,0.182081,2121,1,2121,2121,2121
16,30,0.000186616,1,0.000186616,0.000186616,0.000186616,1,1,1,1,1
