n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
16,70,80,1,80,80,80,0.000226657,1,0.000226657,0.000226657,0.000226657,108,1,108,108,108,7,1,7,7,7,50,1,50,50,50
16,70,94,1,94,94,94,0.000198138,1,0.000198138,0.000198138,0.000198138,78,1,78,78,78,9,1,9,9,9,38,1,38,38,38
16,70,82,1,82,82,82,0.00017076,1,0.00017076,0.00017076,0.00017076,70,1,70,70,70,8,1,8,8,8,30,1,30,30,30
16,70,81,1,81,81,81,0.000168597,1,0.000168597,0.000168597,0.000168597,68,1,68,68,68,8,1,8,8,8,29,1,29,29,29
16,70,81,1,81,81,81,0.000194046,1,0.000194046,0.000194046,0.000194046,90,1,90,90,90,7,1,7,7,7,37,1,37,37,37
16,70,82,1,82,82,82,0.000242073,1,0.000242073,0.000242073,0.000242073,114,1,114,114,114,7,1,7,7,7,52,1,52,52,52
16,70,88,1,88,88,88,0.0001769,1,0.0001769,0.0001769,0.0001769,66,1,66,66,66,9,1,9,9,9,25,1,25,25,25
16,70,85,1,85,85,85,0.000229527,1,0.000229527,0.000229527,0.000229527,107,1,107,107,107,7,1,7,7,7,46,1,46,46,46
16,70,92,1,92,92,92,0.000306344,1,0.000306344,0.000306344,0.000306344,126,1,126,126,126,8,1,8,8,8,56,1,56,56,56
16,70,81,1,81,81,81,0.000238613,1,0.000238613,0.000238613,0.000238613,114,1,114,114,114,6,1,6,6,6,57,1,57,57,57
16,70,81,1,81,81,81,0.000150732,1,0.000150732,0.000150732,0.000150732,60,1,60,60,60,8,1,8,8,8,29,1,29,29,29
16,70,85,1,85,85,85,0.000231029,1,0.000231029,0.000231029,0.000231029,89,1,89,89,89,8,1,8,8,8,38,1,38,38,38
16,70,76,1,76,76,76,0.000162898,1,0.000162898,0.000162898,0.000162898,72,1,72,72,72,7,1,7,7,7,36,1,36,36,36
16,70,89,1,89,89,89,0.000204503,1,0.000204503,0.000204503,0.000204503,82,1,82,82,82,9,1,9,9,9,35,1,35,35,35
16,70,89,1,89,89,89,0.000188022,1,0.000188022,0.000188022,0.000188022,76,1,76,76,76,9,1,9,9,9,35,1,35,35,35
16,70,93,1,93,93,93,0.000195036,1,0.000195036,0.000195036,0.000195036,77,1,77,77,77,9,1,9,9,9,38,1,38,38,38
16,70,89,1,89,89,89,0.00026941,1,0.00026941,0.00026941,0.00026941,126,1,126,126,126,8,1,8,8,8,54,1,54,54,54
16,70,81,1,81,81,81,0.000207717,1,0.000207717,0.000207717,0.000207717,92,1,92,92,92,7,1,7,7,7,39,1,39,39,39
16,70,84,1,84,84,84,0.000187521,1,0.000187521,0.000187521,0.000187521,74,1,74,74,74,8,1,8,8,8,33,1,33,33,33
16,70,90,1,90,90,90,0.00022626,1,0.00022626,0.00022626,0.00022626,100,1,100,100,100,8,1,8,8,8,48,1,48,48,48
16,70,84,1,84,84,84,0.000238506,1,0.000238506,0.000238506,0.000238506,111,1,111,111,111,7,1,7,7,7,54,1,54,54,54
16,70,88,1,88,88,88,0.000254214,1,0.000254214,0.000254214,0.000254214,112,1,112,112,112,7,1,7,7,7,46,1,46,46,46
16,70,78,1,78,78,78,0.000203836,1,0.000203836,0.000203836,0.000203836,95,1,95,95,95,6,1,6,6,6,45,1,45,45,45
16,70,82,1,82,82,82,0.000229836,1,0.000229836,0.000229836,0.000229836,99,1,99,99,99,7,1,7,7,7,44,1,44,44,44
16,70,82,1,82,82,82,0.000199585,1,0.000199585,0.000199585,0.000199585,87,1,87,87,87,7,1,7,7,7,36,1,36,36,36
16,70,85,1,85,85,85,0.000170413,1,0.000170413,0.000170413,0.000170413,72,1,72,72,72,9,1,9,9,9,28,1,28,28,28
16,70,77,1,77,77,77,0.000211433,1,0.000211433,0.000211433,0.000211433,101,1,101,101,101,6,1,6,6,6,48,1,48,48,48
16,70,79,1,79,79,79,0.00017895,1,0.00017895,0.00017895,0.00017895,81,1,81,81,81,7,1,7,7,7,38,1,38,38,38
16,70,85,1,85,85,85,0.000169432,1,0.000169432,0.000169432,0.000169432,68,1,68,68,68,8,1,8,8,8,30,1,30,30,30
16,70,81,1,81,81,81,0.000156733,1,0.000156733,0.000156733,0.000156733,62,1,62,62,62,8,1,8,8,8,28,1,28,28,28
16,70,71,1,71,71,71,0.000147965,1,0.000147965,0.000147965,0.000147965,69,1,69,69,69,7,1,7,7,7,31,1,31,31,31
16,70,88,1,88,88,88,0.000218803,1,0.000218803,0.000218803,0.000218803,95,1,95,95,95,8,1,8,8,8,50,1,50,50,50
16,70,82,1,82,82,82,0.000206466,1,0.000206466,0.000206466,0.000206466,100,1,100,100,100,7,1,7,7,7,51,1,51,51,51
16,70,84,1,84,84,84,0.000212996,1,0.000212996,0.000212996,0.000212996,95,1,95,95,95,7,1,7,7,7,40,1,40,40,40
16,70,83,1,83,83,83,0.00018935,1,0.00018935,0.00018935,0.00018935,82,1,82,82,82,8,1,8,8,8,34,1,34,34,34
16,70,86,1,86,86,86,0.000177214,1,0.000177214,0.000177214,0.000177214,70,1,70,70,70,9,1,9,9,9,28,1,28,28,28
16,70,86,1,86,86,86,0.00022508,1,0.00022508,0.00022508,0.00022508,98,1,98,98,98,8,1,8,8,8,45,1,45,45,45
16,70,78,1,78,78,78,0.000218109,1,0.000218109,0.000218109,0.000218109,81,1,81,81,81,7,1,7,7,7,32,1,32,32,32
16,70,80,1,80,80,80,0.00018174,1,0.00018174,0.00018174,0.00018174,76,1,76,76,76,8,1,8,8,8,38,1,38,38,38
16,70,85,1,85,85,85,0.000236862,1,0.000236862,0.000236862,0.000236862,103,1,103,103,103,8,1,8,8,8,41,1,41,41,41
16,70,76,1,76,76,76,0.000170326,1,0.000170326,0.000170326,0.000170326,79,1,79,79,79,7,1,7,7,7,34,1,34,34,34
16,70,88,1,88,88,88,0.000235463,1,0.000235463,0.000235463,0.000235463,99,1,99,99,99,8,1,8,8,8,39,1,39,39,39
16,70,80,1,80,80,80,0.000155298,1,0.000155298,0.000155298,0.000155298,65,1,65,65,65,8,1,8,8,8,28,1,28,28,28
16,70,87,1,87,87,87,0.000229642,1,0.000229642,0.000229642,0.000229642,98,1,98,98,98,8,1,8,8,8,39,1,39,39,39
16,70,86,1,86,86,86,0.000196054,1,0.000196054,0.000196054,0.000196054,81,1,81,81,81,8,1,8,8,8,38,1,38,38,38
16,70,75,1,75,75,75,0.000159813,1,0.000159813,0.000159813,0.000159813,66,1,66,66,66,7,1,7,7,7,30,1,30,30,30
16,70,82,1,82,82,82,0.000237838,1,0.000237838,0.000237838,0.000237838,104,1,104,104,104,7,1,7,7,7,40,1,40,40,40
16,70,86,1,86,86,86,0.000222192,1,0.000222192,0.000222192,0.000222192,108,1,108,108,108,7,1,7,7,7,39,1,39,39,39
16,70,83,1,83,83,83,0.000219191,1,0.000219191,0.000219191,0.000219191,95,1,95,95,95,7,1,7,7,7,44,1,44,44,44
16,70,86,1,86,86,86,0.000197991,1,0.000197991,0.000197991,0.000197991,86,1,86,86,86,8,1,8,8,8,38,1,38,38,38
16,70,72,1,72,72,72,0.000188341,1,0.000188341,0.000188341,0.000188341,69,1,69,69,69,7,1,7,7,7,30,1,30,30,30
16,70,87,1,87,87,87,0.00028183,1,0.00028183,0.00028183,0.00028183,115,1,115,115,115,8,1,8,8,8,52,1,52,52,52
16,70,87,1,87,87,87,0.000202741,1,0.000202741,0.000202741,0.000202741,88,1,88,88,88,9,1,9,9,9,37,1,37,37,37
16,70,83,1,83,83,83,0.000209526,1,0.000209526,0.000209526,0.000209526,88,1,88,88,88,8,1,8,8,8,43,1,43,43,43
16,70,87,1,87,87,87,0.000259441,1,0.000259441,0.000259441,0.000259441,113,1,113,113,113,7,1,7,7,7,56,1,56,56,56
16,70,86,1,86,86,86,0.000255517,1,0.000255517,0.000255517,0.000255517,91,1,91,91,91,8,1,8,8,8,39,1,39,39,39
16,70,83,1,83,83,83,0.000210091,1,0.000210091,0.000210091,0.000210091,89,1,89,89,89,7,1,7,7,7,40,1,40,40,40
16,70,79,1,79,79,79,0.000171181,1,0.000171181,0.000171181,0.000171181,73,1,73,73,73,7,1,7,7,7,31,1,31,31,31
16,70,85,1,85,85,85,0.000219299,1,0.000219299,0.000219299,0.000219299,86,1,86,86,86,8,1,8,8,8,38,1,38,38,38
16,70,86,1,86,86,86,0.000185959,1,0.000185959,0.000185959,0.000185959,74,1,74,74,74,8,1,8,8,8,31,1,31,31,31
16,70,84,1,84,84,84,0.000232238,1,0.000232238,0.000232238,0.000232238,107,1,107,107,107,8,1,8,8,8,45,1,45,45,45
16,70,89,1,89,89,89,0.000308457,1,0.000308457,0.000308457,0.000308457,136,1,136,136,136,7,1,7,7,7,71,1,71,71,71
16,70,87,1,87,87,87,0.000211414,1,0.000211414,0.000211414,0.000211414,82,1,82,82,82,8,1,8,8,8,36,1,36,36,36
16,70,83,1,83,83,83,0.000182043,1,0.000182043,0.000182043,0.000182043,79,1,79,79,79,8,1,8,8,8,32,1,32,32,32
16,70,94,1,94,94,94,0.000204588,1,0.000204588,0.000204588,0.000204588,79,1,79,79,79,9,1,9,9,9,30,1,30,30,30
