n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
26,50,172,1,172,172,172,0.000489421,1,0.000489421,0.000489421,0.000489421,144,1,144,144,144,7,1,7,7,7,0,1,0,0,0
26,50,157,1,157,157,157,0.000430918,1,0.000430918,0.000430918,0.000430918,136,1,136,136,136,7,1,7,7,7,0,1,0,0,0
26,50,163,1,163,163,163,0.000414842,1,0.000414842,0.000414842,0.000414842,122,1,122,122,122,7,1,7,7,7,0,1,0,0,0
26,50,158,1,158,158,158,0.000443411,1,0.000443411,0.000443411,0.000443411,157,1,157,157,157,6,1,6,6,6,0,1,0,0,0
26,50,164,1,164,164,164,0.000425406,1,0.000425406,0.000425406,0.000425406,119,1,119,119,119,7,1,7,7,7,0,1,0,0,0
26,50,175,1,175,175,175,0.000538963,1,0.000538963,0.000538963,0.000538963,167,1,167,167,167,7,1,7,7,7,0,1,0,0,0
26,50,158,1,158,158,158,0.000423511,1,0.000423511,0.000423511,0.000423511,125,1,125,125,125,7,1,7,7,7,0,1,0,0,0
26,50,155,1,155,155,155,0.000408619,1,0.000408619,0.000408619,0.000408619,140,1,140,140,140,6,1,6,6,6,0,1,0,0,0
26,50,171,1,171,171,171,0.000399789,1,0.000399789,0.000399789,0.000399789,103,1,103,103,103,8,1,8,8,8,0,1,0,0,0
26,50,167,1,167,167,167,0.000444434,1,0.000444434,0.000444434,0.000444434,139,1,139,139,139,7,1,7,7,7,0,1,0,0,0
26,50,165,1,165,165,165,0.000457737,1,0.000457737,0.000457737,0.000457737,139,1,139,139,139,7,1,7,7,7,0,1,0,0,0
26,50,171,1,171,171,171,0.000448081,1,0.000448081,0.000448081,0.000448081,140,1,140,140,140,7,1,7,7,7,0,1,0,0,0
26,50,165,1,165,165,165,0.000366658,1,0.000366658,0.000366658,0.000366658,98,1,98,98,98,8,1,8,8,8,0,1,0,0,0
26,50,162,1,162,162,162,0.000329633,1,0.000329633,0.000329633,0.000329633,84,1,84,84,84,8,1,8,8,8,0,1,0,0,0
26,50,155,1,155,155,155,0.000409338,1,0.000409338,0.000409338,0.000409338,150,1,150,150,150,6,1,6,6,6,0,1,0,0,0
26,50,161,1,161,161,161,0.00037093,1,0.00037093,0.00037093,0.00037093,117,1,117,117,117,7,1,7,7,7,0,1,0,0,0
26,50,163,1,163,163,163,0.000402806,1,0.000402806,0.000402806,0.000402806,115,1,115,115,115,7,1,7,7,7,0,1,0,0,0
26,50,173,1,173,173,173,0.000489984,1,0.000489984,0.000489984,0.000489984,141,1,141,141,141,7,1,7,7,7,0,1,0,0,0
26,50,164,1,164,164,164,0.000397449,1,0.000397449,0.000397449,0.000397449,114,1,114,114,114,8,1,8,8,8,0,1,0,0,0
26,50,157,1,157,157,157,0.000385065,1,0.000385065,0.000385065,0.000385065,118,1,118,118,118,7,1,7,7,7,0,1,0,0,0
26,50,160,1,160,160,160,0.000338523,1,0.000338523,0.000338523,0.000338523,85,1,85,85,85,8,1,8,8,8,0,1,0,0,0
26,50,163,1,163,163,163,0.000438548,1,0.000438548,0.000438548,0.000438548,122,1,122,122,122,7,1,7,7,7,0,1,0,0,0
26,50,149,1,149,149,149,0.000389769,1,0.000389769,0.000389769,0.000389769,127,1,127,127,127,6,1,6,6,6,0,1,0,0,0
26,50,158,1,158,158,158,0.000422374,1,0.000422374,0.000422374,0.000422374,108,1,108,108,108,7,1,7,7,7,0,1,0,0,0
26,50,162,1,162,162,162,0.000407526,1,0.000407526,0.000407526,0.000407526,122,1,122,122,122,7,1,7,7,7,0,1,0,0,0
26,50,146,1,146,146,146,0.000341954,1,0.000341954,0.000341954,0.000341954,123,1,123,123,123,6,1,6,6,6,0,1,0,0,0
26,50,168,1,168,168,168,0.000456627,1,0.000456627,0.000456627,0.000456627,140,1,140,140,140,7,1,7,7,7,0,1,0,0,0
26,50,152,1,152,152,152,0.000389468,1,0.000389468,0.000389468,0.000389468,103,1,103,103,103,7,1,7,7,7,0,1,0,0,0
26,50,167,1,167,167,167,0.000429526,1,0.000429526,0.000429526,0.000429526,122,1,122,122,122,7,1,7,7,7,0,1,0,0,0
26,50,159,1,159,159,159,0.000417841,1,0.000417841,0.000417841,0.000417841,135,1,135,135,135,7,1,7,7,7,0,1,0,0,0
26,50,160,1,160,160,160,0.000416399,1,0.000416399,0.000416399,0.000416399,122,1,122,122,122,7,1,7,7,7,0,1,0,0,0
26,50,172,1,172,172,172,0.000502675,1,0.000502675,0.000502675,0.000502675,156,1,156,156,156,7,1,7,7,7,0,1,0,0,0
