n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
18,10,15439,1000,15.439,4,31,0.0687619,1000,6.87619e-05,5.593e-05,0.000129773,29663,1000,29.663,21,42,3493,1000,3.493,3,5,17078,1000,17.078,12,24
18,20,30500,1000,30.5,16,49,0.086364,1000,8.6364e-05,6.7366e-05,0.000134173,39600,1000,39.6,29,53,4146,1000,4.146,3,5,22196,1000,22.196,16,33
18,30,46007,1000,46.007,30,65,0.110875,1000,0.000110875,8.2888e-05,0.000222835,51467,1000,51.467,38,74,4747,1000,4.747,4,6,26909,1000,26.909,19,39
18,40,61501,1000,61.501,42,82,0.143168,1000,0.000143168,0.0001009,0.000264823,66107,1000,66.107,44,99,5387,1000,5.387,4,7,32698,1000,32.698,20,53
18,50,76441,1000,76.441,55,102,0.185978,1000,0.000185978,0.000130373,0.000339188,84272,1000,84.272,59,150,6080,1000,6.08,5,8,40029,1000,40.029,25,70
18,60,91946,1000,91.946,69,112,0.243615,1000,0.000243615,0.000162871,0.000428385,106945,1000,106.945,64,201,6985,1000,6.985,6,9,48841,1000,48.841,26,99
18,70,106910,1000,106.91,90,122,0.31222,1000,0.00031222,0.000201619,0.000504977,131300,1000,131.3,65,209,8095,1000,8.095,6,11,57966,1000,57.966,22,106
18,80,122382,1000,122.382,106,136,0.385102,1000,0.000385102,0.000221455,0.000710531,148149,1000,148.149,53,309,9681,1000,9.681,7,13,63148,1000,63.148,20,140
18,90,137892,1000,137.892,123,148,0.354631,1000,0.000354631,0.000187808,0.00093584,118041,1000,118.041,31,410,12267,1000,12.267,9,16,47409,1000,47.409,7,192
