n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
28,10,27,1,27,27,27,0.000125912,1,0.000125912,0.000125912,0.000125912,29,1,29,29,29,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000135926,1,0.000135926,0.000135926,0.000135926,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000126425,1,0.000126425,0.000126425,0.000126425,31,1,31,31,31,4,1,4,4,4,0,1,0,0,0
28,10,33,1,33,33,33,0.000165351,1,0.000165351,0.000165351,0.000165351,42,1,42,42,42,4,1,4,4,4,0,1,0,0,0
28,10,31,1,31,31,31,0.000127679,1,0.000127679,0.000127679,0.000127679,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,42,1,42,42,42,0.000138761,1,0.000138761,0.000138761,0.000138761,48,1,48,48,48,4,1,4,4,4,0,1,0,0,0
28,10,35,1,35,35,35,0.000132233,1,0.000132233,0.000132233,0.000132233,37,1,37,37,37,4,1,4,4,4,0,1,0,0,0
28,10,35,1,35,35,35,0.000131137,1,0.000131137,0.000131137,0.000131137,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,31,1,31,31,31,0.000137425,1,0.000137425,0.000137425,0.000137425,48,1,48,48,48,3,1,3,3,3,0,1,0,0,0
28,10,46,1,46,46,46,0.000149889,1,0.000149889,0.000149889,0.000149889,53,1,53,53,53,4,1,4,4,4,0,1,0,0,0
28,10,45,1,45,45,45,0.000153494,1,0.000153494,0.000153494,0.000153494,55,1,55,55,55,4,1,4,4,4,0,1,0,0,0
28,10,25,1,25,25,25,0.00011849,1,0.00011849,0.00011849,0.00011849,29,1,29,29,29,4,1,4,4,4,0,1,0,0,0
28,10,40,1,40,40,40,0.00015047,1,0.00015047,0.00015047,0.00015047,52,1,52,52,52,4,1,4,4,4,0,1,0,0,0
28,10,42,1,42,42,42,0.000135648,1,0.000135648,0.000135648,0.000135648,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000131156,1,0.000131156,0.000131156,0.000131156,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,34,1,34,34,34,0.000130252,1,0.000130252,0.000130252,0.000130252,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000128797,1,0.000128797,0.000128797,0.000128797,37,1,37,37,37,4,1,4,4,4,0,1,0,0,0
28,10,30,1,30,30,30,0.000129092,1,0.000129092,0.000129092,0.000129092,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,35,1,35,35,35,0.000136188,1,0.000136188,0.000136188,0.000136188,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,48,1,48,48,48,0.000144118,1,0.000144118,0.000144118,0.000144118,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000143781,1,0.000143781,0.000143781,0.000143781,48,1,48,48,48,4,1,4,4,4,0,1,0,0,0
28,10,33,1,33,33,33,0.000136309,1,0.000136309,0.000136309,0.000136309,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,53,1,53,53,53,0.000152544,1,0.000152544,0.000152544,0.000152544,52,1,52,52,52,4,1,4,4,4,0,1,0,0,0
28,10,46,1,46,46,46,0.000143566,1,0.000143566,0.000143566,0.000143566,44,1,44,44,44,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000138549,1,0.000138549,0.000138549,0.000138549,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,32,1,32,32,32,0.000126024,1,0.000126024,0.000126024,0.000126024,34,1,34,34,34,4,1,4,4,4,0,1,0,0,0
28,10,37,1,37,37,37,0.000134655,1,0.000134655,0.000134655,0.000134655,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000142983,1,0.000142983,0.000142983,0.000142983,48,1,48,48,48,4,1,4,4,4,0,1,0,0,0
28,10,41,1,41,41,41,0.000138713,1,0.000138713,0.000138713,0.000138713,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,27,1,27,27,27,0.000122414,1,0.000122414,0.000122414,0.000122414,32,1,32,32,32,4,1,4,4,4,0,1,0,0,0
28,10,31,1,31,31,31,0.000128191,1,0.000128191,0.000128191,0.000128191,37,1,37,37,37,4,1,4,4,4,0,1,0,0,0
28,10,39,1,39,39,39,0.000128557,1,0.000128557,0.000128557,0.000128557,35,1,35,35,35,4,1,4,4,4,0,1,0,0,0
28,10,34,1,34,34,34,0.000127901,1,0.000127901,0.000127901,0.000127901,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,39,1,39,39,39,0.000130128,1,0.000130128,0.000130128,0.000130128,37,1,37,37,37,4,1,4,4,4,0,1,0,0,0
28,10,40,1,40,40,40,0.000144282,1,0.000144282,0.000144282,0.000144282,49,1,49,49,49,4,1,4,4,4,0,1,0,0,0
28,10,31,1,31,31,31,0.000128444,1,0.000128444,0.000128444,0.000128444,38,1,38,38,38,4,1,4,4,4,0,1,0,0,0
28,10,40,1,40,40,40,0.000135025,1,0.000135025,0.000135025,0.000135025,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,29,1,29,29,29,0.000156271,1,0.000156271,0.000156271,0.000156271,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,41,1,41,41,41,0.000136952,1,0.000136952,0.000136952,0.000136952,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,45,1,45,45,45,0.000145774,1,0.000145774,0.000145774,0.000145774,51,1,51,51,51,4,1,4,4,4,0,1,0,0,0
28,10,37,1,37,37,37,0.000141548,1,0.000141548,0.000141548,0.000141548,53,1,53,53,53,3,1,3,3,3,0,1,0,0,0
28,10,42,1,42,42,42,0.000140517,1,0.000140517,0.000140517,0.000140517,44,1,44,44,44,4,1,4,4,4,0,1,0,0,0
28,10,44,1,44,44,44,0.000138006,1,0.000138006,0.000138006,0.000138006,42,1,42,42,42,4,1,4,4,4,0,1,0,0,0
28,10,53,1,53,53,53,0.000154132,1,0.000154132,0.000154132,0.000154132,53,1,53,53,53,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000134924,1,0.000134924,0.000134924,0.000134924,42,1,42,42,42,4,1,4,4,4,0,1,0,0,0
28,10,33,1,33,33,33,0.000139403,1,0.000139403,0.000139403,0.000139403,51,1,51,51,51,3,1,3,3,3,0,1,0,0,0
28,10,37,1,37,37,37,0.000132554,1,0.000132554,0.000132554,0.000132554,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,30,1,30,30,30,0.000124301,1,0.000124301,0.000124301,0.000124301,34,1,34,34,34,4,1,4,4,4,0,1,0,0,0
28,10,39,1,39,39,39,0.000136742,1,0.000136742,0.000136742,0.000136742,44,1,44,44,44,4,1,4,4,4,0,1,0,0,0
28,10,34,1,34,34,34,0.000132782,1,0.000132782,0.000132782,0.000132782,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,42,1,42,42,42,0.000142381,1,0.000142381,0.000142381,0.000142381,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,44,1,44,44,44,0.000142304,1,0.000142304,0.000142304,0.000142304,44,1,44,44,44,4,1,4,4,4,0,1,0,0,0
28,10,41,1,41,41,41,0.000141586,1,0.000141586,0.000141586,0.000141586,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000144024,1,0.000144024,0.000144024,0.000144024,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000128477,1,0.000128477,0.000128477,0.000128477,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000134177,1,0.000134177,0.000134177,0.000134177,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,47,1,47,47,47,0.000141505,1,0.000141505,0.000141505,0.000141505,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,49,1,49,49,49,0.000147263,1,0.000147263,0.000147263,0.000147263,49,1,49,49,49,4,1,4,4,4,0,1,0,0,0
28,10,42,1,42,42,42,0.000139623,1,0.000139623,0.000139623,0.000139623,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000140013,1,0.000140013,0.000140013,0.000140013,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,41,1,41,41,41,0.000138447,1,0.000138447,0.000138447,0.000138447,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,34,1,34,34,34,0.00013365,1,0.00013365,0.00013365,0.00013365,42,1,42,42,42,4,1,4,4,4,0,1,0,0,0
28,10,35,1,35,35,35,0.000134917,1,0.000134917,0.000134917,0.000134917,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,32,1,32,32,32,0.000130925,1,0.000130925,0.000130925,0.000130925,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000138244,1,0.000138244,0.000138244,0.000138244,44,1,44,44,44,4,1,4,4,4,0,1,0,0,0
28,10,45,1,45,45,45,0.000144639,1,0.000144639,0.000144639,0.000144639,50,1,50,50,50,4,1,4,4,4,0,1,0,0,0
28,10,33,1,33,33,33,0.000123187,1,0.000123187,0.000123187,0.000123187,32,1,32,32,32,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000138208,1,0.000138208,0.000138208,0.000138208,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,29,1,29,29,29,0.000131232,1,0.000131232,0.000131232,0.000131232,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,45,1,45,45,45,0.000136282,1,0.000136282,0.000136282,0.000136282,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,47,1,47,47,47,0.000152846,1,0.000152846,0.000152846,0.000152846,49,1,49,49,49,4,1,4,4,4,0,1,0,0,0
28,10,41,1,41,41,41,0.000139108,1,0.000139108,0.000139108,0.000139108,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,31,1,31,31,31,0.000128766,1,0.000128766,0.000128766,0.000128766,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,44,1,44,44,44,0.00013475,1,0.00013475,0.00013475,0.00013475,38,1,38,38,38,4,1,4,4,4,0,1,0,0,0
28,10,40,1,40,40,40,0.000141895,1,0.000141895,0.000141895,0.000141895,45,1,45,45,45,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000135985,1,0.000135985,0.000135985,0.000135985,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,37,1,37,37,37,0.000125546,1,0.000125546,0.000125546,0.000125546,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000135859,1,0.000135859,0.000135859,0.000135859,37,1,37,37,37,5,1,5,5,5,0,1,0,0,0
28,10,38,1,38,38,38,0.000129594,1,0.000129594,0.000129594,0.000129594,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,28,1,28,28,28,0.000124354,1,0.000124354,0.000124354,0.000124354,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,32,1,32,32,32,0.000129804,1,0.000129804,0.000129804,0.000129804,38,1,38,38,38,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000133255,1,0.000133255,0.000133255,0.000133255,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,33,1,33,33,33,0.000130696,1,0.000130696,0.000130696,0.000130696,38,1,38,38,38,4,1,4,4,4,0,1,0,0,0
28,10,47,1,47,47,47,0.000143017,1,0.000143017,0.000143017,0.000143017,44,1,44,44,44,4,1,4,4,4,0,1,0,0,0
28,10,47,1,47,47,47,0.000141426,1,0.000141426,0.000141426,0.000141426,42,1,42,42,42,5,1,5,5,5,0,1,0,0,0
28,10,38,1,38,38,38,0.000131102,1,0.000131102,0.000131102,0.000131102,37,1,37,37,37,4,1,4,4,4,0,1,0,0,0
28,10,42,1,42,42,42,0.000142826,1,0.000142826,0.000142826,0.000142826,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000138646,1,0.000138646,0.000138646,0.000138646,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,45,1,45,45,45,0.000146817,1,0.000146817,0.000146817,0.000146817,45,1,45,45,45,4,1,4,4,4,0,1,0,0,0
28,10,28,1,28,28,28,0.000128074,1,0.000128074,0.000128074,0.000128074,36,1,36,36,36,4,1,4,4,4,0,1,0,0,0
28,10,25,1,25,25,25,0.00012874,1,0.00012874,0.00012874,0.00012874,42,1,42,42,42,3,1,3,3,3,0,1,0,0,0
28,10,44,1,44,44,44,0.000135515,1,0.000135515,0.000135515,0.000135515,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,45,1,45,45,45,0.000143951,1,0.000143951,0.000143951,0.000143951,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,42,1,42,42,42,0.00014078,1,0.00014078,0.00014078,0.00014078,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000138321,1,0.000138321,0.000138321,0.000138321,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,35,1,35,35,35,0.000139681,1,0.000139681,0.000139681,0.000139681,51,1,51,51,51,3,1,3,3,3,0,1,0,0,0
28,10,40,1,40,40,40,0.000136025,1,0.000136025,0.000136025,0.000136025,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,32,1,32,32,32,0.000126338,1,0.000126338,0.000126338,0.000126338,34,1,34,34,34,4,1,4,4,4,0,1,0,0,0
28,10,33,1,33,33,33,0.000131705,1,0.000131705,0.000131705,0.000131705,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,35,1,35,35,35,0.000133353,1,0.000133353,0.000133353,0.000133353,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000133172,1,0.000133172,0.000133172,0.000133172,38,1,38,38,38,4,1,4,4,4,0,1,0,0,0
28,10,53,1,53,53,53,0.000155589,1,0.000155589,0.000155589,0.000155589,52,1,52,52,52,4,1,4,4,4,0,1,0,0,0
28,10,34,1,34,34,34,0.000134408,1,0.000134408,0.000134408,0.000134408,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,29,1,29,29,29,0.000119955,1,0.000119955,0.000119955,0.000119955,29,1,29,29,29,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.00015551,1,0.00015551,0.00015551,0.00015551,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,46,1,46,46,46,0.000144167,1,0.000144167,0.000144167,0.000144167,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000131366,1,0.000131366,0.000131366,0.000131366,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,35,1,35,35,35,0.000140304,1,0.000140304,0.000140304,0.000140304,48,1,48,48,48,3,1,3,3,3,0,1,0,0,0
28,10,39,1,39,39,39,0.000135374,1,0.000135374,0.000135374,0.000135374,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,41,1,41,41,41,0.000148062,1,0.000148062,0.000148062,0.000148062,59,1,59,59,59,3,1,3,3,3,0,1,0,0,0
28,10,35,1,35,35,35,0.000138998,1,0.000138998,0.000138998,0.000138998,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,40,1,40,40,40,0.000142604,1,0.000142604,0.000142604,0.000142604,54,1,54,54,54,3,1,3,3,3,0,1,0,0,0
28,10,37,1,37,37,37,0.000141087,1,0.000141087,0.000141087,0.000141087,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,31,1,31,31,31,0.000130413,1,0.000130413,0.000130413,0.000130413,42,1,42,42,42,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000141322,1,0.000141322,0.000141322,0.000141322,45,1,45,45,45,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000128231,1,0.000128231,0.000128231,0.000128231,34,1,34,34,34,4,1,4,4,4,0,1,0,0,0
28,10,37,1,37,37,37,0.000133877,1,0.000133877,0.000133877,0.000133877,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,50,1,50,50,50,0.000150685,1,0.000150685,0.000150685,0.000150685,53,1,53,53,53,4,1,4,4,4,0,1,0,0,0
28,10,39,1,39,39,39,0.000140239,1,0.000140239,0.000140239,0.000140239,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,28,1,28,28,28,0.000120361,1,0.000120361,0.000120361,0.000120361,32,1,32,32,32,4,1,4,4,4,0,1,0,0,0
28,10,44,1,44,44,44,0.000143609,1,0.000143609,0.000143609,0.000143609,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,26,1,26,26,26,0.000126187,1,0.000126187,0.000126187,0.000126187,32,1,32,32,32,4,1,4,4,4,0,1,0,0,0
28,10,49,1,49,49,49,0.000146722,1,0.000146722,0.000146722,0.000146722,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,34,1,34,34,34,0.000140696,1,0.000140696,0.000140696,0.000140696,51,1,51,51,51,3,1,3,3,3,0,1,0,0,0
28,10,40,1,40,40,40,0.000137323,1,0.000137323,0.000137323,0.000137323,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
28,10,24,1,24,24,24,0.000120865,1,0.000120865,0.000120865,0.000120865,31,1,31,31,31,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000139711,1,0.000139711,0.000139711,0.000139711,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,34,1,34,34,34,0.000132323,1,0.000132323,0.000132323,0.000132323,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,41,1,41,41,41,0.00013993,1,0.00013993,0.00013993,0.00013993,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000144102,1,0.000144102,0.000144102,0.000144102,48,1,48,48,48,4,1,4,4,4,0,1,0,0,0
28,10,46,1,46,46,46,0.000134436,1,0.000134436,0.000134436,0.000134436,37,1,37,37,37,4,1,4,4,4,0,1,0,0,0
28,10,56,1,56,56,56,0.000162175,1,0.000162175,0.000162175,0.000162175,58,1,58,58,58,4,1,4,4,4,0,1,0,0,0
28,10,40,1,40,40,40,0.00014812,1,0.00014812,0.00014812,0.00014812,57,1,57,57,57,3,1,3,3,3,0,1,0,0,0
28,10,31,1,31,31,31,0.00012967,1,0.00012967,0.00012967,0.00012967,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,31,1,31,31,31,0.000131637,1,0.000131637,0.000131637,0.000131637,40,1,40,40,40,4,1,4,4,4,0,1,0,0,0
28,10,41,1,41,41,41,0.000140055,1,0.000140055,0.000140055,0.000140055,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,35,1,35,35,35,0.000131101,1,0.000131101,0.000131101,0.000131101,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,30,1,30,30,30,0.000129491,1,0.000129491,0.000129491,0.000129491,37,1,37,37,37,4,1,4,4,4,0,1,0,0,0
28,10,39,1,39,39,39,0.000173841,1,0.000173841,0.000173841,0.000173841,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,31,1,31,31,31,0.000139149,1,0.000139149,0.000139149,0.000139149,46,1,46,46,46,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000132798,1,0.000132798,0.000132798,0.000132798,42,1,42,42,42,4,1,4,4,4,0,1,0,0,0
28,10,36,1,36,36,36,0.000134692,1,0.000134692,0.000134692,0.000134692,43,1,43,43,43,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000141688,1,0.000141688,0.000141688,0.000141688,45,1,45,45,45,4,1,4,4,4,0,1,0,0,0
28,10,38,1,38,38,38,0.000135045,1,0.000135045,0.000135045,0.000135045,39,1,39,39,39,4,1,4,4,4,0,1,0,0,0
28,10,43,1,43,43,43,0.000142135,1,0.000142135,0.000142135,0.000142135,45,1,45,45,45,4,1,4,4,4,0,1,0,0,0
28,10,34,1,34,34,34,0.000129355,1,0.000129355,0.000129355,0.000129355,38,1,38,38,38,4,1,4,4,4,0,1,0,0,0
28,10,40,1,40,40,40,0.000136268,1,0.000136268,0.000136268,0.000136268,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
