n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
21,10,20,1,20,20,20,9.3983e-05,1,9.3983e-05,9.3983e-05,9.3983e-05,38,1,38,38,38,3,1,3,3,3,21,1,21,21,21
21,10,19,1,19,19,19,8.7846e-05,1,8.7846e-05,8.7846e-05,8.7846e-05,35,1,35,35,35,4,1,4,4,4,20,1,20,20,20
21,10,16,1,16,16,16,8.3916e-05,1,8.3916e-05,8.3916e-05,8.3916e-05,32,1,32,32,32,4,1,4,4,4,18,1,18,18,18
21,10,16,1,16,16,16,8.5625e-05,1,8.5625e-05,8.5625e-05,8.5625e-05,32,1,32,32,32,4,1,4,4,4,19,1,19,19,19
21,10,10,1,10,10,10,8.0301e-05,1,8.0301e-05,8.0301e-05,8.0301e-05,29,1,29,29,29,3,1,3,3,3,19,1,19,19,19
21,10,22,1,22,22,22,9.3521e-05,1,9.3521e-05,9.3521e-05,9.3521e-05,40,1,40,40,40,3,1,3,3,3,23,1,23,23,23
21,10,20,1,20,20,20,9.1901e-05,1,9.1901e-05,9.1901e-05,9.1901e-05,38,1,38,38,38,3,1,3,3,3,22,1,22,22,22
21,10,27,1,27,27,27,9.9496e-05,1,9.9496e-05,9.9496e-05,9.9496e-05,38,1,38,38,38,4,1,4,4,4,24,1,24,24,24
21,10,20,1,20,20,20,9.0603e-05,1,9.0603e-05,9.0603e-05,9.0603e-05,37,1,37,37,37,3,1,3,3,3,21,1,21,21,21
21,10,25,1,25,25,25,9.4136e-05,1,9.4136e-05,9.4136e-05,9.4136e-05,41,1,41,41,41,4,1,4,4,4,23,1,23,23,23
21,10,23,1,23,23,23,9.5317e-05,1,9.5317e-05,9.5317e-05,9.5317e-05,40,1,40,40,40,4,1,4,4,4,23,1,23,23,23
21,10,27,1,27,27,27,9.8146e-05,1,9.8146e-05,9.8146e-05,9.8146e-05,42,1,42,42,42,4,1,4,4,4,24,1,24,24,24
21,10,22,1,22,22,22,9.1258e-05,1,9.1258e-05,9.1258e-05,9.1258e-05,36,1,36,36,36,4,1,4,4,4,21,1,21,21,21
21,10,26,1,26,26,26,9.7029e-05,1,9.7029e-05,9.7029e-05,9.7029e-05,41,1,41,41,41,4,1,4,4,4,25,1,25,25,25
21,10,17,1,17,17,17,8.5628e-05,1,8.5628e-05,8.5628e-05,8.5628e-05,34,1,34,34,34,4,1,4,4,4,18,1,18,18,18
21,10,28,1,28,28,28,9.5366e-05,1,9.5366e-05,9.5366e-05,9.5366e-05,42,1,42,42,42,4,1,4,4,4,26,1,26,26,26
21,10,19,1,19,19,19,8.8036e-05,1,8.8036e-05,8.8036e-05,8.8036e-05,37,1,37,37,37,3,1,3,3,3,20,1,20,20,20
21,10,24,1,24,24,24,9.2981e-05,1,9.2981e-05,9.2981e-05,9.2981e-05,39,1,39,39,39,4,1,4,4,4,21,1,21,21,21
21,10,21,1,21,21,21,9.0433e-05,1,9.0433e-05,9.0433e-05,9.0433e-05,39,1,39,39,39,3,1,3,3,3,22,1,22,22,22
21,10,21,1,21,21,21,9.2538e-05,1,9.2538e-05,9.2538e-05,9.2538e-05,38,1,38,38,38,3,1,3,3,3,23,1,23,23,23
21,10,21,1,21,21,21,0.000118518,1,0.000118518,0.000118518,0.000118518,39,1,39,39,39,3,1,3,3,3,22,1,22,22,22
21,10,24,1,24,24,24,9.5393e-05,1,9.5393e-05,9.5393e-05,9.5393e-05,40,1,40,40,40,4,1,4,4,4,24,1,24,24,24
21,10,27,1,27,27,27,0.000100075,1,0.000100075,0.000100075,0.000100075,41,1,41,41,41,4,1,4,4,4,24,1,24,24,24
21,10,24,1,24,24,24,9.7567e-05,1,9.7567e-05,9.7567e-05,9.7567e-05,41,1,41,41,41,4,1,4,4,4,22,1,22,22,22
21,10,16,1,16,16,16,8.6679e-05,1,8.6679e-05,8.6679e-05,8.6679e-05,34,1,34,34,34,3,1,3,3,3,19,1,19,19,19
21,10,14,1,14,14,14,8.4972e-05,1,8.4972e-05,8.4972e-05,8.4972e-05,33,1,33,33,33,3,1,3,3,3,19,1,19,19,19
21,10,25,1,25,25,25,9.8545e-05,1,9.8545e-05,9.8545e-05,9.8545e-05,41,1,41,41,41,4,1,4,4,4,25,1,25,25,25
21,10,25,1,25,25,25,9.4876e-05,1,9.4876e-05,9.4876e-05,9.4876e-05,40,1,40,40,40,4,1,4,4,4,22,1,22,22,22
21,10,21,1,21,21,21,8.8653e-05,1,8.8653e-05,8.8653e-05,8.8653e-05,36,1,36,36,36,4,1,4,4,4,20,1,20,20,20
21,10,22,1,22,22,22,9.1586e-05,1,9.1586e-05,9.1586e-05,9.1586e-05,39,1,39,39,39,4,1,4,4,4,22,1,22,22,22
21,10,20,1,20,20,20,9.0953e-05,1,9.0953e-05,9.0953e-05,9.0953e-05,38,1,38,38,38,3,1,3,3,3,23,1,23,23,23
21,10,31,1,31,31,31,9.8598e-05,1,9.8598e-05,9.8598e-05,9.8598e-05,41,1,41,41,41,4,1,4,4,4,26,1,26,26,26
21,10,15,1,15,15,15,8.7679e-05,1,8.7679e-05,8.7679e-05,8.7679e-05,34,1,34,34,34,3,1,3,3,3,20,1,20,20,20
21,10,26,1,26,26,26,9.4154e-05,1,9.4154e-05,9.4154e-05,9.4154e-05,39,1,39,39,39,4,1,4,4,4,23,1,23,23,23
21,10,24,1,24,24,24,9.24e-05,1,9.24e-05,9.24e-05,9.24e-05,38,1,38,38,38,4,1,4,4,4,23,1,23,23,23
21,10,22,1,22,22,22,9.0877e-05,1,9.0877e-05,9.0877e-05,9.0877e-05,36,1,36,36,36,4,1,4,4,4,21,1,21,21,21
21,10,10,1,10,10,10,7.9109e-05,1,7.9109e-05,7.9109e-05,7.9109e-05,27,1,27,27,27,4,1,4,4,4,18,1,18,18,18
21,10,23,1,23,23,23,9.5279e-05,1,9.5279e-05,9.5279e-05,9.5279e-05,40,1,40,40,40,4,1,4,4,4,21,1,21,21,21
21,10,26,1,26,26,26,9.9834e-05,1,9.9834e-05,9.9834e-05,9.9834e-05,42,1,42,42,42,4,1,4,4,4,25,1,25,25,25
21,10,19,1,19,19,19,8.7422e-05,1,8.7422e-05,8.7422e-05,8.7422e-05,35,1,35,35,35,4,1,4,4,4,20,1,20,20,20
21,10,11,1,11,11,11,8.1037e-05,1,8.1037e-05,8.1037e-05,8.1037e-05,29,1,29,29,29,3,1,3,3,3,20,1,20,20,20
21,10,26,1,26,26,26,9.5735e-05,1,9.5735e-05,9.5735e-05,9.5735e-05,37,1,37,37,37,5,1,5,5,5,19,1,19,19,19
21,10,23,1,23,23,23,9.5451e-05,1,9.5451e-05,9.5451e-05,9.5451e-05,40,1,40,40,40,3,1,3,3,3,24,1,24,24,24
21,10,17,1,17,17,17,8.8197e-05,1,8.8197e-05,8.8197e-05,8.8197e-05,35,1,35,35,35,3,1,3,3,3,21,1,21,21,21
21,10,25,1,25,25,25,9.5349e-05,1,9.5349e-05,9.5349e-05,9.5349e-05,40,1,40,40,40,4,1,4,4,4,23,1,23,23,23
21,10,17,1,17,17,17,8.6775e-05,1,8.6775e-05,8.6775e-05,8.6775e-05,35,1,35,35,35,3,1,3,3,3,21,1,21,21,21
21,10,19,1,19,19,19,8.9613e-05,1,8.9613e-05,8.9613e-05,8.9613e-05,36,1,36,36,36,3,1,3,3,3,22,1,22,22,22
21,10,16,1,16,16,16,8.6222e-05,1,8.6222e-05,8.6222e-05,8.6222e-05,34,1,34,34,34,3,1,3,3,3,19,1,19,19,19
21,10,21,1,21,21,21,9.0512e-05,1,9.0512e-05,9.0512e-05,9.0512e-05,36,1,36,36,36,4,1,4,4,4,20,1,20,20,20
21,10,27,1,27,27,27,9.9056e-05,1,9.9056e-05,9.9056e-05,9.9056e-05,42,1,42,42,42,4,1,4,4,4,24,1,24,24,24
21,10,23,1,23,23,23,9.5455e-05,1,9.5455e-05,9.5455e-05,9.5455e-05,41,1,41,41,41,3,1,3,3,3,24,1,24,24,24
21,10,18,1,18,18,18,8.6351e-05,1,8.6351e-05,8.6351e-05,8.6351e-05,35,1,35,35,35,4,1,4,4,4,20,1,20,20,20
21,10,23,1,23,23,23,9.0827e-05,1,9.0827e-05,9.0827e-05,9.0827e-05,37,1,37,37,37,4,1,4,4,4,23,1,23,23,23
21,10,13,1,13,13,13,8.3782e-05,1,8.3782e-05,8.3782e-05,8.3782e-05,31,1,31,31,31,3,1,3,3,3,21,1,21,21,21
21,10,24,1,24,24,24,9.6664e-05,1,9.6664e-05,9.6664e-05,9.6664e-05,40,1,40,40,40,4,1,4,4,4,25,1,25,25,25
21,10,30,1,30,30,30,0.000105171,1,0.000105171,0.000105171,0.000105171,46,1,46,46,46,4,1,4,4,4,28,1,28,28,28
21,10,22,1,22,22,22,8.8867e-05,1,8.8867e-05,8.8867e-05,8.8867e-05,37,1,37,37,37,4,1,4,4,4,20,1,20,20,20
21,10,23,1,23,23,23,9.2387e-05,1,9.2387e-05,9.2387e-05,9.2387e-05,38,1,38,38,38,4,1,4,4,4,21,1,21,21,21
21,10,19,1,19,19,19,8.9989e-05,1,8.9989e-05,8.9989e-05,8.9989e-05,37,1,37,37,37,3,1,3,3,3,22,1,22,22,22
21,10,21,1,21,21,21,9.1856e-05,1,9.1856e-05,9.1856e-05,9.1856e-05,36,1,36,36,36,4,1,4,4,4,22,1,22,22,22
21,10,24,1,24,24,24,9.6626e-05,1,9.6626e-05,9.6626e-05,9.6626e-05,41,1,41,41,41,3,1,3,3,3,25,1,25,25,25
21,10,24,1,24,24,24,9.4844e-05,1,9.4844e-05,9.4844e-05,9.4844e-05,40,1,40,40,40,4,1,4,4,4,24,1,24,24,24
21,10,28,1,28,28,28,0.000100048,1,0.000100048,0.000100048,0.000100048,44,1,44,44,44,4,1,4,4,4,24,1,24,24,24
21,10,16,1,16,16,16,8.4094e-05,1,8.4094e-05,8.4094e-05,8.4094e-05,32,1,32,32,32,3,1,3,3,3,21,1,21,21,21
21,10,20,1,20,20,20,8.7761e-05,1,8.7761e-05,8.7761e-05,8.7761e-05,35,1,35,35,35,4,1,4,4,4,22,1,22,22,22
21,10,21,1,21,21,21,9.2206e-05,1,9.2206e-05,9.2206e-05,9.2206e-05,38,1,38,38,38,4,1,4,4,4,20,1,20,20,20
21,10,24,1,24,24,24,9.3377e-05,1,9.3377e-05,9.3377e-05,9.3377e-05,40,1,40,40,40,4,1,4,4,4,24,1,24,24,24
