n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
28,70,282,1,282,282,282,3.0316e-05,1,3.0316e-05,3.0316e-05,3.0316e-05,280,1,280,280,280,8,1,8,8,8,10,1,10,10,10,2,1,2,2,2
28,70,269,1,269,269,269,3.8056e-05,1,3.8056e-05,3.8056e-05,3.8056e-05,367,1,367,367,367,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
28,70,273,1,273,273,273,3.274e-05,1,3.274e-05,3.274e-05,3.274e-05,317,1,317,317,317,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
28,70,270,1,270,270,270,2.2175e-05,1,2.2175e-05,2.2175e-05,2.2175e-05,210,1,210,210,210,7,1,7,7,7,10,1,10,10,10,3,1,3,3,3
28,70,271,1,271,271,271,2.2201e-05,1,2.2201e-05,2.2201e-05,2.2201e-05,201,1,201,201,201,6,1,6,6,6,10,1,10,10,10,4,1,4,4,4
28,70,264,1,264,264,264,3.0748e-05,1,3.0748e-05,3.0748e-05,3.0748e-05,284,1,284,284,284,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
28,70,263,1,263,263,263,1.4558e-05,1,1.4558e-05,1.4558e-05,1.4558e-05,145,1,145,145,145,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,70,279,1,279,279,279,3.6751e-05,1,3.6751e-05,3.6751e-05,3.6751e-05,355,1,355,355,355,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
28,70,271,1,271,271,271,3.259e-05,1,3.259e-05,3.259e-05,3.259e-05,308,1,308,308,308,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
28,70,266,1,266,266,266,2.2055e-05,1,2.2055e-05,2.2055e-05,2.2055e-05,204,1,204,204,204,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,70,269,1,269,269,269,1.8037e-05,1,1.8037e-05,1.8037e-05,1.8037e-05,166,1,166,166,166,6,1,6,6,6,9,1,9,9,9,3,1,3,3,3
28,70,248,1,248,248,248,1.6771e-05,1,1.6771e-05,1.6771e-05,1.6771e-05,142,1,142,142,142,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,70,254,1,254,254,254,2.7773e-05,1,2.7773e-05,2.7773e-05,2.7773e-05,271,1,271,271,271,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,70,259,1,259,259,259,1.5059e-05,1,1.5059e-05,1.5059e-05,1.5059e-05,132,1,132,132,132,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,70,263,1,263,263,263,3.5906e-05,1,3.5906e-05,3.5906e-05,3.5906e-05,326,1,326,326,326,8,1,8,8,8,9,1,9,9,9,1,1,1,1,1
28,70,258,1,258,258,258,2.4217e-05,1,2.4217e-05,2.4217e-05,2.4217e-05,220,1,220,220,220,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
28,70,258,1,258,258,258,1.1714e-05,1,1.1714e-05,1.1714e-05,1.1714e-05,103,1,103,103,103,5,1,5,5,5,8,1,8,8,8,3,1,3,3,3
28,70,263,1,263,263,263,1.3013e-05,1,1.3013e-05,1.3013e-05,1.3013e-05,111,1,111,111,111,5,1,5,5,5,8,1,8,8,8,3,1,3,3,3
28,70,260,1,260,260,260,3.8619e-05,1,3.8619e-05,3.8619e-05,3.8619e-05,376,1,376,376,376,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
28,70,261,1,261,261,261,2.4726e-05,1,2.4726e-05,2.4726e-05,2.4726e-05,220,1,220,220,220,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,70,272,1,272,272,272,4.4662e-05,1,4.4662e-05,4.4662e-05,4.4662e-05,429,1,429,429,429,10,1,10,10,10,10,1,10,10,10,0,1,0,0,0
28,70,270,1,270,270,270,1.86e-05,1,1.86e-05,1.86e-05,1.86e-05,172,1,172,172,172,7,1,7,7,7,10,1,10,10,10,3,1,3,3,3
28,70,267,1,267,267,267,2.0763e-05,1,2.0763e-05,2.0763e-05,2.0763e-05,185,1,185,185,185,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
28,70,249,1,249,249,249,2.0383e-05,1,2.0383e-05,2.0383e-05,2.0383e-05,184,1,184,184,184,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,70,255,1,255,255,255,2.9725e-05,1,2.9725e-05,2.9725e-05,2.9725e-05,282,1,282,282,282,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,70,252,1,252,252,252,3.032e-05,1,3.032e-05,3.032e-05,3.032e-05,278,1,278,278,278,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
28,70,263,1,263,263,263,1.8645e-05,1,1.8645e-05,1.8645e-05,1.8645e-05,162,1,162,162,162,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,70,272,1,272,272,272,1.8303e-05,1,1.8303e-05,1.8303e-05,1.8303e-05,169,1,169,169,169,6,1,6,6,6,10,1,10,10,10,4,1,4,4,4
28,70,271,1,271,271,271,1.8765e-05,1,1.8765e-05,1.8765e-05,1.8765e-05,168,1,168,168,168,6,1,6,6,6,9,1,9,9,9,3,1,3,3,3
28,70,262,1,262,262,262,1.4122e-05,1,1.4122e-05,1.4122e-05,1.4122e-05,129,1,129,129,129,6,1,6,6,6,10,1,10,10,10,4,1,4,4,4
28,70,272,1,272,272,272,3.8756e-05,1,3.8756e-05,3.8756e-05,3.8756e-05,367,1,367,367,367,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
28,70,264,1,264,264,264,1.1238e-05,1,1.1238e-05,1.1238e-05,1.1238e-05,100,1,100,100,100,5,1,5,5,5,10,1,10,10,10,5,1,5,5,5
28,70,267,1,267,267,267,3.1725e-05,1,3.1725e-05,3.1725e-05,3.1725e-05,304,1,304,304,304,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
28,70,255,1,255,255,255,1.9489e-05,1,1.9489e-05,1.9489e-05,1.9489e-05,172,1,172,172,172,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,70,266,1,266,266,266,1.7131e-05,1,1.7131e-05,1.7131e-05,1.7131e-05,150,1,150,150,150,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
28,70,262,1,262,262,262,1.9919e-05,1,1.9919e-05,1.9919e-05,1.9919e-05,179,1,179,179,179,6,1,6,6,6,9,1,9,9,9,3,1,3,3,3
28,70,259,1,259,259,259,2.7542e-05,1,2.7542e-05,2.7542e-05,2.7542e-05,251,1,251,251,251,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,70,269,1,269,269,269,2.4452e-05,1,2.4452e-05,2.4452e-05,2.4452e-05,219,1,219,219,219,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,70,278,1,278,278,278,3.6703e-05,1,3.6703e-05,3.6703e-05,3.6703e-05,362,1,362,362,362,9,1,9,9,9,10,1,10,10,10,1,1,1,1,1
28,70,262,1,262,262,262,2.111e-05,1,2.111e-05,2.111e-05,2.111e-05,202,1,202,202,202,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,70,259,1,259,259,259,1.6893e-05,1,1.6893e-05,1.6893e-05,1.6893e-05,154,1,154,154,154,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,70,249,1,249,249,249,1.323e-05,1,1.323e-05,1.323e-05,1.323e-05,111,1,111,111,111,5,1,5,5,5,9,1,9,9,9,4,1,4,4,4
28,70,265,1,265,265,265,2.179e-05,1,2.179e-05,2.179e-05,2.179e-05,202,1,202,202,202,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,70,258,1,258,258,258,3.3366e-05,1,3.3366e-05,3.3366e-05,3.3366e-05,328,1,328,328,328,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
28,70,274,1,274,274,274,3.3525e-05,1,3.3525e-05,3.3525e-05,3.3525e-05,313,1,313,313,313,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
