n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
28,60,238,1,238,238,238,2.3435e-05,1,2.3435e-05,2.3435e-05,2.3435e-05,227,1,227,227,227,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,60,224,1,224,224,224,1.7905e-05,1,1.7905e-05,1.7905e-05,1.7905e-05,179,1,179,179,179,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,235,1,235,235,235,1.4353e-05,1,1.4353e-05,1.4353e-05,1.4353e-05,145,1,145,145,145,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,215,1,215,215,215,1.2035e-05,1,1.2035e-05,1.2035e-05,1.2035e-05,120,1,120,120,120,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,231,1,231,231,231,1.2017e-05,1,1.2017e-05,1.2017e-05,1.2017e-05,121,1,121,121,121,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,218,1,218,218,218,1.4891e-05,1,1.4891e-05,1.4891e-05,1.4891e-05,144,1,144,144,144,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,60,214,1,214,214,214,1.7387e-05,1,1.7387e-05,1.7387e-05,1.7387e-05,171,1,171,171,171,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,229,1,229,229,229,1.6497e-05,1,1.6497e-05,1.6497e-05,1.6497e-05,161,1,161,161,161,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,206,1,206,206,206,1.657e-05,1,1.657e-05,1.657e-05,1.657e-05,162,1,162,162,162,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,215,1,215,215,215,1.627e-05,1,1.627e-05,1.627e-05,1.627e-05,162,1,162,162,162,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,238,1,238,238,238,2.0595e-05,1,2.0595e-05,2.0595e-05,2.0595e-05,204,1,204,204,204,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,215,1,215,215,215,1.8083e-05,1,1.8083e-05,1.8083e-05,1.8083e-05,177,1,177,177,177,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,60,243,1,243,243,243,1.4041e-05,1,1.4041e-05,1.4041e-05,1.4041e-05,139,1,139,139,139,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,60,239,1,239,239,239,1.8386e-05,1,1.8386e-05,1.8386e-05,1.8386e-05,182,1,182,182,182,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,60,224,1,224,224,224,1.811e-05,1,1.811e-05,1.811e-05,1.811e-05,178,1,178,178,178,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,60,241,1,241,241,241,1.7091e-05,1,1.7091e-05,1.7091e-05,1.7091e-05,170,1,170,170,170,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,60,222,1,222,222,222,1.3442e-05,1,1.3442e-05,1.3442e-05,1.3442e-05,138,1,138,138,138,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,240,1,240,240,240,1.8757e-05,1,1.8757e-05,1.8757e-05,1.8757e-05,186,1,186,186,186,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,60,246,1,246,246,246,1.192e-05,1,1.192e-05,1.192e-05,1.192e-05,119,1,119,119,119,5,1,5,5,5,8,1,8,8,8,3,1,3,3,3
28,60,231,1,231,231,231,2.2909e-05,1,2.2909e-05,2.2909e-05,2.2909e-05,223,1,223,223,223,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
28,60,225,1,225,225,225,2.4616e-05,1,2.4616e-05,2.4616e-05,2.4616e-05,240,1,240,240,240,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,60,227,1,227,227,227,1.3077e-05,1,1.3077e-05,1.3077e-05,1.3077e-05,130,1,130,130,130,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,60,215,1,215,215,215,1.7418e-05,1,1.7418e-05,1.7418e-05,1.7418e-05,170,1,170,170,170,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,244,1,244,244,244,2.0925e-05,1,2.0925e-05,2.0925e-05,2.0925e-05,206,1,206,206,206,7,1,7,7,7,8,1,8,8,8,1,1,1,1,1
28,60,222,1,222,222,222,1.4885e-05,1,1.4885e-05,1.4885e-05,1.4885e-05,149,1,149,149,149,5,1,5,5,5,8,1,8,8,8,3,1,3,3,3
28,60,218,1,218,218,218,1.215e-05,1,1.215e-05,1.215e-05,1.215e-05,121,1,121,121,121,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,240,1,240,240,240,1.2183e-05,1,1.2183e-05,1.2183e-05,1.2183e-05,126,1,126,126,126,5,1,5,5,5,8,1,8,8,8,3,1,3,3,3
28,60,239,1,239,239,239,1.8914e-05,1,1.8914e-05,1.8914e-05,1.8914e-05,191,1,191,191,191,6,1,6,6,6,8,1,8,8,8,2,1,2,2,2
28,60,221,1,221,221,221,2.0317e-05,1,2.0317e-05,2.0317e-05,2.0317e-05,200,1,200,200,200,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,60,233,1,233,233,233,1.5439e-05,1,1.5439e-05,1.5439e-05,1.5439e-05,151,1,151,151,151,5,1,5,5,5,8,1,8,8,8,3,1,3,3,3
28,60,226,1,226,226,226,2.1982e-05,1,2.1982e-05,2.1982e-05,2.1982e-05,212,1,212,212,212,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,224,1,224,224,224,2.0276e-05,1,2.0276e-05,2.0276e-05,2.0276e-05,200,1,200,200,200,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
28,60,238,1,238,238,238,1.5995e-05,1,1.5995e-05,1.5995e-05,1.5995e-05,157,1,157,157,157,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,217,1,217,217,217,2.1302e-05,1,2.1302e-05,2.1302e-05,2.1302e-05,209,1,209,209,209,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
28,60,228,1,228,228,228,1.2837e-05,1,1.2837e-05,1.2837e-05,1.2837e-05,132,1,132,132,132,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,227,1,227,227,227,2.2611e-05,1,2.2611e-05,2.2611e-05,2.2611e-05,225,1,225,225,225,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
28,60,225,1,225,225,225,1.5608e-05,1,1.5608e-05,1.5608e-05,1.5608e-05,154,1,154,154,154,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,227,1,227,227,227,2.361e-05,1,2.361e-05,2.361e-05,2.361e-05,236,1,236,236,236,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,226,1,226,226,226,1.1033e-05,1,1.1033e-05,1.1033e-05,1.1033e-05,110,1,110,110,110,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,218,1,218,218,218,1.6728e-05,1,1.6728e-05,1.6728e-05,1.6728e-05,166,1,166,166,166,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,228,1,228,228,228,2.9441e-05,1,2.9441e-05,2.9441e-05,2.9441e-05,287,1,287,287,287,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
28,60,225,1,225,225,225,1.8248e-05,1,1.8248e-05,1.8248e-05,1.8248e-05,183,1,183,183,183,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,60,226,1,226,226,226,2.0863e-05,1,2.0863e-05,2.0863e-05,2.0863e-05,208,1,208,208,208,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
28,60,224,1,224,224,224,1.6925e-05,1,1.6925e-05,1.6925e-05,1.6925e-05,166,1,166,166,166,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,226,1,226,226,226,1.3926e-05,1,1.3926e-05,1.3926e-05,1.3926e-05,137,1,137,137,137,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,222,1,222,222,222,1.4148e-05,1,1.4148e-05,1.4148e-05,1.4148e-05,143,1,143,143,143,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,242,1,242,242,242,1.6394e-05,1,1.6394e-05,1.6394e-05,1.6394e-05,163,1,163,163,163,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,60,213,1,213,213,213,9.528e-06,1,9.528e-06,9.528e-06,9.528e-06,101,1,101,101,101,4,1,4,4,4,7,1,7,7,7,3,1,3,3,3
28,60,217,1,217,217,217,1.8246e-05,1,1.8246e-05,1.8246e-05,1.8246e-05,181,1,181,181,181,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,60,232,1,232,232,232,2.3973e-05,1,2.3973e-05,2.3973e-05,2.3973e-05,236,1,236,236,236,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
