n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
28,50,193,1,193,193,193,1.4757e-05,1,1.4757e-05,1.4757e-05,1.4757e-05,120,1,120,120,120,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,199,1,199,199,199,2.0048e-05,1,2.0048e-05,2.0048e-05,2.0048e-05,181,1,181,181,181,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,50,203,1,203,203,203,1.2068e-05,1,1.2068e-05,1.2068e-05,1.2068e-05,110,1,110,110,110,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,180,1,180,180,180,8.311e-06,1,8.311e-06,8.311e-06,8.311e-06,78,1,78,78,78,4,1,4,4,4,5,1,5,5,5,1,1,1,1,1
28,50,200,1,200,200,200,1.3372e-05,1,1.3372e-05,1.3372e-05,1.3372e-05,126,1,126,126,126,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,50,180,1,180,180,180,1.7399e-05,1,1.7399e-05,1.7399e-05,1.7399e-05,162,1,162,162,162,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,188,1,188,188,188,1.2425e-05,1,1.2425e-05,1.2425e-05,1.2425e-05,114,1,114,114,114,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,193,1,193,193,193,1.2047e-05,1,1.2047e-05,1.2047e-05,1.2047e-05,113,1,113,113,113,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,50,189,1,189,189,189,1.1978e-05,1,1.1978e-05,1.1978e-05,1.1978e-05,112,1,112,112,112,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,178,1,178,178,178,1.4054e-05,1,1.4054e-05,1.4054e-05,1.4054e-05,120,1,120,120,120,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,184,1,184,184,184,1.5744e-05,1,1.5744e-05,1.5744e-05,1.5744e-05,136,1,136,136,136,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,50,185,1,185,185,185,1.1607e-05,1,1.1607e-05,1.1607e-05,1.1607e-05,100,1,100,100,100,4,1,4,4,4,5,1,5,5,5,1,1,1,1,1
28,50,199,1,199,199,199,1.1181e-05,1,1.1181e-05,1.1181e-05,1.1181e-05,92,1,92,92,92,4,1,4,4,4,6,1,6,6,6,2,1,2,2,2
28,50,203,1,203,203,203,2.0348e-05,1,2.0348e-05,2.0348e-05,2.0348e-05,187,1,187,187,187,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,50,170,1,170,170,170,1.0355e-05,1,1.0355e-05,1.0355e-05,1.0355e-05,101,1,101,101,101,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
28,50,177,1,177,177,177,1.6437e-05,1,1.6437e-05,1.6437e-05,1.6437e-05,148,1,148,148,148,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,200,1,200,200,200,3.0593e-05,1,3.0593e-05,3.0593e-05,3.0593e-05,120,1,120,120,120,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,50,203,1,203,203,203,1.6139e-05,1,1.6139e-05,1.6139e-05,1.6139e-05,143,1,143,143,143,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,50,200,1,200,200,200,2.1428e-05,1,2.1428e-05,2.1428e-05,2.1428e-05,189,1,189,189,189,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,50,176,1,176,176,176,7.179e-06,1,7.179e-06,7.179e-06,7.179e-06,55,1,55,55,55,3,1,3,3,3,6,1,6,6,6,3,1,3,3,3
28,50,190,1,190,190,190,1.0527e-05,1,1.0527e-05,1.0527e-05,1.0527e-05,100,1,100,100,100,4,1,4,4,4,6,1,6,6,6,2,1,2,2,2
28,50,199,1,199,199,199,1.6037e-05,1,1.6037e-05,1.6037e-05,1.6037e-05,136,1,136,136,136,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,189,1,189,189,189,1.0927e-05,1,1.0927e-05,1.0927e-05,1.0927e-05,98,1,98,98,98,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,187,1,187,187,187,1.644e-05,1,1.644e-05,1.644e-05,1.644e-05,134,1,134,134,134,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,50,199,1,199,199,199,1.6684e-05,1,1.6684e-05,1.6684e-05,1.6684e-05,145,1,145,145,145,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,197,1,197,197,197,7e-06,1,7e-06,7e-06,7e-06,56,1,56,56,56,3,1,3,3,3,6,1,6,6,6,3,1,3,3,3
28,50,188,1,188,188,188,1.1032e-05,1,1.1032e-05,1.1032e-05,1.1032e-05,93,1,93,93,93,4,1,4,4,4,6,1,6,6,6,2,1,2,2,2
28,50,184,1,184,184,184,8.956e-06,1,8.956e-06,8.956e-06,8.956e-06,80,1,80,80,80,4,1,4,4,4,5,1,5,5,5,1,1,1,1,1
28,50,181,1,181,181,181,1.7719e-05,1,1.7719e-05,1.7719e-05,1.7719e-05,147,1,147,147,147,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,50,184,1,184,184,184,1.5937e-05,1,1.5937e-05,1.5937e-05,1.5937e-05,134,1,134,134,134,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,193,1,193,193,193,1.264e-05,1,1.264e-05,1.264e-05,1.264e-05,108,1,108,108,108,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,50,185,1,185,185,185,1.5107e-05,1,1.5107e-05,1.5107e-05,1.5107e-05,126,1,126,126,126,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,165,1,165,165,165,1.3876e-05,1,1.3876e-05,1.3876e-05,1.3876e-05,127,1,127,127,127,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,191,1,191,191,191,1.3799e-05,1,1.3799e-05,1.3799e-05,1.3799e-05,111,1,111,111,111,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,202,1,202,202,202,2.1214e-05,1,2.1214e-05,2.1214e-05,2.1214e-05,189,1,189,189,189,6,1,6,6,6,7,1,7,7,7,1,1,1,1,1
28,50,179,1,179,179,179,1.3671e-05,1,1.3671e-05,1.3671e-05,1.3671e-05,117,1,117,117,117,5,1,5,5,5,7,1,7,7,7,2,1,2,2,2
28,50,185,1,185,185,185,2.4187e-05,1,2.4187e-05,2.4187e-05,2.4187e-05,207,1,207,207,207,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,50,169,1,169,169,169,7.462e-06,1,7.462e-06,7.462e-06,7.462e-06,63,1,63,63,63,3,1,3,3,3,6,1,6,6,6,3,1,3,3,3
28,50,189,1,189,189,189,1.563e-05,1,1.563e-05,1.563e-05,1.563e-05,144,1,144,144,144,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,194,1,194,194,194,7.722e-06,1,7.722e-06,7.722e-06,7.722e-06,60,1,60,60,60,4,1,4,4,4,7,1,7,7,7,3,1,3,3,3
28,50,181,1,181,181,181,1.0671e-05,1,1.0671e-05,1.0671e-05,1.0671e-05,84,1,84,84,84,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,183,1,183,183,183,1.8154e-05,1,1.8154e-05,1.8154e-05,1.8154e-05,168,1,168,168,168,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,186,1,186,186,186,1.2776e-05,1,1.2776e-05,1.2776e-05,1.2776e-05,119,1,119,119,119,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,175,1,175,175,175,7.202e-06,1,7.202e-06,7.202e-06,7.202e-06,59,1,59,59,59,3,1,3,3,3,6,1,6,6,6,3,1,3,3,3
28,50,181,1,181,181,181,9.491e-06,1,9.491e-06,9.491e-06,9.491e-06,79,1,79,79,79,4,1,4,4,4,5,1,5,5,5,1,1,1,1,1
28,50,207,1,207,207,207,1.4671e-05,1,1.4671e-05,1.4671e-05,1.4671e-05,117,1,117,117,117,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,190,1,190,190,190,1.2897e-05,1,1.2897e-05,1.2897e-05,1.2897e-05,119,1,119,119,119,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,191,1,191,191,191,1.191e-05,1,1.191e-05,1.191e-05,1.191e-05,105,1,105,105,105,4,1,4,4,4,6,1,6,6,6,2,1,2,2,2
28,50,189,1,189,189,189,8.771e-06,1,8.771e-06,8.771e-06,8.771e-06,72,1,72,72,72,4,1,4,4,4,7,1,7,7,7,3,1,3,3,3
28,50,182,1,182,182,182,1.4718e-05,1,1.4718e-05,1.4718e-05,1.4718e-05,119,1,119,119,119,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
28,50,198,1,198,198,198,2.0552e-05,1,2.0552e-05,2.0552e-05,2.0552e-05,175,1,175,175,175,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
28,50,189,1,189,189,189,2.0055e-05,1,2.0055e-05,2.0055e-05,2.0055e-05,178,1,178,178,178,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
