n,p,m_total,m_count,m_mean,m_min,m_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max,isteps_total,isteps_count,isteps_mean,isteps_min,isteps_max,inumber_total,inumber_count,inumber_mean,inumber_min,inumber_max
35,70,411,1,411,411,411,758,1,758,758,758,12,1,12,12,12,1079,1,1079,1079,1079,12,1,12,12,12
35,70,423,1,423,423,423,778,1,778,778,778,12,1,12,12,12,1044,1,1044,1044,1044,12,1,12,12,12
35,70,411,1,411,411,411,785,1,785,785,785,12,1,12,12,12,1119,1,1119,1119,1119,12,1,12,12,12
35,70,419,1,419,419,419,778,1,778,778,778,13,1,13,13,13,1183,1,1183,1183,1183,13,1,13,13,13
35,70,418,1,418,418,418,781,1,781,781,781,12,1,12,12,12,1114,1,1114,1114,1114,12,1,12,12,12
35,70,417,1,417,417,417,769,1,769,769,769,12,1,12,12,12,1082,1,1082,1082,1082,12,1,12,12,12
35,70,410,1,410,410,410,782,1,782,782,782,12,1,12,12,12,1079,1,1079,1079,1079,12,1,12,12,12
35,70,406,1,406,406,406,774,1,774,774,774,13,1,13,13,13,1176,1,1176,1176,1176,13,1,13,13,13
35,70,409,1,409,409,409,782,1,782,782,782,12,1,12,12,12,1152,1,1152,1152,1152,12,1,12,12,12
35,70,421,1,421,421,421,789,1,789,789,789,13,1,13,13,13,1150,1,1150,1150,1150,13,1,13,13,13
35,70,425,1,425,425,425,790,1,790,790,790,12,1,12,12,12,1122,1,1122,1122,1122,12,1,12,12,12
35,70,423,1,423,423,423,793,1,793,793,793,13,1,13,13,13,1295,1,1295,1295,1295,13,1,13,13,13
35,70,405,1,405,405,405,790,1,790,790,790,12,1,12,12,12,1108,1,1108,1108,1108,12,1,12,12,12
35,70,417,1,417,417,417,776,1,776,776,776,13,1,13,13,13,1187,1,1187,1187,1187,13,1,13,13,13
35,70,417,1,417,417,417,782,1,782,782,782,12,1,12,12,12,1093,1,1093,1093,1093,12,1,12,12,12
35,70,414,1,414,414,414,788,1,788,788,788,13,1,13,13,13,1168,1,1168,1168,1168,13,1,13,13,13
35,70,411,1,411,411,411,791,1,791,791,791,13,1,13,13,13,1170,1,1170,1170,1170,13,1,13,13,13
35,70,403,1,403,403,403,766,1,766,766,766,12,1,12,12,12,1099,1,1099,1099,1099,12,1,12,12,12
35,70,429,1,429,429,429,798,1,798,798,798,14,1,14,14,14,1299,1,1299,1299,1299,14,1,14,14,14
35,70,429,1,429,429,429,792,1,792,792,792,13,1,13,13,13,1205,1,1205,1205,1205,13,1,13,13,13
35,70,407,1,407,407,407,796,1,796,796,796,13,1,13,13,13,1210,1,1210,1210,1210,13,1,13,13,13
35,70,418,1,418,418,418,789,1,789,789,789,13,1,13,13,13,1201,1,1201,1201,1201,13,1,13,13,13
35,70,424,1,424,424,424,801,1,801,801,801,13,1,13,13,13,1217,1,1217,1217,1217,13,1,13,13,13
35,70,420,1,420,420,420,806,1,806,806,806,14,1,14,14,14,1325,1,1325,1325,1325,14,1,14,14,14
35,70,410,1,410,410,410,817,1,817,817,817,13,1,13,13,13,1205,1,1205,1205,1205,13,1,13,13,13
35,70,430,1,430,430,430,774,1,774,774,774,12,1,12,12,12,1082,1,1082,1082,1082,12,1,12,12,12
35,70,417,1,417,417,417,790,1,790,790,790,12,1,12,12,12,1099,1,1099,1099,1099,12,1,12,12,12
35,70,414,1,414,414,414,800,1,800,800,800,13,1,13,13,13,1214,1,1214,1214,1214,13,1,13,13,13
35,70,423,1,423,423,423,812,1,812,812,812,15,1,15,15,15,1399,1,1399,1399,1399,15,1,15,15,15
35,70,428,1,428,428,428,807,1,807,807,807,13,1,13,13,13,1197,1,1197,1197,1197,13,1,13,13,13
35,70,433,1,433,433,433,797,1,797,797,797,14,1,14,14,14,1253,1,1253,1253,1253,14,1,14,14,14
35,70,415,1,415,415,415,765,1,765,765,765,12,1,12,12,12,1111,1,1111,1111,1111,12,1,12,12,12
35,70,424,1,424,424,424,776,1,776,776,776,12,1,12,12,12,1137,1,1137,1137,1137,12,1,12,12,12
35,70,400,1,400,400,400,775,1,775,775,775,12,1,12,12,12,1096,1,1096,1096,1096,12,1,12,12,12
35,70,417,1,417,417,417,820,1,820,820,820,15,1,15,15,15,1349,1,1349,1349,1349,15,1,15,15,15
35,70,403,1,403,403,403,762,1,762,762,762,12,1,12,12,12,1109,1,1109,1109,1109,12,1,12,12,12
35,70,434,1,434,434,434,797,1,797,797,797,13,1,13,13,13,1169,1,1169,1169,1169,13,1,13,13,13
35,70,413,1,413,413,413,792,1,792,792,792,12,1,12,12,12,1141,1,1141,1141,1141,12,1,12,12,12
35,70,417,1,417,417,417,788,1,788,788,788,12,1,12,12,12,1126,1,1126,1126,1126,12,1,12,12,12
35,70,431,1,431,431,431,784,1,784,784,784,12,1,12,12,12,1124,1,1124,1124,1124,12,1,12,12,12
