n,p,m_total,m_count,m_mean,m_min,m_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max,isteps_total,isteps_count,isteps_mean,isteps_min,isteps_max,inumber_total,inumber_count,inumber_mean,inumber_min,inumber_max
35,40,239,1,239,239,239,692,1,692,692,692,8,1,8,8,8,835,1,835,835,835,8,1,8,8,8
35,40,229,1,229,229,229,693,1,693,693,693,8,1,8,8,8,872,1,872,872,872,8,1,8,8,8
35,40,259,1,259,259,259,703,1,703,703,703,8,1,8,8,8,904,1,904,904,904,8,1,8,8,8
35,40,235,1,235,235,235,689,1,689,689,689,8,1,8,8,8,899,1,899,899,899,8,1,8,8,8
35,40,238,1,238,238,238,708,1,708,708,708,8,1,8,8,8,915,1,915,915,915,8,1,8,8,8
35,40,235,1,235,235,235,694,1,694,694,694,8,1,8,8,8,866,1,866,866,866,8,1,8,8,8
35,40,230,1,230,230,230,703,1,703,703,703,8,1,8,8,8,1024,1,1024,1024,1024,9,1,9,9,9
35,40,250,1,250,250,250,722,1,722,722,722,9,1,9,9,9,978,1,978,978,978,9,1,9,9,9
35,40,233,1,233,233,233,694,1,694,694,694,8,1,8,8,8,1017,1,1017,1017,1017,8,1,8,8,8
35,40,231,1,231,231,231,698,1,698,698,698,8,1,8,8,8,958,1,958,958,958,8,1,8,8,8
35,40,237,1,237,237,237,700,1,700,700,700,8,1,8,8,8,922,1,922,922,922,8,1,8,8,8
35,40,237,1,237,237,237,701,1,701,701,701,8,1,8,8,8,930,1,930,930,930,8,1,8,8,8
35,40,243,1,243,243,243,709,1,709,709,709,8,1,8,8,8,976,1,976,976,976,8,1,8,8,8
35,40,230,1,230,230,230,688,1,688,688,688,7,1,7,7,7,873,1,873,873,873,7,1,7,7,7
35,40,239,1,239,239,239,697,1,697,697,697,8,1,8,8,8,886,1,886,886,886,8,1,8,8,8
35,40,236,1,236,236,236,687,1,687,687,687,8,1,8,8,8,882,1,882,882,882,8,1,8,8,8
35,40,242,1,242,242,242,707,1,707,707,707,8,1,8,8,8,902,1,902,902,902,8,1,8,8,8
35,40,255,1,255,255,255,699,1,699,699,699,8,1,8,8,8,855,1,855,855,855,8,1,8,8,8
35,40,240,1,240,240,240,705,1,705,705,705,8,1,8,8,8,873,1,873,873,873,8,1,8,8,8
35,40,238,1,238,238,238,701,1,701,701,701,8,1,8,8,8,939,1,939,939,939,8,1,8,8,8
35,40,240,1,240,240,240,701,1,701,701,701,8,1,8,8,8,889,1,889,889,889,8,1,8,8,8
35,40,209,1,209,209,209,681,1,681,681,681,7,1,7,7,7,827,1,827,827,827,7,1,7,7,7
35,40,240,1,240,240,240,702,1,702,702,702,9,1,9,9,9,939,1,939,939,939,9,1,9,9,9
35,40,242,1,242,242,242,702,1,702,702,702,8,1,8,8,8,878,1,878,878,878,8,1,8,8,8
35,40,221,1,221,221,221,690,1,690,690,690,8,1,8,8,8,874,1,874,874,874,8,1,8,8,8
35,40,226,1,226,226,226,694,1,694,694,694,8,1,8,8,8,897,1,897,897,897,8,1,8,8,8
35,40,236,1,236,236,236,703,1,703,703,703,8,1,8,8,8,853,1,853,853,853,8,1,8,8,8
35,40,215,1,215,215,215,693,1,693,693,693,7,1,7,7,7,885,1,885,885,885,7,1,7,7,7
35,40,251,1,251,251,251,721,1,721,721,721,9,1,9,9,9,961,1,961,961,961,9,1,9,9,9
35,40,227,1,227,227,227,679,1,679,679,679,7,1,7,7,7,833,1,833,833,833,7,1,7,7,7
35,40,245,1,245,245,245,706,1,706,706,706,8,1,8,8,8,888,1,888,888,888,8,1,8,8,8
35,40,219,1,219,219,219,687,1,687,687,687,7,1,7,7,7,852,1,852,852,852,7,1,7,7,7
35,40,257,1,257,257,257,702,1,702,702,702,8,1,8,8,8,858,1,858,858,858,8,1,8,8,8
35,40,254,1,254,254,254,704,1,704,704,704,8,1,8,8,8,864,1,864,864,864,8,1,8,8,8
35,40,225,1,225,225,225,693,1,693,693,693,8,1,8,8,8,881,1,881,881,881,8,1,8,8,8
35,40,241,1,241,241,241,707,1,707,707,707,8,1,8,8,8,895,1,895,895,895,8,1,8,8,8
35,40,241,1,241,241,241,684,1,684,684,684,7,1,7,7,7,837,1,837,837,837,7,1,7,7,7
35,40,246,1,246,246,246,713,1,713,713,713,8,1,8,8,8,909,1,909,909,909,8,1,8,8,8
35,40,253,1,253,253,253,705,1,705,705,705,9,1,9,9,9,927,1,927,927,927,9,1,9,9,9
35,40,253,1,253,253,253,713,1,713,713,713,9,1,9,9,9,991,1,991,991,991,9,1,9,9,9
35,40,234,1,234,234,234,702,1,702,702,702,8,1,8,8,8,887,1,887,887,887,8,1,8,8,8
35,40,238,1,238,238,238,708,1,708,708,708,8,1,8,8,8,923,1,923,923,923,8,1,8,8,8
35,40,235,1,235,235,235,698,1,698,698,698,8,1,8,8,8,899,1,899,899,899,8,1,8,8,8
35,40,234,1,234,234,234,713,1,713,713,713,9,1,9,9,9,958,1,958,958,958,9,1,9,9,9
35,40,237,1,237,237,237,696,1,696,696,696,7,1,7,7,7,983,1,983,983,983,9,1,9,9,9
35,40,237,1,237,237,237,693,1,693,693,693,8,1,8,8,8,897,1,897,897,897,8,1,8,8,8
35,40,233,1,233,233,233,698,1,698,698,698,7,1,7,7,7,847,1,847,847,847,7,1,7,7,7
35,40,259,1,259,259,259,725,1,725,725,725,9,1,9,9,9,948,1,948,948,948,9,1,9,9,9
35,40,237,1,237,237,237,698,1,698,698,698,8,1,8,8,8,902,1,902,902,902,8,1,8,8,8
35,40,220,1,220,220,220,700,1,700,700,700,8,1,8,8,8,938,1,938,938,938,8,1,8,8,8
35,40,234,1,234,234,234,697,1,697,697,697,7,1,7,7,7,975,1,975,975,975,8,1,8,8,8
35,40,231,1,231,231,231,693,1,693,693,693,8,1,8,8,8,913,1,913,913,913,8,1,8,8,8
35,40,227,1,227,227,227,694,1,694,694,694,8,1,8,8,8,864,1,864,864,864,8,1,8,8,8
35,40,230,1,230,230,230,698,1,698,698,698,8,1,8,8,8,850,1,850,850,850,8,1,8,8,8
35,40,232,1,232,232,232,703,1,703,703,703,7,1,7,7,7,830,1,830,830,830,7,1,7,7,7
35,40,238,1,238,238,238,695,1,695,695,695,8,1,8,8,8,921,1,921,921,921,8,1,8,8,8
35,40,227,1,227,227,227,713,1,713,713,713,9,1,9,9,9,985,1,985,985,985,9,1,9,9,9
35,40,243,1,243,243,243,706,1,706,706,706,8,1,8,8,8,910,1,910,910,910,8,1,8,8,8
35,40,224,1,224,224,224,697,1,697,697,697,8,1,8,8,8,908,1,908,908,908,8,1,8,8,8
35,40,227,1,227,227,227,703,1,703,703,703,7,1,7,7,7,855,1,855,855,855,7,1,7,7,7
35,40,234,1,234,234,234,696,1,696,696,696,7,1,7,7,7,808,1,808,808,808,7,1,7,7,7
35,40,238,1,238,238,238,701,1,701,701,701,8,1,8,8,8,895,1,895,895,895,8,1,8,8,8
