n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
5,30,4,1,4,4,4,3.56e-06,1,3.56e-06,3.56e-06,3.56e-06,25,1,25,25,25,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
5,30,3,1,3,3,3,3.373e-06,1,3.373e-06,3.373e-06,3.373e-06,25,1,25,25,25,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
5,30,6,1,6,6,6,3.675e-06,1,3.675e-06,3.675e-06,3.675e-06,27,1,27,27,27,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
5,30,2,1,2,2,2,2.032e-06,1,2.032e-06,2.032e-06,2.032e-06,16,1,16,16,16,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,4,1,4,4,4,3.36e-06,1,3.36e-06,3.36e-06,3.36e-06,25,1,25,25,25,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
5,30,3,1,3,3,3,2.438e-06,1,2.438e-06,2.438e-06,2.438e-06,18,1,18,18,18,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,3,1,3,3,3,2.205e-06,1,2.205e-06,2.205e-06,2.205e-06,17,1,17,17,17,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,4,1,4,4,4,2.261e-06,1,2.261e-06,2.261e-06,2.261e-06,17,1,17,17,17,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,5,1,5,5,5,2.281e-06,1,2.281e-06,2.281e-06,2.281e-06,17,1,17,17,17,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,5,1,5,5,5,3.489e-06,1,3.489e-06,3.489e-06,3.489e-06,26,1,26,26,26,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
5,30,5,1,5,5,5,2.347e-06,1,2.347e-06,2.347e-06,2.347e-06,18,1,18,18,18,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,8,1,8,8,8,5.222e-06,1,5.222e-06,5.222e-06,5.222e-06,40,1,40,40,40,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
5,30,3,1,3,3,3,2.183e-06,1,2.183e-06,2.183e-06,2.183e-06,17,1,17,17,17,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
