n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
16,10,11,1,11,11,11,5.838e-06,1,5.838e-06,5.838e-06,5.838e-06,45,1,45,45,45,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,12,1,12,12,12,5.37e-06,1,5.37e-06,5.37e-06,5.37e-06,37,1,37,37,37,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,14,1,14,14,14,5.52e-06,1,5.52e-06,5.52e-06,5.52e-06,41,1,41,41,41,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,16,1,16,16,16,8.305e-06,1,8.305e-06,8.305e-06,8.305e-06,69,1,69,69,69,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
16,10,10,1,10,10,10,5.386e-06,1,5.386e-06,5.386e-06,5.386e-06,44,1,44,44,44,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,7,1,7,7,7,5.161e-06,1,5.161e-06,5.161e-06,5.161e-06,36,1,36,36,36,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,16,1,16,16,16,8.116e-06,1,8.116e-06,8.116e-06,8.116e-06,58,1,58,58,58,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
16,10,7,1,7,7,7,5.208e-06,1,5.208e-06,5.208e-06,5.208e-06,38,1,38,38,38,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,14,1,14,14,14,8.117e-06,1,8.117e-06,8.117e-06,8.117e-06,59,1,59,59,59,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
16,10,19,1,19,19,19,8.462e-06,1,8.462e-06,8.462e-06,8.462e-06,70,1,70,70,70,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
16,10,16,1,16,16,16,8.319e-06,1,8.319e-06,8.319e-06,8.319e-06,67,1,67,67,67,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
16,10,11,1,11,11,11,5.368e-06,1,5.368e-06,5.368e-06,5.368e-06,43,1,43,43,43,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,14,1,14,14,14,5.472e-06,1,5.472e-06,5.472e-06,5.472e-06,47,1,47,47,47,2,1,2,2,2,3,1,3,3,3,1,1,1,1,1
16,10,18,1,18,18,18,5.343e-06,1,5.343e-06,5.343e-06,5.343e-06,37,1,37,37,37,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,5,1,5,5,5,5.151e-06,1,5.151e-06,5.151e-06,5.151e-06,40,1,40,40,40,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,11,1,11,11,11,5.18e-06,1,5.18e-06,5.18e-06,5.18e-06,36,1,36,36,36,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,7,1,7,7,7,5.35e-06,1,5.35e-06,5.35e-06,5.35e-06,40,1,40,40,40,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,17,1,17,17,17,8.232e-06,1,8.232e-06,8.232e-06,8.232e-06,60,1,60,60,60,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
16,10,9,1,9,9,9,5.41e-06,1,5.41e-06,5.41e-06,5.41e-06,48,1,48,48,48,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,10,1,10,10,10,5.488e-06,1,5.488e-06,5.488e-06,5.488e-06,49,1,49,49,49,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,17,1,17,17,17,8.1e-06,1,8.1e-06,8.1e-06,8.1e-06,63,1,63,63,63,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
16,10,13,1,13,13,13,5.419e-06,1,5.419e-06,5.419e-06,5.419e-06,48,1,48,48,48,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,14,1,14,14,14,5.619e-06,1,5.619e-06,5.619e-06,5.619e-06,50,1,50,50,50,2,1,2,2,2,3,1,3,3,3,1,1,1,1,1
16,10,15,1,15,15,15,8.341e-06,1,8.341e-06,8.341e-06,8.341e-06,60,1,60,60,60,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
16,10,11,1,11,11,11,5.443e-06,1,5.443e-06,5.443e-06,5.443e-06,50,1,50,50,50,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
16,10,15,1,15,15,15,7.917e-06,1,7.917e-06,7.917e-06,7.917e-06,56,1,56,56,56,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
