n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
42,10,86258,1000,86.258,62,127,0.0178194,1000,1.78194e-05,1.2525e-05,3.9833e-05,145980,1000,145.98,91,238,2717,1000,2.717,2,4,3100,1000,3.1,3,4,383,1000,0.383,0,2
42,20,172337,1000,172.337,131,215,0.0239066,1000,2.39066e-05,1.3347e-05,4.4919e-05,198172,1000,198.172,98,326,3422,1000,3.422,2,5,4050,1000,4.05,3,5,628,1000,0.628,0,3
42,30,258376,1000,258.376,207,305,0.0314583,1000,3.14583e-05,2.0918e-05,5.7758e-05,265392,1000,265.392,161,436,4161,1000,4.161,3,6,4960,1000,4.96,4,6,799,1000,0.799,0,3
42,40,343177,1000,343.177,304,389,0.0410564,1000,4.10564e-05,2.2227e-05,7.8614e-05,353687,1000,353.687,182,591,4959,1000,4.959,3,7,5920,1000,5.92,5,8,961,1000,0.961,0,3
42,50,430303,1000,430.303,384,489,0.0553978,1000,5.53978e-05,3.2841e-05,9.0345e-05,496006,1000,496.006,278,837,6021,1000,6.021,4,9,7075,1000,7.075,6,9,1054,1000,1.054,0,4
42,60,514872,1000,514.872,468,566,0.0776353,1000,7.76353e-05,4.4884e-05,0.000136842,718725,1000,718.725,391,1201,7361,1000,7.361,5,10,8527,1000,8.527,7,11,1166,1000,1.166,0,4
42,70,602473,1000,602.473,564,642,0.118158,1000,0.000118158,7.3379e-05,0.000198015,1140029,1000,1140.03,696,1976,9324,1000,9.324,7,13,10611,1000,10.611,9,13,1287,1000,1.287,0,4
42,80,688768,1000,688.768,646,727,0.200642,1000,0.000200642,0.000119102,0.000317544,2015537,1000,2015.54,1163,3198,12287,1000,12.287,9,16,13651,1000,13.651,11,16,1364,1000,1.364,0,6
42,90,774605,1000,774.605,741,804,0.443498,1000,0.000443498,0.000245876,0.000757561,4630089,1000,4630.09,2486,8015,18217,1000,18.217,13,24,19285,1000,19.285,15,24,1068,1000,1.068,0,4
