n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
15,50,54,1,54,54,54,1.3568e-05,1,1.3568e-05,1.3568e-05,1.3568e-05,108,1,108,108,108,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,50,53,1,53,53,53,1.3464e-05,1,1.3464e-05,1.3464e-05,1.3464e-05,110,1,110,110,110,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,50,52,1,52,52,52,1.2985e-05,1,1.2985e-05,1.2985e-05,1.2985e-05,112,1,112,112,112,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,50,48,1,48,48,48,8.85e-06,1,8.85e-06,8.85e-06,8.85e-06,67,1,67,67,67,3,1,3,3,3,4,1,4,4,4,1,1,1,1,1
15,50,55,1,55,55,55,1.3989e-05,1,1.3989e-05,1.3989e-05,1.3989e-05,114,1,114,114,114,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,50,55,1,55,55,55,9.373e-06,1,9.373e-06,9.373e-06,9.373e-06,73,1,73,73,73,3,1,3,3,3,4,1,4,4,4,1,1,1,1,1
15,50,55,1,55,55,55,1.7063e-05,1,1.7063e-05,1.7063e-05,1.7063e-05,143,1,143,143,143,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,55,1,55,55,55,1.2774e-05,1,1.2774e-05,1.2774e-05,1.2774e-05,102,1,102,102,102,4,1,4,4,4,5,1,5,5,5,1,1,1,1,1
15,50,54,1,54,54,54,1.6622e-05,1,1.6622e-05,1.6622e-05,1.6622e-05,136,1,136,136,136,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,45,1,45,45,45,1.6645e-05,1,1.6645e-05,1.6645e-05,1.6645e-05,144,1,144,144,144,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,56,1,56,56,56,9.049e-06,1,9.049e-06,9.049e-06,9.049e-06,70,1,70,70,70,3,1,3,3,3,5,1,5,5,5,2,1,2,2,2
15,50,54,1,54,54,54,1.2829e-05,1,1.2829e-05,1.2829e-05,1.2829e-05,106,1,106,106,106,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,50,68,1,68,68,68,1.7291e-05,1,1.7291e-05,1.7291e-05,1.7291e-05,144,1,144,144,144,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,58,1,58,58,58,1.7031e-05,1,1.7031e-05,1.7031e-05,1.7031e-05,146,1,146,146,146,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,50,1,50,50,50,1.6957e-05,1,1.6957e-05,1.6957e-05,1.6957e-05,146,1,146,146,146,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,59,1,59,59,59,1.6724e-05,1,1.6724e-05,1.6724e-05,1.6724e-05,141,1,141,141,141,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,47,1,47,47,47,1.1873e-05,1,1.1873e-05,1.1873e-05,1.1873e-05,92,1,92,92,92,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,50,50,1,50,50,50,1.7583e-05,1,1.7583e-05,1.7583e-05,1.7583e-05,145,1,145,145,145,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,59,1,59,59,59,1.7259e-05,1,1.7259e-05,1.7259e-05,1.7259e-05,141,1,141,141,141,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,62,1,62,62,62,1.846e-05,1,1.846e-05,1.846e-05,1.846e-05,158,1,158,158,158,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
15,50,54,1,54,54,54,1.7163e-05,1,1.7163e-05,1.7163e-05,1.7163e-05,150,1,150,150,150,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
15,50,49,1,49,49,49,1.2371e-05,1,1.2371e-05,1.2371e-05,1.2371e-05,97,1,97,97,97,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
