n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
24,20,60,1,60,60,60,1.3014e-05,1,1.3014e-05,1.3014e-05,1.3014e-05,98,1,98,98,98,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
24,20,55,1,55,55,55,1.5889e-05,1,1.5889e-05,1.5889e-05,1.5889e-05,126,1,126,126,126,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
24,20,56,1,56,56,56,7.942e-06,1,7.942e-06,7.942e-06,7.942e-06,59,1,59,59,59,2,1,2,2,2,3,1,3,3,3,1,1,1,1,1
24,20,47,1,47,47,47,1.224e-05,1,1.224e-05,1.224e-05,1.224e-05,98,1,98,98,98,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
24,20,49,1,49,49,49,1.2044e-05,1,1.2044e-05,1.2044e-05,1.2044e-05,93,1,93,93,93,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
24,20,60,1,60,60,60,1.2553e-05,1,1.2553e-05,1.2553e-05,1.2553e-05,111,1,111,111,111,3,1,3,3,3,4,1,4,4,4,1,1,1,1,1
24,20,66,1,66,66,66,1.2697e-05,1,1.2697e-05,1.2697e-05,1.2697e-05,98,1,98,98,98,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
24,20,44,1,44,44,44,1.1549e-05,1,1.1549e-05,1.1549e-05,1.1549e-05,95,1,95,95,95,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
24,20,55,1,55,55,55,1.1811e-05,1,1.1811e-05,1.1811e-05,1.1811e-05,91,1,91,91,91,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
24,20,63,1,63,63,63,1.2516e-05,1,1.2516e-05,1.2516e-05,1.2516e-05,111,1,111,111,111,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
24,20,57,1,57,57,57,7.891e-06,1,7.891e-06,7.891e-06,7.891e-06,58,1,58,58,58,2,1,2,2,2,3,1,3,3,3,1,1,1,1,1
24,20,52,1,52,52,52,1.7592e-05,1,1.7592e-05,1.7592e-05,1.7592e-05,137,1,137,137,137,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
24,20,52,1,52,52,52,1.744e-05,1,1.744e-05,1.744e-05,1.744e-05,139,1,139,139,139,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
24,20,40,1,40,40,40,8.103e-06,1,8.103e-06,8.103e-06,8.103e-06,66,1,66,66,66,2,1,2,2,2,3,1,3,3,3,1,1,1,1,1
24,20,56,1,56,56,56,1.2308e-05,1,1.2308e-05,1.2308e-05,1.2308e-05,106,1,106,106,106,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
24,20,51,1,51,51,51,1.2364e-05,1,1.2364e-05,1.2364e-05,1.2364e-05,104,1,104,104,104,3,1,3,3,3,4,1,4,4,4,1,1,1,1,1
24,20,62,1,62,62,62,1.1976e-05,1,1.1976e-05,1.1976e-05,1.1976e-05,90,1,90,90,90,3,1,3,3,3,4,1,4,4,4,1,1,1,1,1
24,20,63,1,63,63,63,1.7029e-05,1,1.7029e-05,1.7029e-05,1.7029e-05,137,1,137,137,137,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
24,20,61,1,61,61,61,1.1809e-05,1,1.1809e-05,1.1809e-05,1.1809e-05,92,1,92,92,92,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
