n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
41,90,734,1,734,734,734,0.000412962,1,0.000412962,0.000412962,0.000412962,4005,1,4005,4005,4005,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,733,1,733,733,733,0.000449019,1,0.000449019,0.000449019,0.000449019,4690,1,4690,4690,4690,19,1,19,19,19,20,1,20,20,20,1,1,1,1,1
41,90,735,1,735,735,735,0.000515716,1,0.000515716,0.000515716,0.000515716,5121,1,5121,5121,5121,20,1,20,20,20,20,1,20,20,20,0,1,0,0,0
41,90,738,1,738,738,738,0.000412077,1,0.000412077,0.000412077,0.000412077,4328,1,4328,4328,4328,18,1,18,18,18,18,1,18,18,18,0,1,0,0,0
41,90,735,1,735,735,735,0.000385573,1,0.000385573,0.000385573,0.000385573,4030,1,4030,4030,4030,17,1,17,17,17,19,1,19,19,19,2,1,2,2,2
41,90,747,1,747,747,747,0.000430493,1,0.000430493,0.000430493,0.000430493,4490,1,4490,4490,4490,18,1,18,18,18,19,1,19,19,19,1,1,1,1,1
41,90,739,1,739,739,739,0.000392372,1,0.000392372,0.000392372,0.000392372,4074,1,4074,4074,4074,17,1,17,17,17,19,1,19,19,19,2,1,2,2,2
41,90,749,1,749,749,749,0.000435776,1,0.000435776,0.000435776,0.000435776,4576,1,4576,4576,4576,18,1,18,18,18,20,1,20,20,20,2,1,2,2,2
41,90,736,1,736,736,736,0.000400495,1,0.000400495,0.000400495,0.000400495,4149,1,4149,4149,4149,18,1,18,18,18,18,1,18,18,18,0,1,0,0,0
41,90,746,1,746,746,746,0.000395543,1,0.000395543,0.000395543,0.000395543,4160,1,4160,4160,4160,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,747,1,747,747,747,0.000459735,1,0.000459735,0.000459735,0.000459735,4779,1,4779,4779,4779,19,1,19,19,19,19,1,19,19,19,0,1,0,0,0
41,90,743,1,743,743,743,0.000350282,1,0.000350282,0.000350282,0.000350282,3635,1,3635,3635,3635,16,1,16,16,16,18,1,18,18,18,2,1,2,2,2
41,90,721,1,721,721,721,0.00035676,1,0.00035676,0.00035676,0.00035676,3687,1,3687,3687,3687,17,1,17,17,17,17,1,17,17,17,0,1,0,0,0
41,90,736,1,736,736,736,0.000466305,1,0.000466305,0.000466305,0.000466305,4911,1,4911,4911,4911,19,1,19,19,19,19,1,19,19,19,0,1,0,0,0
41,90,731,1,731,731,731,0.000336512,1,0.000336512,0.000336512,0.000336512,3508,1,3508,3508,3508,16,1,16,16,16,17,1,17,17,17,1,1,1,1,1
41,90,723,1,723,723,723,0.000337554,1,0.000337554,0.000337554,0.000337554,3516,1,3516,3516,3516,16,1,16,16,16,17,1,17,17,17,1,1,1,1,1
41,90,740,1,740,740,740,0.000433039,1,0.000433039,0.000433039,0.000433039,4520,1,4520,4520,4520,18,1,18,18,18,19,1,19,19,19,1,1,1,1,1
41,90,740,1,740,740,740,0.000466838,1,0.000466838,0.000466838,0.000466838,4873,1,4873,4873,4873,19,1,19,19,19,19,1,19,19,19,0,1,0,0,0
41,90,748,1,748,748,748,0.00052993,1,0.00052993,0.00052993,0.00052993,5603,1,5603,5603,5603,20,1,20,20,20,20,1,20,20,20,0,1,0,0,0
41,90,732,1,732,732,732,0.000485195,1,0.000485195,0.000485195,0.000485195,4788,1,4788,4788,4788,19,1,19,19,19,19,1,19,19,19,0,1,0,0,0
41,90,744,1,744,744,744,0.000467056,1,0.000467056,0.000467056,0.000467056,4871,1,4871,4871,4871,19,1,19,19,19,20,1,20,20,20,1,1,1,1,1
41,90,747,1,747,747,747,0.000354329,1,0.000354329,0.000354329,0.000354329,3678,1,3678,3678,3678,16,1,16,16,16,18,1,18,18,18,2,1,2,2,2
41,90,759,1,759,759,759,0.000525024,1,0.000525024,0.000525024,0.000525024,5561,1,5561,5561,5561,20,1,20,20,20,21,1,21,21,21,1,1,1,1,1
41,90,739,1,739,739,739,0.000377347,1,0.000377347,0.000377347,0.000377347,3919,1,3919,3919,3919,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,748,1,748,748,748,0.000429489,1,0.000429489,0.000429489,0.000429489,4484,1,4484,4484,4484,18,1,18,18,18,19,1,19,19,19,1,1,1,1,1
41,90,735,1,735,735,735,0.000307805,1,0.000307805,0.000307805,0.000307805,3177,1,3177,3177,3177,15,1,15,15,15,17,1,17,17,17,2,1,2,2,2
41,90,736,1,736,736,736,0.000419496,1,0.000419496,0.000419496,0.000419496,4409,1,4409,4409,4409,18,1,18,18,18,18,1,18,18,18,0,1,0,0,0
41,90,750,1,750,750,750,0.000485254,1,0.000485254,0.000485254,0.000485254,5095,1,5095,5095,5095,19,1,19,19,19,21,1,21,21,21,2,1,2,2,2
41,90,743,1,743,743,743,0.000463899,1,0.000463899,0.000463899,0.000463899,4855,1,4855,4855,4855,19,1,19,19,19,19,1,19,19,19,0,1,0,0,0
41,90,735,1,735,735,735,0.000388424,1,0.000388424,0.000388424,0.000388424,4015,1,4015,4015,4015,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,722,1,722,722,722,0.000358152,1,0.000358152,0.000358152,0.000358152,3730,1,3730,3730,3730,16,1,16,16,16,18,1,18,18,18,2,1,2,2,2
41,90,723,1,723,723,723,0.00033972,1,0.00033972,0.00033972,0.00033972,3534,1,3534,3534,3534,16,1,16,16,16,17,1,17,17,17,1,1,1,1,1
41,90,729,1,729,729,729,0.000463638,1,0.000463638,0.000463638,0.000463638,4865,1,4865,4865,4865,19,1,19,19,19,20,1,20,20,20,1,1,1,1,1
41,90,734,1,734,734,734,0.000516641,1,0.000516641,0.000516641,0.000516641,5452,1,5452,5452,5452,20,1,20,20,20,21,1,21,21,21,1,1,1,1,1
41,90,731,1,731,731,731,0.000405695,1,0.000405695,0.000405695,0.000405695,4236,1,4236,4236,4236,18,1,18,18,18,18,1,18,18,18,0,1,0,0,0
41,90,752,1,752,752,752,0.000425537,1,0.000425537,0.000425537,0.000425537,4427,1,4427,4427,4427,18,1,18,18,18,19,1,19,19,19,1,1,1,1,1
41,90,737,1,737,737,737,0.000414729,1,0.000414729,0.000414729,0.000414729,4310,1,4310,4310,4310,18,1,18,18,18,19,1,19,19,19,1,1,1,1,1
41,90,731,1,731,731,731,0.000383202,1,0.000383202,0.000383202,0.000383202,4014,1,4014,4014,4014,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,735,1,735,735,735,0.000357606,1,0.000357606,0.000357606,0.000357606,3740,1,3740,3740,3740,16,1,16,16,16,18,1,18,18,18,2,1,2,2,2
41,90,737,1,737,737,737,0.000514511,1,0.000514511,0.000514511,0.000514511,5397,1,5397,5397,5397,20,1,20,20,20,21,1,21,21,21,1,1,1,1,1
41,90,752,1,752,752,752,0.000468728,1,0.000468728,0.000468728,0.000468728,4898,1,4898,4898,4898,19,1,19,19,19,20,1,20,20,20,1,1,1,1,1
41,90,734,1,734,734,734,0.000450015,1,0.000450015,0.000450015,0.000450015,4733,1,4733,4733,4733,19,1,19,19,19,19,1,19,19,19,0,1,0,0,0
41,90,736,1,736,736,736,0.000472156,1,0.000472156,0.000472156,0.000472156,4915,1,4915,4915,4915,20,1,20,20,20,20,1,20,20,20,0,1,0,0,0
41,90,717,1,717,717,717,0.000338629,1,0.000338629,0.000338629,0.000338629,3522,1,3522,3522,3522,16,1,16,16,16,17,1,17,17,17,1,1,1,1,1
41,90,725,1,725,725,725,0.000366954,1,0.000366954,0.000366954,0.000366954,3831,1,3831,3831,3831,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,733,1,733,733,733,0.000398028,1,0.000398028,0.000398028,0.000398028,4112,1,4112,4112,4112,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,734,1,734,734,734,0.000478867,1,0.000478867,0.000478867,0.000478867,5038,1,5038,5038,5038,20,1,20,20,20,20,1,20,20,20,0,1,0,0,0
41,90,734,1,734,734,734,0.000375042,1,0.000375042,0.000375042,0.000375042,3891,1,3891,3891,3891,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,741,1,741,741,741,0.000433372,1,0.000433372,0.000433372,0.000433372,4539,1,4539,4539,4539,18,1,18,18,18,19,1,19,19,19,1,1,1,1,1
41,90,732,1,732,732,732,0.00048909,1,0.00048909,0.00048909,0.00048909,5107,1,5107,5107,5107,20,1,20,20,20,20,1,20,20,20,0,1,0,0,0
41,90,734,1,734,734,734,0.00036953,1,0.00036953,0.00036953,0.00036953,3854,1,3854,3854,3854,17,1,17,17,17,19,1,19,19,19,2,1,2,2,2
41,90,734,1,734,734,734,0.000401186,1,0.000401186,0.000401186,0.000401186,4189,1,4189,4189,4189,18,1,18,18,18,18,1,18,18,18,0,1,0,0,0
41,90,735,1,735,735,735,0.000456173,1,0.000456173,0.000456173,0.000456173,4792,1,4792,4792,4792,19,1,19,19,19,19,1,19,19,19,0,1,0,0,0
41,90,735,1,735,735,735,0.000396643,1,0.000396643,0.000396643,0.000396643,4116,1,4116,4116,4116,17,1,17,17,17,20,1,20,20,20,3,1,3,3,3
41,90,735,1,735,735,735,0.000405108,1,0.000405108,0.000405108,0.000405108,4231,1,4231,4231,4231,18,1,18,18,18,18,1,18,18,18,0,1,0,0,0
41,90,741,1,741,741,741,0.000410751,1,0.000410751,0.000410751,0.000410751,4297,1,4297,4297,4297,18,1,18,18,18,19,1,19,19,19,1,1,1,1,1
41,90,735,1,735,735,735,0.000414679,1,0.000414679,0.000414679,0.000414679,4319,1,4319,4319,4319,18,1,18,18,18,21,1,21,21,21,3,1,3,3,3
41,90,738,1,738,738,738,0.000356663,1,0.000356663,0.000356663,0.000356663,3689,1,3689,3689,3689,16,1,16,16,16,19,1,19,19,19,3,1,3,3,3
41,90,732,1,732,732,732,0.000373633,1,0.000373633,0.000373633,0.000373633,3883,1,3883,3883,3883,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
41,90,738,1,738,738,738,0.000341169,1,0.000341169,0.000341169,0.000341169,3524,1,3524,3524,3524,16,1,16,16,16,19,1,19,19,19,3,1,3,3,3
41,90,737,1,737,737,737,0.000391781,1,0.000391781,0.000391781,0.000391781,4072,1,4072,4072,4072,17,1,17,17,17,18,1,18,18,18,1,1,1,1,1
