n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
20,50,92,1,92,92,92,2.1725e-05,1,2.1725e-05,2.1725e-05,2.1725e-05,180,1,180,180,180,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
20,50,74,1,74,74,74,1.5391e-05,1,1.5391e-05,1.5391e-05,1.5391e-05,124,1,124,124,124,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
20,50,100,1,100,100,100,1.7393e-05,1,1.7393e-05,1.7393e-05,1.7393e-05,145,1,145,145,145,4,1,4,4,4,6,1,6,6,6,2,1,2,2,2
20,50,94,1,94,94,94,2.159e-05,1,2.159e-05,2.159e-05,2.159e-05,178,1,178,178,178,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
20,50,94,1,94,94,94,2.8114e-05,1,2.8114e-05,2.8114e-05,2.8114e-05,250,1,250,250,250,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
20,50,89,1,89,89,89,2.0493e-05,1,2.0493e-05,2.0493e-05,2.0493e-05,177,1,177,177,177,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
20,50,99,1,99,99,99,2.2716e-05,1,2.2716e-05,2.2716e-05,2.2716e-05,201,1,201,201,201,5,1,5,5,5,6,1,6,6,6,1,1,1,1,1
20,50,91,1,91,91,91,2.0628e-05,1,2.0628e-05,2.0628e-05,2.0628e-05,169,1,169,169,169,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
20,50,87,1,87,87,87,2.127e-05,1,2.127e-05,2.127e-05,2.127e-05,188,1,188,188,188,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
20,50,110,1,110,110,110,1.7431e-05,1,1.7431e-05,1.7431e-05,1.7431e-05,143,1,143,143,143,4,1,4,4,4,6,1,6,6,6,2,1,2,2,2
