n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
30,10,43680,1000,43.68,26,63,0.01256,1000,1.256e-05,9.229e-06,2.9456e-05,99200,1000,99.2,65,173,2563,1000,2.563,2,4,2984,1000,2.984,2,4,421,1000,0.421,0,2
30,20,86276,1000,86.276,64,113,0.0165315,1000,1.65315e-05,9.792e-06,3.77e-05,132379,1000,132.379,69,231,3196,1000,3.196,2,5,3683,1000,3.683,3,5,487,1000,0.487,0,2
30,30,130828,1000,130.828,96,163,0.0216009,1000,2.16009e-05,1.5211e-05,5.5998e-05,176330,1000,176.33,112,300,3875,1000,3.875,3,6,4405,1000,4.405,4,6,530,1000,0.53,0,3
30,40,174406,1000,174.406,148,204,0.0278467,1000,2.78467e-05,1.614e-05,5.7929e-05,232311,1000,232.311,122,425,4581,1000,4.581,3,7,5262,1000,5.262,4,7,681,1000,0.681,0,3
30,50,217612,1000,217.612,182,252,0.0366982,1000,3.66982e-05,2.3275e-05,6.1063e-05,319266,1000,319.266,188,549,5519,1000,5.519,4,8,6251,1000,6.251,5,8,732,1000,0.732,0,3
30,60,260886,1000,260.886,227,293,0.0499248,1000,4.99248e-05,2.537e-05,8.6147e-05,449523,1000,449.523,221,769,6619,1000,6.619,4,9,7499,1000,7.499,6,9,880,1000,0.88,0,3
30,70,304245,1000,304.245,273,330,0.0721699,1000,7.21699e-05,4.3717e-05,0.00012935,678099,1000,678.099,388,1221,8169,1000,8.169,6,12,9095,1000,9.095,7,12,926,1000,0.926,0,4
30,80,347877,1000,347.877,324,374,0.118547,1000,0.000118547,6.0233e-05,0.000198941,1158182,1000,1158.18,561,2047,10674,1000,10.674,7,15,11554,1000,11.554,9,15,880,1000,0.88,0,4
30,90,391770,1000,391.77,369,409,0.23975,1000,0.00023975,0.000130836,0.000378571,2449104,1000,2449.1,1293,3959,15258,1000,15.258,11,20,15835,1000,15.835,12,20,577,1000,0.577,0,3
