n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
45,70,710,1,710,710,710,0.000103969,1,0.000103969,0.000103969,0.000103969,1024,1,1024,1024,1024,8,1,8,8,8,11,1,11,11,11,3,1,3,3,3
45,70,684,1,684,684,684,0.0001129,1,0.0001129,0.0001129,0.0001129,1104,1,1104,1104,1104,9,1,9,9,9,11,1,11,11,11,2,1,2,2,2
45,70,700,1,700,700,700,0.000155909,1,0.000155909,0.000155909,0.000155909,1564,1,1564,1564,1564,10,1,10,10,10,12,1,12,12,12,2,1,2,2,2
45,70,703,1,703,703,703,0.000132914,1,0.000132914,0.000132914,0.000132914,1319,1,1319,1319,1319,10,1,10,10,10,11,1,11,11,11,1,1,1,1,1
45,70,712,1,712,712,712,0.000140943,1,0.000140943,0.000140943,0.000140943,1381,1,1381,1381,1381,10,1,10,10,10,11,1,11,11,11,1,1,1,1,1
45,70,681,1,681,681,681,0.000118108,1,0.000118108,0.000118108,0.000118108,1158,1,1158,1158,1158,9,1,9,9,9,10,1,10,10,10,1,1,1,1,1
45,70,689,1,689,689,689,0.000132966,1,0.000132966,0.000132966,0.000132966,1309,1,1309,1309,1309,10,1,10,10,10,12,1,12,12,12,2,1,2,2,2
45,70,714,1,714,714,714,0.000141271,1,0.000141271,0.000141271,0.000141271,1398,1,1398,1398,1398,10,1,10,10,10,11,1,11,11,11,1,1,1,1,1
45,70,707,1,707,707,707,0.000101281,1,0.000101281,0.000101281,0.000101281,995,1,995,995,995,8,1,8,8,8,11,1,11,11,11,3,1,3,3,3
45,70,701,1,701,701,701,0.000158246,1,0.000158246,0.000158246,0.000158246,1586,1,1586,1586,1586,11,1,11,11,11,11,1,11,11,11,0,1,0,0,0
45,70,701,1,701,701,701,0.000135453,1,0.000135453,0.000135453,0.000135453,1332,1,1332,1332,1332,10,1,10,10,10,13,1,13,13,13,3,1,3,3,3
45,70,736,1,736,736,736,0.000141428,1,0.000141428,0.000141428,0.000141428,1415,1,1415,1415,1415,10,1,10,10,10,12,1,12,12,12,2,1,2,2,2
45,70,663,1,663,663,663,7.8964e-05,1,7.8964e-05,7.8964e-05,7.8964e-05,768,1,768,768,768,7,1,7,7,7,9,1,9,9,9,2,1,2,2,2
45,70,702,1,702,702,702,0.000100351,1,0.000100351,0.000100351,0.000100351,987,1,987,987,987,8,1,8,8,8,10,1,10,10,10,2,1,2,2,2
45,70,698,1,698,698,698,0.000161215,1,0.000161215,0.000161215,0.000161215,1614,1,1614,1614,1614,11,1,11,11,11,11,1,11,11,11,0,1,0,0,0
45,70,692,1,692,692,692,0.00011636,1,0.00011636,0.00011636,0.00011636,1147,1,1147,1147,1147,9,1,9,9,9,10,1,10,10,10,1,1,1,1,1
45,70,691,1,691,691,691,0.000131802,1,0.000131802,0.000131802,0.000131802,1297,1,1297,1297,1297,10,1,10,10,10,11,1,11,11,11,1,1,1,1,1
45,70,697,1,697,697,697,0.000163629,1,0.000163629,0.000163629,0.000163629,1643,1,1643,1643,1643,11,1,11,11,11,12,1,12,12,12,1,1,1,1,1
45,70,690,1,690,690,690,0.000114392,1,0.000114392,0.000114392,0.000114392,1118,1,1118,1118,1118,9,1,9,9,9,11,1,11,11,11,2,1,2,2,2
