n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
6,80,13,1,13,13,13,8.786e-06,1,8.786e-06,8.786e-06,8.786e-06,65,1,65,65,65,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,12,1,12,12,12,6.698e-06,1,6.698e-06,6.698e-06,6.698e-06,49,1,49,49,49,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,13,1,13,13,13,8.518e-06,1,8.518e-06,8.518e-06,8.518e-06,67,1,67,67,67,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,14,1,14,14,14,9.111e-06,1,9.111e-06,9.111e-06,9.111e-06,70,1,70,70,70,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,12,1,12,12,12,6.074e-06,1,6.074e-06,6.074e-06,6.074e-06,45,1,45,45,45,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,12,1,12,12,12,6.527e-06,1,6.527e-06,6.527e-06,6.527e-06,47,1,47,47,47,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,8,1,8,8,8,4.329e-06,1,4.329e-06,4.329e-06,4.329e-06,29,1,29,29,29,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
6,80,12,1,12,12,12,6.51e-06,1,6.51e-06,6.51e-06,6.51e-06,47,1,47,47,47,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,14,1,14,14,14,9.021e-06,1,9.021e-06,9.021e-06,9.021e-06,70,1,70,70,70,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,10,1,10,10,10,5.922e-06,1,5.922e-06,5.922e-06,5.922e-06,42,1,42,42,42,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,13,1,13,13,13,8.95e-06,1,8.95e-06,8.95e-06,8.95e-06,70,1,70,70,70,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,13,1,13,13,13,8.682e-06,1,8.682e-06,8.682e-06,8.682e-06,68,1,68,68,68,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,12,1,12,12,12,8.165e-06,1,8.165e-06,8.165e-06,8.165e-06,63,1,63,63,63,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,10,1,10,10,10,4.307e-06,1,4.307e-06,4.307e-06,4.307e-06,31,1,31,31,31,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
6,80,13,1,13,13,13,6.217e-06,1,6.217e-06,6.217e-06,6.217e-06,47,1,47,47,47,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,13,1,13,13,13,8.954e-06,1,8.954e-06,8.954e-06,8.954e-06,70,1,70,70,70,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,15,1,15,15,15,9.329e-06,1,9.329e-06,9.329e-06,9.329e-06,71,1,71,71,71,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
6,80,13,1,13,13,13,6.411e-06,1,6.411e-06,6.411e-06,6.411e-06,47,1,47,47,47,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,10,1,10,10,10,4.266e-06,1,4.266e-06,4.266e-06,4.266e-06,29,1,29,29,29,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
6,80,15,1,15,15,15,9.285e-06,1,9.285e-06,9.285e-06,9.285e-06,71,1,71,71,71,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
6,80,14,1,14,14,14,8.688e-06,1,8.688e-06,8.688e-06,8.688e-06,68,1,68,68,68,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,13,1,13,13,13,8.443e-06,1,8.443e-06,8.443e-06,8.443e-06,65,1,65,65,65,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,13,1,13,13,13,8.919e-06,1,8.919e-06,8.919e-06,8.919e-06,71,1,71,71,71,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
6,80,12,1,12,12,12,6.277e-06,1,6.277e-06,6.277e-06,6.277e-06,48,1,48,48,48,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,12,1,12,12,12,6.082e-06,1,6.082e-06,6.082e-06,6.082e-06,45,1,45,45,45,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,11,1,11,11,11,6.054e-06,1,6.054e-06,6.054e-06,6.054e-06,45,1,45,45,45,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,12,1,12,12,12,6.186e-06,1,6.186e-06,6.186e-06,6.186e-06,47,1,47,47,47,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,11,1,11,11,11,4.28e-06,1,4.28e-06,4.28e-06,4.28e-06,30,1,30,30,30,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
6,80,13,1,13,13,13,6.505e-06,1,6.505e-06,6.505e-06,6.505e-06,47,1,47,47,47,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
6,80,12,1,12,12,12,8.224e-06,1,8.224e-06,8.224e-06,8.224e-06,65,1,65,65,65,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
