n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
25,40,126,1,126,126,126,991.517,1,991.517,991.517,991.517,421,1,421,421,421,6,1,6,6,6,5,1,5,5,5,1,1,1,1,1
25,40,115,1,115,115,115,0.000617763,1,0.000617763,0.000617763,0.000617763,399,1,399,399,399,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
25,40,120,1,120,120,120,1442.61,1,1442.61,1442.61,1442.61,415,1,415,415,415,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
25,40,123,1,123,123,123,5.29921,1,5.29921,5.29921,5.29921,488,1,488,488,488,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
25,40,120,1,120,120,120,33.2531,1,33.2531,33.2531,33.2531,477,1,477,477,477,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
25,40,109,1,109,109,109,141.945,1,141.945,141.945,141.945,477,1,477,477,477,7,1,7,7,7,5,1,5,5,5,2,1,2,2,2
25,40,124,1,124,124,124,80.9476,1,80.9476,80.9476,80.9476,475,1,475,475,475,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
25,40,123,1,123,123,123,4478.4,1,4478.4,4478.4,4478.4,472,1,472,472,472,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
25,40,137,1,137,137,137,1805.65,1,1805.65,1805.65,1805.65,483,1,483,483,483,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
25,40,119,1,119,119,119,772.881,1,772.881,772.881,772.881,435,1,435,435,435,6,1,6,6,6,5,1,5,5,5,1,1,1,1,1
