n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
25,60,175,1,175,175,175,25.9473,1,25.9473,25.9473,25.9473,588,1,588,588,588,9,1,9,9,9,7,1,7,7,7,2,1,2,2,2
25,60,180,1,180,180,180,275.872,1,275.872,275.872,275.872,514,1,514,514,514,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
25,60,179,1,179,179,179,33.3778,1,33.3778,33.3778,33.3778,504,1,504,504,504,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
25,60,192,1,192,192,192,72.0108,1,72.0108,72.0108,72.0108,650,1,650,650,650,10,1,10,10,10,8,1,8,8,8,2,1,2,2,2
25,60,184,1,184,184,184,2.99643,1,2.99643,2.99643,2.99643,567,1,567,567,567,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
25,60,194,1,194,194,194,3.60956,1,3.60956,3.60956,3.60956,597,1,597,597,597,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
25,60,186,1,186,186,186,1.50318,1,1.50318,1.50318,1.50318,644,1,644,644,644,10,1,10,10,10,7,1,7,7,7,3,1,3,3,3
25,60,175,1,175,175,175,344.243,1,344.243,344.243,344.243,562,1,562,562,562,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
25,60,172,1,172,172,172,524.783,1,524.783,524.783,524.783,539,1,539,539,539,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
25,60,188,1,188,188,188,44.7814,1,44.7814,44.7814,44.7814,533,1,533,533,533,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
