n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
20,90,168,1,168,168,168,0.00184974,1,0.00184974,0.00184974,0.00184974,552,1,552,552,552,12,1,12,12,12,12,1,12,12,12,0,1,0,0,0
20,90,170,1,170,170,170,0.00176673,1,0.00176673,0.00176673,0.00176673,573,1,573,573,573,12,1,12,12,12,12,1,12,12,12,0,1,0,0,0
20,90,163,1,163,163,163,0.00156658,1,0.00156658,0.00156658,0.00156658,445,1,445,445,445,10,1,10,10,10,10,1,10,10,10,0,1,0,0,0
20,90,178,1,178,178,178,0.00190102,1,0.00190102,0.00190102,0.00190102,574,1,574,574,574,12,1,12,12,12,12,1,12,12,12,0,1,0,0,0
20,90,170,1,170,170,170,0.00198446,1,0.00198446,0.00198446,0.00198446,551,1,551,551,551,12,1,12,12,12,12,1,12,12,12,0,1,0,0,0
20,90,164,1,164,164,164,0.00625453,1,0.00625453,0.00625453,0.00625453,465,1,465,465,465,10,1,10,10,10,10,1,10,10,10,0,1,0,0,0
20,90,174,1,174,174,174,0.00210143,1,0.00210143,0.00210143,0.00210143,633,1,633,633,633,13,1,13,13,13,13,1,13,13,13,0,1,0,0,0
20,90,174,1,174,174,174,0.00244039,1,0.00244039,0.00244039,0.00244039,675,1,675,675,675,14,1,14,14,14,14,1,14,14,14,0,1,0,0,0
20,90,169,1,169,169,169,0.00191721,1,0.00191721,0.00191721,0.00191721,553,1,553,553,553,12,1,12,12,12,12,1,12,12,12,0,1,0,0,0
20,90,168,1,168,168,168,0.00170383,1,0.00170383,0.00170383,0.00170383,498,1,498,498,498,11,1,11,11,11,11,1,11,11,11,0,1,0,0,0
