n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
15,20,0.000132212,1,0.000132212,0.000132212,0.000132212,116,1,116,116,116,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000190141,1,0.000190141,0.000190141,0.000190141,138,1,138,138,138,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.000205659,1,0.000205659,0.000205659,0.000205659,135,1,135,135,135,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000188383,1,0.000188383,0.000188383,0.000188383,133,1,133,133,133,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000190789,1,0.000190789,0.000190789,0.000190789,134,1,134,134,134,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000137123,1,0.000137123,0.000137123,0.000137123,118,1,118,118,118,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.0178401,1,0.0178401,0.0178401,0.0178401,171,1,171,171,171,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000234908,1,0.000234908,0.000234908,0.000234908,144,1,144,144,144,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.00017832,1,0.00017832,0.00017832,0.00017832,129,1,129,129,129,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.00055415,1,0.00055415,0.00055415,0.00055415,139,1,139,139,139,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000204546,1,0.000204546,0.000204546,0.000204546,129,1,129,129,129,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000446575,1,0.000446575,0.000446575,0.000446575,157,1,157,157,157,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.000744523,1,0.000744523,0.000744523,0.000744523,137,1,137,137,137,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000164185,1,0.000164185,0.000164185,0.000164185,138,1,138,138,138,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000128637,1,0.000128637,0.000128637,0.000128637,117,1,117,117,117,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.00013445,1,0.00013445,0.00013445,0.00013445,119,1,119,119,119,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000170716,1,0.000170716,0.000170716,0.000170716,129,1,129,129,129,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000130518,1,0.000130518,0.000130518,0.000130518,115,1,115,115,115,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000197311,1,0.000197311,0.000197311,0.000197311,135,1,135,135,135,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.00017383,1,0.00017383,0.00017383,0.00017383,133,1,133,133,133,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000121447,1,0.000121447,0.000121447,0.000121447,111,1,111,111,111,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
15,20,0.000129171,1,0.000129171,0.000129171,0.000129171,117,1,117,117,117,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.00391454,1,0.00391454,0.00391454,0.00391454,196,1,196,196,196,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.000138885,1,0.000138885,0.000138885,0.000138885,116,1,116,116,116,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000135799,1,0.000135799,0.000135799,0.000135799,116,1,116,116,116,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000144784,1,0.000144784,0.000144784,0.000144784,129,1,129,129,129,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000844528,1,0.000844528,0.000844528,0.000844528,167,1,167,167,167,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.00186965,1,0.00186965,0.00186965,0.00186965,165,1,165,165,165,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.00289213,1,0.00289213,0.00289213,0.00289213,164,1,164,164,164,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.000140181,1,0.000140181,0.000140181,0.000140181,118,1,118,118,118,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000338845,1,0.000338845,0.000338845,0.000338845,141,1,141,141,141,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.000352014,1,0.000352014,0.000352014,0.000352014,152,1,152,152,152,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.00024753,1,0.00024753,0.00024753,0.00024753,137,1,137,137,137,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.000134318,1,0.000134318,0.000134318,0.000134318,121,1,121,121,121,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000176512,1,0.000176512,0.000176512,0.000176512,143,1,143,143,143,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000175988,1,0.000175988,0.000175988,0.000175988,130,1,130,130,130,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000110476,1,0.000110476,0.000110476,0.000110476,112,1,112,112,112,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
15,20,0.000222482,1,0.000222482,0.000222482,0.000222482,136,1,136,136,136,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000153852,1,0.000153852,0.000153852,0.000153852,125,1,125,125,125,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000193251,1,0.000193251,0.000193251,0.000193251,135,1,135,135,135,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.000129038,1,0.000129038,0.000129038,0.000129038,115,1,115,115,115,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.00013015,1,0.00013015,0.00013015,0.00013015,119,1,119,119,119,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.00119159,1,0.00119159,0.00119159,0.00119159,145,1,145,145,145,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.000223357,1,0.000223357,0.000223357,0.000223357,142,1,142,142,142,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000131847,1,0.000131847,0.000131847,0.000131847,120,1,120,120,120,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.000236635,1,0.000236635,0.000236635,0.000236635,156,1,156,156,156,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.000964322,1,0.000964322,0.000964322,0.000964322,178,1,178,178,178,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.000135447,1,0.000135447,0.000135447,0.000135447,117,1,117,117,117,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000154401,1,0.000154401,0.000154401,0.000154401,131,1,131,131,131,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000179957,1,0.000179957,0.000179957,0.000179957,130,1,130,130,130,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.0001968,1,0.0001968,0.0001968,0.0001968,145,1,145,145,145,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000187388,1,0.000187388,0.000187388,0.000187388,141,1,141,141,141,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.00292649,1,0.00292649,0.00292649,0.00292649,173,1,173,173,173,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
15,20,0.000632754,1,0.000632754,0.000632754,0.000632754,168,1,168,168,168,4,1,4,4,4,3,1,3,3,3,1,1,1,1,1
15,20,0.000240029,1,0.000240029,0.000240029,0.000240029,140,1,140,140,140,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000229444,1,0.000229444,0.000229444,0.000229444,137,1,137,137,137,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000229894,1,0.000229894,0.000229894,0.000229894,129,1,129,129,129,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000165604,1,0.000165604,0.000165604,0.000165604,129,1,129,129,129,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
15,20,0.000885389,1,0.000885389,0.000885389,0.000885389,156,1,156,156,156,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
