n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
25,90,280,1,280,280,280,0.00901157,1,0.00901157,0.00901157,0.00901157,998,1,998,998,998,16,1,16,16,16,15,1,15,15,15,1,1,1,1,1
25,90,259,1,259,259,259,0.0127409,1,0.0127409,0.0127409,0.0127409,785,1,785,785,785,13,1,13,13,13,12,1,12,12,12,1,1,1,1,1
25,90,277,1,277,277,277,0.00386564,1,0.00386564,0.00386564,0.00386564,911,1,911,911,911,15,1,15,15,15,15,1,15,15,15,0,1,0,0,0
25,90,274,1,274,274,274,0.00398875,1,0.00398875,0.00398875,0.00398875,980,1,980,980,980,16,1,16,16,16,16,1,16,16,16,0,1,0,0,0
25,90,275,1,275,275,275,0.00401891,1,0.00401891,0.00401891,0.00401891,894,1,894,894,894,15,1,15,15,15,15,1,15,15,15,0,1,0,0,0
25,90,266,1,266,266,266,0.00363473,1,0.00363473,0.00363473,0.00363473,825,1,825,825,825,14,1,14,14,14,14,1,14,14,14,0,1,0,0,0
25,90,274,1,274,274,274,0.00884766,1,0.00884766,0.00884766,0.00884766,922,1,922,922,922,15,1,15,15,15,14,1,14,14,14,1,1,1,1,1
25,90,267,1,267,267,267,0.00893769,1,0.00893769,0.00893769,0.00893769,921,1,921,921,921,15,1,15,15,15,14,1,14,14,14,1,1,1,1,1
25,90,265,1,265,265,265,0.00824231,1,0.00824231,0.00824231,0.00824231,771,1,771,771,771,13,1,13,13,13,12,1,12,12,12,1,1,1,1,1
25,90,276,1,276,276,276,0.00414106,1,0.00414106,0.00414106,0.00414106,961,1,961,961,961,16,1,16,16,16,16,1,16,16,16,0,1,0,0,0
