n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
20,60,110,1,110,110,110,1.87422,1,1.87422,1.87422,1.87422,351,1,351,351,351,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
20,60,130,1,130,130,130,0.0136001,1,0.0136001,0.0136001,0.0136001,423,1,423,423,423,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
20,60,117,1,117,117,117,0.0127323,1,0.0127323,0.0127323,0.0127323,358,1,358,358,358,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
20,60,127,1,127,127,127,0.00087473,1,0.00087473,0.00087473,0.00087473,360,1,360,360,360,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
20,60,114,1,114,114,114,0.00425827,1,0.00425827,0.00425827,0.00425827,322,1,322,322,322,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
20,60,105,1,105,105,105,0.000633878,1,0.000633878,0.000633878,0.000633878,300,1,300,300,300,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
20,60,114,1,114,114,114,1.21797,1,1.21797,1.21797,1.21797,383,1,383,383,383,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
20,60,125,1,125,125,125,0.402372,1,0.402372,0.402372,0.402372,379,1,379,379,379,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
20,60,117,1,117,117,117,0.0323366,1,0.0323366,0.0323366,0.0323366,376,1,376,376,376,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
20,60,116,1,116,116,116,0.829136,1,0.829136,0.829136,0.829136,372,1,372,372,372,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
