n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
10,60,25,1,25,25,25,0.000137976,1,0.000137976,0.000137976,0.000137976,80,1,80,80,80,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
10,60,30,1,30,30,30,0.0001516,1,0.0001516,0.0001516,0.0001516,81,1,81,81,81,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
10,60,22,1,22,22,22,0.000313966,1,0.000313966,0.000313966,0.000313966,103,1,103,103,103,5,1,5,5,5,4,1,4,4,4,1,1,1,1,1
10,60,23,1,23,23,23,0.000134049,1,0.000134049,0.000134049,0.000134049,75,1,75,75,75,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
10,60,30,1,30,30,30,0.000196526,1,0.000196526,0.000196526,0.000196526,101,1,101,101,101,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
10,60,28,1,28,28,28,0.000190089,1,0.000190089,0.000190089,0.000190089,102,1,102,102,102,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
10,60,24,1,24,24,24,0.00017201,1,0.00017201,0.00017201,0.00017201,95,1,95,95,95,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
10,60,28,1,28,28,28,0.000684741,1,0.000684741,0.000684741,0.000684741,83,1,83,83,83,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
10,60,25,1,25,25,25,0.000128244,1,0.000128244,0.000128244,0.000128244,76,1,76,76,76,4,1,4,4,4,4,1,4,4,4,0,1,0,0,0
10,60,25,1,25,25,25,0.000158783,1,0.000158783,0.000158783,0.000158783,80,1,80,80,80,5,1,5,5,5,5,1,5,5,5,0,1,0,0,0
