n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
5,30,3,1,3,3,3,2.8611e-05,1,2.8611e-05,2.8611e-05,2.8611e-05,13,1,13,13,13,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,4,1,4,4,4,2.8259e-05,1,2.8259e-05,2.8259e-05,2.8259e-05,12,1,12,12,12,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,2,1,2,2,2,2.5077e-05,1,2.5077e-05,2.5077e-05,2.5077e-05,12,1,12,12,12,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,6,1,6,6,6,6.844e-05,1,6.844e-05,6.844e-05,6.844e-05,27,1,27,27,27,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
5,30,2,1,2,2,2,2.517e-05,1,2.517e-05,2.517e-05,2.517e-05,12,1,12,12,12,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,5,1,5,5,5,3.0108e-05,1,3.0108e-05,3.0108e-05,3.0108e-05,14,1,14,14,14,3,1,3,3,3,3,1,3,3,3,0,1,0,0,0
5,30,2,1,2,2,2,2.466e-05,1,2.466e-05,2.466e-05,2.466e-05,12,1,12,12,12,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,2,1,2,2,2,2.4688e-05,1,2.4688e-05,2.4688e-05,2.4688e-05,12,1,12,12,12,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,5,1,5,5,5,3.1232e-05,1,3.1232e-05,3.1232e-05,3.1232e-05,13,1,13,13,13,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
5,30,4,1,4,4,4,2.8727e-05,1,2.8727e-05,2.8727e-05,2.8727e-05,12,1,12,12,12,2,1,2,2,2,2,1,2,2,2,0,1,0,0,0
