n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
30,80,7.2549e-05,1,7.2549e-05,7.2549e-05,7.2549e-05,599,1,599,599,599,12,1,12,12,12
30,80,7.2983e-05,1,7.2983e-05,7.2983e-05,7.2983e-05,636,1,636,636,636,14,1,14,14,14
30,80,7.4708e-05,1,7.4708e-05,7.4708e-05,7.4708e-05,628,1,628,628,628,14,1,14,14,14
30,80,7.3092e-05,1,7.3092e-05,7.3092e-05,7.3092e-05,584,1,584,584,584,12,1,12,12,12
30,80,7.2122e-05,1,7.2122e-05,7.2122e-05,7.2122e-05,608,1,608,608,608,13,1,13,13,13
30,80,7.3725e-05,1,7.3725e-05,7.3725e-05,7.3725e-05,606,1,606,606,606,13,1,13,13,13
30,80,7.2854e-05,1,7.2854e-05,7.2854e-05,7.2854e-05,627,1,627,627,627,14,1,14,14,14
30,80,7.516e-05,1,7.516e-05,7.516e-05,7.516e-05,641,1,641,641,641,14,1,14,14,14
30,80,7.4398e-05,1,7.4398e-05,7.4398e-05,7.4398e-05,600,1,600,600,600,12,1,12,12,12
30,80,7.3879e-05,1,7.3879e-05,7.3879e-05,7.3879e-05,615,1,615,615,615,13,1,13,13,13
30,80,7.3035e-05,1,7.3035e-05,7.3035e-05,7.3035e-05,587,1,587,587,587,11,1,11,11,11
30,80,7.2778e-05,1,7.2778e-05,7.2778e-05,7.2778e-05,616,1,616,616,616,14,1,14,14,14
30,80,7.3549e-05,1,7.3549e-05,7.3549e-05,7.3549e-05,609,1,609,609,609,13,1,13,13,13
30,80,7.4879e-05,1,7.4879e-05,7.4879e-05,7.4879e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.5837e-05,1,7.5837e-05,7.5837e-05,7.5837e-05,608,1,608,608,608,14,1,14,14,14
30,80,7.5116e-05,1,7.5116e-05,7.5116e-05,7.5116e-05,631,1,631,631,631,13,1,13,13,13
30,80,7.5825e-05,1,7.5825e-05,7.5825e-05,7.5825e-05,603,1,603,603,603,13,1,13,13,13
30,80,7.1083e-05,1,7.1083e-05,7.1083e-05,7.1083e-05,620,1,620,620,620,13,1,13,13,13
30,80,7.1365e-05,1,7.1365e-05,7.1365e-05,7.1365e-05,624,1,624,624,624,15,1,15,15,15
30,80,7.1424e-05,1,7.1424e-05,7.1424e-05,7.1424e-05,620,1,620,620,620,14,1,14,14,14
30,80,7.0886e-05,1,7.0886e-05,7.0886e-05,7.0886e-05,600,1,600,600,600,14,1,14,14,14
30,80,7.1027e-05,1,7.1027e-05,7.1027e-05,7.1027e-05,617,1,617,617,617,14,1,14,14,14
30,80,7.2022e-05,1,7.2022e-05,7.2022e-05,7.2022e-05,615,1,615,615,615,13,1,13,13,13
30,80,7.2793e-05,1,7.2793e-05,7.2793e-05,7.2793e-05,610,1,610,610,610,13,1,13,13,13
30,80,7.1254e-05,1,7.1254e-05,7.1254e-05,7.1254e-05,628,1,628,628,628,14,1,14,14,14
30,80,7.2137e-05,1,7.2137e-05,7.2137e-05,7.2137e-05,607,1,607,607,607,14,1,14,14,14
30,80,7.0795e-05,1,7.0795e-05,7.0795e-05,7.0795e-05,596,1,596,596,596,12,1,12,12,12
30,80,7.1479e-05,1,7.1479e-05,7.1479e-05,7.1479e-05,598,1,598,598,598,12,1,12,12,12
30,80,7.2466e-05,1,7.2466e-05,7.2466e-05,7.2466e-05,595,1,595,595,595,12,1,12,12,12
30,80,7.2207e-05,1,7.2207e-05,7.2207e-05,7.2207e-05,626,1,626,626,626,13,1,13,13,13
30,80,7.2528e-05,1,7.2528e-05,7.2528e-05,7.2528e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.3783e-05,1,7.3783e-05,7.3783e-05,7.3783e-05,599,1,599,599,599,12,1,12,12,12
30,80,7.3695e-05,1,7.3695e-05,7.3695e-05,7.3695e-05,619,1,619,619,619,14,1,14,14,14
30,80,7.32e-05,1,7.32e-05,7.32e-05,7.32e-05,620,1,620,620,620,14,1,14,14,14
30,80,7.3248e-05,1,7.3248e-05,7.3248e-05,7.3248e-05,628,1,628,628,628,14,1,14,14,14
30,80,7.277e-05,1,7.277e-05,7.277e-05,7.277e-05,619,1,619,619,619,14,1,14,14,14
30,80,7.2365e-05,1,7.2365e-05,7.2365e-05,7.2365e-05,631,1,631,631,631,14,1,14,14,14
30,80,7.4455e-05,1,7.4455e-05,7.4455e-05,7.4455e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.3912e-05,1,7.3912e-05,7.3912e-05,7.3912e-05,621,1,621,621,621,14,1,14,14,14
30,80,7.3819e-05,1,7.3819e-05,7.3819e-05,7.3819e-05,593,1,593,593,593,13,1,13,13,13
30,80,7.3288e-05,1,7.3288e-05,7.3288e-05,7.3288e-05,602,1,602,602,602,13,1,13,13,13
30,80,7.448e-05,1,7.448e-05,7.448e-05,7.448e-05,602,1,602,602,602,12,1,12,12,12
30,80,7.347e-05,1,7.347e-05,7.347e-05,7.347e-05,618,1,618,618,618,13,1,13,13,13
30,80,7.4186e-05,1,7.4186e-05,7.4186e-05,7.4186e-05,616,1,616,616,616,13,1,13,13,13
30,80,7.4477e-05,1,7.4477e-05,7.4477e-05,7.4477e-05,603,1,603,603,603,14,1,14,14,14
30,80,7.4029e-05,1,7.4029e-05,7.4029e-05,7.4029e-05,606,1,606,606,606,14,1,14,14,14
30,80,7.4379e-05,1,7.4379e-05,7.4379e-05,7.4379e-05,632,1,632,632,632,14,1,14,14,14
30,80,7.399e-05,1,7.399e-05,7.399e-05,7.399e-05,605,1,605,605,605,13,1,13,13,13
30,80,7.2626e-05,1,7.2626e-05,7.2626e-05,7.2626e-05,599,1,599,599,599,13,1,13,13,13
30,80,7.2918e-05,1,7.2918e-05,7.2918e-05,7.2918e-05,616,1,616,616,616,13,1,13,13,13
30,80,7.4421e-05,1,7.4421e-05,7.4421e-05,7.4421e-05,622,1,622,622,622,14,1,14,14,14
30,80,7.5244e-05,1,7.5244e-05,7.5244e-05,7.5244e-05,614,1,614,614,614,14,1,14,14,14
30,80,7.4846e-05,1,7.4846e-05,7.4846e-05,7.4846e-05,608,1,608,608,608,13,1,13,13,13
30,80,7.6461e-05,1,7.6461e-05,7.6461e-05,7.6461e-05,610,1,610,610,610,13,1,13,13,13
30,80,7.2865e-05,1,7.2865e-05,7.2865e-05,7.2865e-05,606,1,606,606,606,14,1,14,14,14
30,80,7.3745e-05,1,7.3745e-05,7.3745e-05,7.3745e-05,613,1,613,613,613,14,1,14,14,14
30,80,7.3812e-05,1,7.3812e-05,7.3812e-05,7.3812e-05,609,1,609,609,609,14,1,14,14,14
30,80,7.512e-05,1,7.512e-05,7.512e-05,7.512e-05,594,1,594,594,594,13,1,13,13,13
30,80,7.3692e-05,1,7.3692e-05,7.3692e-05,7.3692e-05,624,1,624,624,624,14,1,14,14,14
30,80,7.3565e-05,1,7.3565e-05,7.3565e-05,7.3565e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.2982e-05,1,7.2982e-05,7.2982e-05,7.2982e-05,604,1,604,604,604,13,1,13,13,13
30,80,7.4695e-05,1,7.4695e-05,7.4695e-05,7.4695e-05,648,1,648,648,648,14,1,14,14,14
30,80,7.423e-05,1,7.423e-05,7.423e-05,7.423e-05,613,1,613,613,613,13,1,13,13,13
30,80,7.5408e-05,1,7.5408e-05,7.5408e-05,7.5408e-05,627,1,627,627,627,14,1,14,14,14
30,80,7.3721e-05,1,7.3721e-05,7.3721e-05,7.3721e-05,624,1,624,624,624,14,1,14,14,14
30,80,7.3976e-05,1,7.3976e-05,7.3976e-05,7.3976e-05,616,1,616,616,616,13,1,13,13,13
30,80,7.2757e-05,1,7.2757e-05,7.2757e-05,7.2757e-05,617,1,617,617,617,13,1,13,13,13
30,80,7.3276e-05,1,7.3276e-05,7.3276e-05,7.3276e-05,602,1,602,602,602,13,1,13,13,13
30,80,7.3607e-05,1,7.3607e-05,7.3607e-05,7.3607e-05,626,1,626,626,626,14,1,14,14,14
30,80,7.4272e-05,1,7.4272e-05,7.4272e-05,7.4272e-05,613,1,613,613,613,13,1,13,13,13
30,80,7.2753e-05,1,7.2753e-05,7.2753e-05,7.2753e-05,609,1,609,609,609,13,1,13,13,13
30,80,7.2979e-05,1,7.2979e-05,7.2979e-05,7.2979e-05,603,1,603,603,603,12,1,12,12,12
30,80,7.2221e-05,1,7.2221e-05,7.2221e-05,7.2221e-05,626,1,626,626,626,15,1,15,15,15
30,80,8.1178e-05,1,8.1178e-05,8.1178e-05,8.1178e-05,606,1,606,606,606,13,1,13,13,13
30,80,7.3594e-05,1,7.3594e-05,7.3594e-05,7.3594e-05,614,1,614,614,614,14,1,14,14,14
30,80,7.3334e-05,1,7.3334e-05,7.3334e-05,7.3334e-05,619,1,619,619,619,14,1,14,14,14
30,80,7.3254e-05,1,7.3254e-05,7.3254e-05,7.3254e-05,616,1,616,616,616,14,1,14,14,14
30,80,7.1078e-05,1,7.1078e-05,7.1078e-05,7.1078e-05,623,1,623,623,623,14,1,14,14,14
30,80,7.1621e-05,1,7.1621e-05,7.1621e-05,7.1621e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.1583e-05,1,7.1583e-05,7.1583e-05,7.1583e-05,640,1,640,640,640,14,1,14,14,14
30,80,7.1163e-05,1,7.1163e-05,7.1163e-05,7.1163e-05,612,1,612,612,612,13,1,13,13,13
30,80,7.0378e-05,1,7.0378e-05,7.0378e-05,7.0378e-05,577,1,577,577,577,12,1,12,12,12
30,80,6.9732e-05,1,6.9732e-05,6.9732e-05,6.9732e-05,596,1,596,596,596,12,1,12,12,12
30,80,7.1712e-05,1,7.1712e-05,7.1712e-05,7.1712e-05,606,1,606,606,606,13,1,13,13,13
30,80,7.1241e-05,1,7.1241e-05,7.1241e-05,7.1241e-05,615,1,615,615,615,13,1,13,13,13
30,80,7.124e-05,1,7.124e-05,7.124e-05,7.124e-05,609,1,609,609,609,13,1,13,13,13
30,80,7.2626e-05,1,7.2626e-05,7.2626e-05,7.2626e-05,607,1,607,607,607,13,1,13,13,13
30,80,7.2484e-05,1,7.2484e-05,7.2484e-05,7.2484e-05,621,1,621,621,621,13,1,13,13,13
30,80,7.3043e-05,1,7.3043e-05,7.3043e-05,7.3043e-05,618,1,618,618,618,15,1,15,15,15
30,80,7.0645e-05,1,7.0645e-05,7.0645e-05,7.0645e-05,595,1,595,595,595,13,1,13,13,13
30,80,7.4703e-05,1,7.4703e-05,7.4703e-05,7.4703e-05,615,1,615,615,615,14,1,14,14,14
30,80,7.4737e-05,1,7.4737e-05,7.4737e-05,7.4737e-05,616,1,616,616,616,14,1,14,14,14
30,80,7.4648e-05,1,7.4648e-05,7.4648e-05,7.4648e-05,599,1,599,599,599,12,1,12,12,12
30,80,7.5168e-05,1,7.5168e-05,7.5168e-05,7.5168e-05,619,1,619,619,619,13,1,13,13,13
30,80,7.4064e-05,1,7.4064e-05,7.4064e-05,7.4064e-05,628,1,628,628,628,13,1,13,13,13
30,80,7.3576e-05,1,7.3576e-05,7.3576e-05,7.3576e-05,616,1,616,616,616,14,1,14,14,14
30,80,7.5121e-05,1,7.5121e-05,7.5121e-05,7.5121e-05,614,1,614,614,614,12,1,12,12,12
30,80,7.1772e-05,1,7.1772e-05,7.1772e-05,7.1772e-05,597,1,597,597,597,13,1,13,13,13
30,80,7.3955e-05,1,7.3955e-05,7.3955e-05,7.3955e-05,619,1,619,619,619,13,1,13,13,13
30,80,7.4545e-05,1,7.4545e-05,7.4545e-05,7.4545e-05,624,1,624,624,624,13,1,13,13,13
30,80,7.4593e-05,1,7.4593e-05,7.4593e-05,7.4593e-05,619,1,619,619,619,14,1,14,14,14
30,80,7.62e-05,1,7.62e-05,7.62e-05,7.62e-05,641,1,641,641,641,14,1,14,14,14
30,80,7.3154e-05,1,7.3154e-05,7.3154e-05,7.3154e-05,618,1,618,618,618,14,1,14,14,14
30,80,7.4949e-05,1,7.4949e-05,7.4949e-05,7.4949e-05,610,1,610,610,610,14,1,14,14,14
30,80,7.3193e-05,1,7.3193e-05,7.3193e-05,7.3193e-05,618,1,618,618,618,13,1,13,13,13
30,80,7.5138e-05,1,7.5138e-05,7.5138e-05,7.5138e-05,597,1,597,597,597,13,1,13,13,13
30,80,7.3305e-05,1,7.3305e-05,7.3305e-05,7.3305e-05,626,1,626,626,626,14,1,14,14,14
30,80,7.4368e-05,1,7.4368e-05,7.4368e-05,7.4368e-05,620,1,620,620,620,14,1,14,14,14
