n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
23,80,4.5481e-05,1,4.5481e-05,4.5481e-05,4.5481e-05,381,1,381,381,381,12,1,12,12,12
23,80,4.5679e-05,1,4.5679e-05,4.5679e-05,4.5679e-05,358,1,358,358,358,10,1,10,10,10
23,80,4.779e-05,1,4.779e-05,4.779e-05,4.779e-05,372,1,372,372,372,12,1,12,12,12
23,80,4.7869e-05,1,4.7869e-05,4.7869e-05,4.7869e-05,372,1,372,372,372,12,1,12,12,12
23,80,4.7623e-05,1,4.7623e-05,4.7623e-05,4.7623e-05,358,1,358,358,358,10,1,10,10,10
23,80,4.5082e-05,1,4.5082e-05,4.5082e-05,4.5082e-05,353,1,353,353,353,10,1,10,10,10
23,80,4.5593e-05,1,4.5593e-05,4.5593e-05,4.5593e-05,354,1,354,354,354,10,1,10,10,10
23,80,4.4152e-05,1,4.4152e-05,4.4152e-05,4.4152e-05,371,1,371,371,371,11,1,11,11,11
23,80,4.5519e-05,1,4.5519e-05,4.5519e-05,4.5519e-05,378,1,378,378,378,11,1,11,11,11
23,80,4.5356e-05,1,4.5356e-05,4.5356e-05,4.5356e-05,361,1,361,361,361,11,1,11,11,11
23,80,4.5385e-05,1,4.5385e-05,4.5385e-05,4.5385e-05,356,1,356,356,356,11,1,11,11,11
23,80,4.5023e-05,1,4.5023e-05,4.5023e-05,4.5023e-05,357,1,357,357,357,12,1,12,12,12
23,80,4.5085e-05,1,4.5085e-05,4.5085e-05,4.5085e-05,385,1,385,385,385,12,1,12,12,12
23,80,4.5543e-05,1,4.5543e-05,4.5543e-05,4.5543e-05,364,1,364,364,364,10,1,10,10,10
23,80,4.4747e-05,1,4.4747e-05,4.4747e-05,4.4747e-05,367,1,367,367,367,11,1,11,11,11
23,80,4.6089e-05,1,4.6089e-05,4.6089e-05,4.6089e-05,365,1,365,365,365,11,1,11,11,11
23,80,4.4144e-05,1,4.4144e-05,4.4144e-05,4.4144e-05,358,1,358,358,358,11,1,11,11,11
23,80,4.5861e-05,1,4.5861e-05,4.5861e-05,4.5861e-05,388,1,388,388,388,13,1,13,13,13
23,80,4.5445e-05,1,4.5445e-05,4.5445e-05,4.5445e-05,354,1,354,354,354,10,1,10,10,10
23,80,4.5472e-05,1,4.5472e-05,4.5472e-05,4.5472e-05,355,1,355,355,355,10,1,10,10,10
23,80,4.498e-05,1,4.498e-05,4.498e-05,4.498e-05,373,1,373,373,373,11,1,11,11,11
23,80,4.5944e-05,1,4.5944e-05,4.5944e-05,4.5944e-05,368,1,368,368,368,11,1,11,11,11
23,80,4.5372e-05,1,4.5372e-05,4.5372e-05,4.5372e-05,366,1,366,366,366,11,1,11,11,11
23,80,4.3778e-05,1,4.3778e-05,4.3778e-05,4.3778e-05,363,1,363,363,363,11,1,11,11,11
23,80,4.6587e-05,1,4.6587e-05,4.6587e-05,4.6587e-05,347,1,347,347,347,10,1,10,10,10
23,80,4.5416e-05,1,4.5416e-05,4.5416e-05,4.5416e-05,366,1,366,366,366,11,1,11,11,11
23,80,4.4026e-05,1,4.4026e-05,4.4026e-05,4.4026e-05,379,1,379,379,379,12,1,12,12,12
23,80,4.4428e-05,1,4.4428e-05,4.4428e-05,4.4428e-05,381,1,381,381,381,13,1,13,13,13
23,80,4.53e-05,1,4.53e-05,4.53e-05,4.53e-05,364,1,364,364,364,11,1,11,11,11
23,80,4.4611e-05,1,4.4611e-05,4.4611e-05,4.4611e-05,360,1,360,360,360,11,1,11,11,11
23,80,4.4505e-05,1,4.4505e-05,4.4505e-05,4.4505e-05,375,1,375,375,375,12,1,12,12,12
23,80,4.5103e-05,1,4.5103e-05,4.5103e-05,4.5103e-05,353,1,353,353,353,11,1,11,11,11
23,80,4.3945e-05,1,4.3945e-05,4.3945e-05,4.3945e-05,346,1,346,346,346,9,1,9,9,9
23,80,4.4857e-05,1,4.4857e-05,4.4857e-05,4.4857e-05,349,1,349,349,349,11,1,11,11,11
23,80,4.5144e-05,1,4.5144e-05,4.5144e-05,4.5144e-05,361,1,361,361,361,11,1,11,11,11
23,80,4.4469e-05,1,4.4469e-05,4.4469e-05,4.4469e-05,365,1,365,365,365,11,1,11,11,11
23,80,4.4835e-05,1,4.4835e-05,4.4835e-05,4.4835e-05,374,1,374,374,374,12,1,12,12,12
23,80,4.4501e-05,1,4.4501e-05,4.4501e-05,4.4501e-05,379,1,379,379,379,11,1,11,11,11
23,80,4.3539e-05,1,4.3539e-05,4.3539e-05,4.3539e-05,364,1,364,364,364,11,1,11,11,11
23,80,4.4071e-05,1,4.4071e-05,4.4071e-05,4.4071e-05,360,1,360,360,360,11,1,11,11,11
23,80,4.5489e-05,1,4.5489e-05,4.5489e-05,4.5489e-05,347,1,347,347,347,10,1,10,10,10
23,80,4.505e-05,1,4.505e-05,4.505e-05,4.505e-05,369,1,369,369,369,12,1,12,12,12
23,80,4.4722e-05,1,4.4722e-05,4.4722e-05,4.4722e-05,356,1,356,356,356,11,1,11,11,11
23,80,4.6025e-05,1,4.6025e-05,4.6025e-05,4.6025e-05,356,1,356,356,356,11,1,11,11,11
23,80,4.5925e-05,1,4.5925e-05,4.5925e-05,4.5925e-05,373,1,373,373,373,12,1,12,12,12
23,80,4.3819e-05,1,4.3819e-05,4.3819e-05,4.3819e-05,364,1,364,364,364,11,1,11,11,11
23,80,4.5189e-05,1,4.5189e-05,4.5189e-05,4.5189e-05,350,1,350,350,350,11,1,11,11,11
23,80,4.5337e-05,1,4.5337e-05,4.5337e-05,4.5337e-05,380,1,380,380,380,12,1,12,12,12
23,80,4.437e-05,1,4.437e-05,4.437e-05,4.437e-05,348,1,348,348,348,10,1,10,10,10
23,80,4.6967e-05,1,4.6967e-05,4.6967e-05,4.6967e-05,358,1,358,358,358,10,1,10,10,10
23,80,4.7638e-05,1,4.7638e-05,4.7638e-05,4.7638e-05,368,1,368,368,368,11,1,11,11,11
23,80,4.8424e-05,1,4.8424e-05,4.8424e-05,4.8424e-05,360,1,360,360,360,10,1,10,10,10
23,80,4.7812e-05,1,4.7812e-05,4.7812e-05,4.7812e-05,372,1,372,372,372,11,1,11,11,11
