n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
41,60,0.000119482,1,0.000119482,0.000119482,0.000119482,1030,1,1030,1030,1030,13,1,13,13,13
41,60,0.000113,1,0.000113,0.000113,0.000113,1040,1,1040,1040,1040,13,1,13,13,13
41,60,0.000118375,1,0.000118375,0.000118375,0.000118375,1032,1,1032,1032,1032,13,1,13,13,13
41,60,0.000113583,1,0.000113583,0.000113583,0.000113583,1028,1,1028,1028,1028,12,1,12,12,12
41,60,0.00011896,1,0.00011896,0.00011896,0.00011896,1013,1,1013,1013,1013,11,1,11,11,11
41,60,0.000131578,1,0.000131578,0.000131578,0.000131578,1012,1,1012,1012,1012,12,1,12,12,12
41,60,0.000118535,1,0.000118535,0.000118535,0.000118535,1012,1,1012,1012,1012,12,1,12,12,12
41,60,0.000119106,1,0.000119106,0.000119106,0.000119106,1038,1,1038,1038,1038,12,1,12,12,12
41,60,0.000130438,1,0.000130438,0.000130438,0.000130438,1025,1,1025,1025,1025,12,1,12,12,12
41,60,0.000119919,1,0.000119919,0.000119919,0.000119919,1029,1,1029,1029,1029,13,1,13,13,13
41,60,0.000113025,1,0.000113025,0.000113025,0.000113025,1033,1,1033,1033,1033,13,1,13,13,13
41,60,0.000124891,1,0.000124891,0.000124891,0.000124891,1037,1,1037,1037,1037,12,1,12,12,12
41,60,0.000131765,1,0.000131765,0.000131765,0.000131765,1041,1,1041,1041,1041,13,1,13,13,13
41,60,0.000119299,1,0.000119299,0.000119299,0.000119299,1046,1,1046,1046,1046,12,1,12,12,12
41,60,0.000112943,1,0.000112943,0.000112943,0.000112943,1052,1,1052,1052,1052,13,1,13,13,13
41,60,0.000119347,1,0.000119347,0.000119347,0.000119347,1039,1,1039,1039,1039,14,1,14,14,14
41,60,0.000118819,1,0.000118819,0.000118819,0.000118819,1034,1,1034,1034,1034,12,1,12,12,12
41,60,0.000118423,1,0.000118423,0.000118423,0.000118423,1035,1,1035,1035,1035,11,1,11,11,11
41,60,0.000118044,1,0.000118044,0.000118044,0.000118044,1028,1,1028,1028,1028,12,1,12,12,12
41,60,0.000118793,1,0.000118793,0.000118793,0.000118793,1033,1,1033,1033,1033,12,1,12,12,12
41,60,0.000112464,1,0.000112464,0.000112464,0.000112464,1042,1,1042,1042,1042,13,1,13,13,13
41,60,0.00011841,1,0.00011841,0.00011841,0.00011841,1017,1,1017,1017,1017,11,1,11,11,11
41,60,0.000112039,1,0.000112039,0.000112039,0.000112039,1045,1,1045,1045,1045,12,1,12,12,12
41,60,0.000117796,1,0.000117796,0.000117796,0.000117796,1020,1,1020,1020,1020,12,1,12,12,12
41,60,0.000112113,1,0.000112113,0.000112113,0.000112113,1002,1,1002,1002,1002,11,1,11,11,11
41,60,0.00011774,1,0.00011774,0.00011774,0.00011774,1024,1,1024,1024,1024,12,1,12,12,12
41,60,0.000114576,1,0.000114576,0.000114576,0.000114576,1007,1,1007,1007,1007,12,1,12,12,12
41,60,0.000114923,1,0.000114923,0.000114923,0.000114923,1039,1,1039,1039,1039,13,1,13,13,13
41,60,0.0001225,1,0.0001225,0.0001225,0.0001225,1023,1,1023,1023,1023,12,1,12,12,12
41,60,0.000115998,1,0.000115998,0.000115998,0.000115998,1037,1,1037,1037,1037,13,1,13,13,13
41,60,0.000113605,1,0.000113605,0.000113605,0.000113605,1021,1,1021,1021,1021,12,1,12,12,12
41,60,0.000116613,1,0.000116613,0.000116613,0.000116613,1054,1,1054,1054,1054,13,1,13,13,13
41,60,0.000113568,1,0.000113568,0.000113568,0.000113568,1005,1,1005,1005,1005,12,1,12,12,12
41,60,0.000115769,1,0.000115769,0.000115769,0.000115769,1026,1,1026,1026,1026,11,1,11,11,11
41,60,0.000120903,1,0.000120903,0.000120903,0.000120903,1028,1,1028,1028,1028,13,1,13,13,13
41,60,0.00011508,1,0.00011508,0.00011508,0.00011508,1006,1,1006,1006,1006,11,1,11,11,11
41,60,0.000114954,1,0.000114954,0.000114954,0.000114954,1020,1,1020,1020,1020,12,1,12,12,12
41,60,0.000114363,1,0.000114363,0.000114363,0.000114363,1011,1,1011,1011,1011,12,1,12,12,12
41,60,0.000117281,1,0.000117281,0.000117281,0.000117281,1060,1,1060,1060,1060,13,1,13,13,13
41,60,0.000137048,1,0.000137048,0.000137048,0.000137048,1028,1,1028,1028,1028,12,1,12,12,12
41,60,0.000117384,1,0.000117384,0.000117384,0.000117384,1035,1,1035,1035,1035,12,1,12,12,12
41,60,0.000116446,1,0.000116446,0.000116446,0.000116446,1046,1,1046,1046,1046,13,1,13,13,13
41,60,0.000118798,1,0.000118798,0.000118798,0.000118798,1035,1,1035,1035,1035,12,1,12,12,12
41,60,0.000132286,1,0.000132286,0.000132286,0.000132286,1065,1,1065,1065,1065,14,1,14,14,14
41,60,0.000136163,1,0.000136163,0.000136163,0.000136163,1036,1,1036,1036,1036,12,1,12,12,12
41,60,0.000113027,1,0.000113027,0.000113027,0.000113027,1034,1,1034,1034,1034,12,1,12,12,12
41,60,0.000119163,1,0.000119163,0.000119163,0.000119163,1011,1,1011,1011,1011,12,1,12,12,12
41,60,0.000135117,1,0.000135117,0.000135117,0.000135117,1007,1,1007,1007,1007,11,1,11,11,11
41,60,0.000118855,1,0.000118855,0.000118855,0.000118855,1005,1,1005,1005,1005,11,1,11,11,11
41,60,0.000130555,1,0.000130555,0.000130555,0.000130555,1063,1,1063,1063,1063,13,1,13,13,13
41,60,0.000118246,1,0.000118246,0.000118246,0.000118246,1034,1,1034,1034,1034,13,1,13,13,13
41,60,0.000136524,1,0.000136524,0.000136524,0.000136524,1049,1,1049,1049,1049,14,1,14,14,14
41,60,0.000117219,1,0.000117219,0.000117219,0.000117219,1043,1,1043,1043,1043,13,1,13,13,13
41,60,0.000119529,1,0.000119529,0.000119529,0.000119529,1010,1,1010,1010,1010,11,1,11,11,11
41,60,0.000118205,1,0.000118205,0.000118205,0.000118205,1022,1,1022,1022,1022,12,1,12,12,12
41,60,0.000111784,1,0.000111784,0.000111784,0.000111784,1050,1,1050,1050,1050,13,1,13,13,13
41,60,0.00011632,1,0.00011632,0.00011632,0.00011632,1028,1,1028,1028,1028,12,1,12,12,12
41,60,0.000119203,1,0.000119203,0.000119203,0.000119203,1027,1,1027,1027,1027,13,1,13,13,13
41,60,0.000119008,1,0.000119008,0.000119008,0.000119008,1034,1,1034,1034,1034,13,1,13,13,13
41,60,0.000117475,1,0.000117475,0.000117475,0.000117475,1035,1,1035,1035,1035,13,1,13,13,13
41,60,0.000115723,1,0.000115723,0.000115723,0.000115723,1023,1,1023,1023,1023,12,1,12,12,12
41,60,0.000113135,1,0.000113135,0.000113135,0.000113135,1015,1,1015,1015,1015,12,1,12,12,12
41,60,0.000114482,1,0.000114482,0.000114482,0.000114482,1024,1,1024,1024,1024,12,1,12,12,12
41,60,0.000115461,1,0.000115461,0.000115461,0.000115461,1028,1,1028,1028,1028,12,1,12,12,12
41,60,0.000115083,1,0.000115083,0.000115083,0.000115083,1030,1,1030,1030,1030,12,1,12,12,12
41,60,0.000115729,1,0.000115729,0.000115729,0.000115729,1024,1,1024,1024,1024,12,1,12,12,12
41,60,0.000115776,1,0.000115776,0.000115776,0.000115776,1035,1,1035,1035,1035,13,1,13,13,13
41,60,0.0001169,1,0.0001169,0.0001169,0.0001169,1052,1,1052,1052,1052,12,1,12,12,12
41,60,0.000114047,1,0.000114047,0.000114047,0.000114047,1028,1,1028,1028,1028,11,1,11,11,11
41,60,0.000117001,1,0.000117001,0.000117001,0.000117001,1046,1,1046,1046,1046,12,1,12,12,12
41,60,0.000116898,1,0.000116898,0.000116898,0.000116898,1028,1,1028,1028,1028,12,1,12,12,12
41,60,0.000115053,1,0.000115053,0.000115053,0.000115053,1036,1,1036,1036,1036,13,1,13,13,13
41,60,0.000115035,1,0.000115035,0.000115035,0.000115035,1031,1,1031,1031,1031,12,1,12,12,12
41,60,0.000115581,1,0.000115581,0.000115581,0.000115581,1019,1,1019,1019,1019,13,1,13,13,13
41,60,0.000116233,1,0.000116233,0.000116233,0.000116233,1018,1,1018,1018,1018,11,1,11,11,11
