n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
12,10,0.0143647,1000,1.43647e-05,1.291e-05,4.911e-05,71144,1000,71.144,67,77,2258,1000,2.258,2,4
12,20,0.0146435,1000,1.46435e-05,1.3264e-05,3.2429e-05,74768,1000,74.768,68,82,2926,1000,2.926,2,5
12,30,0.0151326,1000,1.51326e-05,1.3821e-05,5.6937e-05,78136,1000,78.136,71,87,3419,1000,3.419,2,5
12,40,0.0152543,1000,1.52543e-05,1.3923e-05,3.4214e-05,81687,1000,81.687,73,93,3995,1000,3.995,2,6
12,50,0.0155961,1000,1.55961e-05,1.4313e-05,5.9165e-05,85437,1000,85.437,75,99,4582,1000,4.582,3,7
12,60,0.0157741,1000,1.57741e-05,1.4627e-05,3.6855e-05,89599,1000,89.599,78,104,5183,1000,5.183,3,7
12,70,0.0159953,1000,1.59953e-05,1.4517e-05,4.2666e-05,94829,1000,94.829,82,114,5945,1000,5.945,4,8
12,80,0.0162776,1000,1.62776e-05,1.4795e-05,3.3716e-05,102253,1000,102.253,83,130,6902,1000,6.902,4,11
12,90,0.0165283,1000,1.65283e-05,1.4983e-05,3.4112e-05,115063,1000,115.063,93,132,8440,1000,8.44,6,12
