n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
8,10,0.00821769,1000,8.21769e-06,7.402e-06,2.5553e-05,30480,1000,30.48,28,35,2016,1000,2.016,1,3
8,20,0.00845197,1000,8.45197e-06,7.518e-06,2.5833e-05,32290,1000,32.29,28,40,2389,1000,2.389,1,4
8,30,0.00862448,1000,8.62448e-06,7.675e-06,2.596e-05,33862,1000,33.862,30,40,2780,1000,2.78,2,4
8,40,0.00885955,1000,8.85955e-06,7.831e-06,2.8724e-05,35662,1000,35.662,31,43,3180,1000,3.18,2,5
8,50,0.0089417,1000,8.9417e-06,7.921e-06,5.1466e-05,37530,1000,37.53,32,47,3547,1000,3.547,2,5
8,60,0.0088815,1000,8.8815e-06,8.111e-06,2.5946e-05,39594,1000,39.594,32,51,4015,1000,4.015,2,6
8,70,0.00910639,1000,9.10639e-06,8.098e-06,4.2543e-05,42257,1000,42.257,33,54,4530,1000,4.53,2,7
8,80,0.00925673,1000,9.25673e-06,8.308e-06,4.5036e-05,45954,1000,45.954,37,56,5205,1000,5.205,3,8
8,90,0.00945887,1000,9.45887e-06,8.385e-06,2.6429e-05,51046,1000,51.046,39,56,6186,1000,6.186,4,8
