n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
15,80,0.00562244,1,0.00562244,0.00562244,0.00562244,259,1,259,259,259,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00360137,1,0.00360137,0.00360137,0.00360137,229,1,229,229,229,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00489454,1,0.00489454,0.00489454,0.00489454,293,1,293,293,293,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.0038052,1,0.0038052,0.0038052,0.0038052,260,1,260,260,260,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
15,80,0.00958771,1,0.00958771,0.00958771,0.00958771,256,1,256,256,256,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00327612,1,0.00327612,0.00327612,0.00327612,215,1,215,215,215,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00560999,1,0.00560999,0.00560999,0.00560999,263,1,263,263,263,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00243251,1,0.00243251,0.00243251,0.00243251,244,1,244,244,244,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00813394,1,0.00813394,0.00813394,0.00813394,209,1,209,209,209,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
15,80,0.00380967,1,0.00380967,0.00380967,0.00380967,299,1,299,299,299,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.00292377,1,0.00292377,0.00292377,0.00292377,259,1,259,259,259,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00593215,1,0.00593215,0.00593215,0.00593215,253,1,253,253,253,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00318381,1,0.00318381,0.00318381,0.00318381,260,1,260,260,260,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
15,80,0.002557,1,0.002557,0.002557,0.002557,269,1,269,269,269,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00908365,1,0.00908365,0.00908365,0.00908365,241,1,241,241,241,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.005002,1,0.005002,0.005002,0.005002,260,1,260,260,260,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00647286,1,0.00647286,0.00647286,0.00647286,268,1,268,268,268,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00884604,1,0.00884604,0.00884604,0.00884604,294,1,294,294,294,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
15,80,0.00599841,1,0.00599841,0.00599841,0.00599841,278,1,278,278,278,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
15,80,0.00243486,1,0.00243486,0.00243486,0.00243486,298,1,298,298,298,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
15,80,0.00377005,1,0.00377005,0.00377005,0.00377005,265,1,265,265,265,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00468333,1,0.00468333,0.00468333,0.00468333,303,1,303,303,303,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
15,80,0.00632318,1,0.00632318,0.00632318,0.00632318,261,1,261,261,261,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.0053817,1,0.0053817,0.0053817,0.0053817,257,1,257,257,257,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00288201,1,0.00288201,0.00288201,0.00288201,304,1,304,304,304,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
15,80,0.00935565,1,0.00935565,0.00935565,0.00935565,252,1,252,252,252,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.0136026,1,0.0136026,0.0136026,0.0136026,292,1,292,292,292,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.00541962,1,0.00541962,0.00541962,0.00541962,289,1,289,289,289,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
15,80,0.0025911,1,0.0025911,0.0025911,0.0025911,215,1,215,215,215,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00184572,1,0.00184572,0.00184572,0.00184572,289,1,289,289,289,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.00214298,1,0.00214298,0.00214298,0.00214298,258,1,258,258,258,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00249942,1,0.00249942,0.00249942,0.00249942,259,1,259,259,259,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00628601,1,0.00628601,0.00628601,0.00628601,227,1,227,227,227,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00604481,1,0.00604481,0.00604481,0.00604481,313,1,313,313,313,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.00178758,1,0.00178758,0.00178758,0.00178758,258,1,258,258,258,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00281628,1,0.00281628,0.00281628,0.00281628,307,1,307,307,307,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.00268942,1,0.00268942,0.00268942,0.00268942,262,1,262,262,262,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00391497,1,0.00391497,0.00391497,0.00391497,256,1,256,256,256,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00266395,1,0.00266395,0.00266395,0.00266395,258,1,258,258,258,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.0128373,1,0.0128373,0.0128373,0.0128373,239,1,239,239,239,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00337975,1,0.00337975,0.00337975,0.00337975,343,1,343,343,343,10,1,10,10,10,10,1,10,10,10,0,1,0,0,0
15,80,0.00826863,1,0.00826863,0.00826863,0.00826863,231,1,231,231,231,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00329363,1,0.00329363,0.00329363,0.00329363,260,1,260,260,260,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
15,80,0.00570594,1,0.00570594,0.00570594,0.00570594,253,1,253,253,253,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.0042122,1,0.0042122,0.0042122,0.0042122,339,1,339,339,339,10,1,10,10,10,10,1,10,10,10,0,1,0,0,0
15,80,0.00624808,1,0.00624808,0.00624808,0.00624808,217,1,217,217,217,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.002378,1,0.002378,0.002378,0.002378,298,1,298,298,298,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.0203117,1,0.0203117,0.0203117,0.0203117,213,1,213,213,213,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00188968,1,0.00188968,0.00188968,0.00188968,256,1,256,256,256,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
15,80,0.00367699,1,0.00367699,0.00367699,0.00367699,225,1,225,225,225,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00522275,1,0.00522275,0.00522275,0.00522275,214,1,214,214,214,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00510054,1,0.00510054,0.00510054,0.00510054,294,1,294,294,294,9,1,9,9,9,9,1,9,9,9,0,1,0,0,0
15,80,0.00552878,1,0.00552878,0.00552878,0.00552878,232,1,232,232,232,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.0046966,1,0.0046966,0.0046966,0.0046966,311,1,311,311,311,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
15,80,0.00884944,1,0.00884944,0.00884944,0.00884944,221,1,221,221,221,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
15,80,0.00234959,1,0.00234959,0.00234959,0.00234959,185,1,185,185,185,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
15,80,0.00253187,1,0.00253187,0.00253187,0.00253187,278,1,278,278,278,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
