n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
26,70,0.000356146,1,0.000356146,0.000356146,0.000356146,532,1,532,532,532,8,1,8,8,8
26,70,0.000669671,1,0.000669671,0.000669671,0.000669671,704,1,704,704,704,11,1,11,11,11
26,70,0.000458002,1,0.000458002,0.000458002,0.000458002,668,1,668,668,668,10,1,10,10,10
26,70,0.000450307,1,0.000450307,0.000450307,0.000450307,597,1,597,597,597,9,1,9,9,9
26,70,0.000417501,1,0.000417501,0.000417501,0.000417501,606,1,606,606,606,9,1,9,9,9
26,70,0.000680001,1,0.000680001,0.000680001,0.000680001,720,1,720,720,720,11,1,11,11,11
26,70,0.000717706,1,0.000717706,0.000717706,0.000717706,695,1,695,695,695,11,1,11,11,11
26,70,0.000480121,1,0.000480121,0.000480121,0.000480121,625,1,625,625,625,9,1,9,9,9
26,70,0.000558542,1,0.000558542,0.000558542,0.000558542,649,1,649,649,649,10,1,10,10,10
26,70,0.000357226,1,0.000357226,0.000357226,0.000357226,608,1,608,608,608,9,1,9,9,9
26,70,0.000541578,1,0.000541578,0.000541578,0.000541578,657,1,657,657,657,10,1,10,10,10
26,70,0.000488267,1,0.000488267,0.000488267,0.000488267,620,1,620,620,620,10,1,10,10,10
26,70,0.000913059,1,0.000913059,0.000913059,0.000913059,777,1,777,777,777,12,1,12,12,12
26,70,0.000692782,1,0.000692782,0.000692782,0.000692782,636,1,636,636,636,10,1,10,10,10
26,70,0.000378373,1,0.000378373,0.000378373,0.000378373,611,1,611,611,611,9,1,9,9,9
26,70,0.000519964,1,0.000519964,0.000519964,0.000519964,634,1,634,634,634,10,1,10,10,10
26,70,0.000469654,1,0.000469654,0.000469654,0.000469654,666,1,666,666,666,10,1,10,10,10
26,70,0.000551102,1,0.000551102,0.000551102,0.000551102,692,1,692,692,692,10,1,10,10,10
26,70,0.000564723,1,0.000564723,0.000564723,0.000564723,617,1,617,617,617,10,1,10,10,10
26,70,0.000460941,1,0.000460941,0.000460941,0.000460941,654,1,654,654,654,10,1,10,10,10
26,70,0.000538659,1,0.000538659,0.000538659,0.000538659,654,1,654,654,654,10,1,10,10,10
26,70,0.000587907,1,0.000587907,0.000587907,0.000587907,637,1,637,637,637,10,1,10,10,10
26,70,0.000717514,1,0.000717514,0.000717514,0.000717514,727,1,727,727,727,11,1,11,11,11
26,70,0.000381772,1,0.000381772,0.000381772,0.000381772,606,1,606,606,606,9,1,9,9,9
