n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
14,30,0.000105816,1,0.000105816,0.000105816,0.000105816,141,1,141,141,141,4,1,4,4,4
14,30,3.6563e-05,1,3.6563e-05,3.6563e-05,3.6563e-05,123,1,123,123,123,4,1,4,4,4
14,30,3.8871e-05,1,3.8871e-05,3.8871e-05,3.8871e-05,125,1,125,125,125,3,1,3,3,3
14,30,4.0809e-05,1,4.0809e-05,4.0809e-05,4.0809e-05,118,1,118,118,118,3,1,3,3,3
14,30,5.7344e-05,1,5.7344e-05,5.7344e-05,5.7344e-05,123,1,123,123,123,4,1,4,4,4
14,30,3.6446e-05,1,3.6446e-05,3.6446e-05,3.6446e-05,122,1,122,122,122,3,1,3,3,3
14,30,2.7979e-05,1,2.7979e-05,2.7979e-05,2.7979e-05,115,1,115,115,115,3,1,3,3,3
14,30,0.000106268,1,0.000106268,0.000106268,0.000106268,162,1,162,162,162,5,1,5,5,5
14,30,4.0808e-05,1,4.0808e-05,4.0808e-05,4.0808e-05,126,1,126,126,126,4,1,4,4,4
14,30,9.594e-05,1,9.594e-05,9.594e-05,9.594e-05,148,1,148,148,148,4,1,4,4,4
14,30,3.4953e-05,1,3.4953e-05,3.4953e-05,3.4953e-05,124,1,124,124,124,4,1,4,4,4
14,30,5.7428e-05,1,5.7428e-05,5.7428e-05,5.7428e-05,130,1,130,130,130,4,1,4,4,4
14,30,3.528e-05,1,3.528e-05,3.528e-05,3.528e-05,119,1,119,119,119,3,1,3,3,3
14,30,9.1981e-05,1,9.1981e-05,9.1981e-05,9.1981e-05,137,1,137,137,137,4,1,4,4,4
14,30,3.2408e-05,1,3.2408e-05,3.2408e-05,3.2408e-05,121,1,121,121,121,3,1,3,3,3
14,30,7.489e-05,1,7.489e-05,7.489e-05,7.489e-05,138,1,138,138,138,4,1,4,4,4
14,30,1.8324e-05,1,1.8324e-05,1.8324e-05,1.8324e-05,105,1,105,105,105,3,1,3,3,3
14,30,3.4366e-05,1,3.4366e-05,3.4366e-05,3.4366e-05,118,1,118,118,118,3,1,3,3,3
14,30,2.0216e-05,1,2.0216e-05,2.0216e-05,2.0216e-05,103,1,103,103,103,3,1,3,3,3
14,30,1.9022e-05,1,1.9022e-05,1.9022e-05,1.9022e-05,106,1,106,106,106,3,1,3,3,3
14,30,5.9705e-05,1,5.9705e-05,5.9705e-05,5.9705e-05,125,1,125,125,125,4,1,4,4,4
14,30,5.7029e-05,1,5.7029e-05,5.7029e-05,5.7029e-05,125,1,125,125,125,4,1,4,4,4
14,30,5.2745e-05,1,5.2745e-05,5.2745e-05,5.2745e-05,125,1,125,125,125,4,1,4,4,4
14,30,0.000128816,1,0.000128816,0.000128816,0.000128816,156,1,156,156,156,4,1,4,4,4
14,30,4.3138e-05,1,4.3138e-05,4.3138e-05,4.3138e-05,125,1,125,125,125,4,1,4,4,4
14,30,5.9746e-05,1,5.9746e-05,5.9746e-05,5.9746e-05,129,1,129,129,129,4,1,4,4,4
14,30,7.3157e-05,1,7.3157e-05,7.3157e-05,7.3157e-05,132,1,132,132,132,4,1,4,4,4
14,30,1.9175e-05,1,1.9175e-05,1.9175e-05,1.9175e-05,104,1,104,104,104,3,1,3,3,3
14,30,3.9998e-05,1,3.9998e-05,3.9998e-05,3.9998e-05,123,1,123,123,123,4,1,4,4,4
14,30,1.9259e-05,1,1.9259e-05,1.9259e-05,1.9259e-05,105,1,105,105,105,3,1,3,3,3
14,30,5.1707e-05,1,5.1707e-05,5.1707e-05,5.1707e-05,127,1,127,127,127,4,1,4,4,4
14,30,7.8278e-05,1,7.8278e-05,7.8278e-05,7.8278e-05,143,1,143,143,143,4,1,4,4,4
14,30,5.1066e-05,1,5.1066e-05,5.1066e-05,5.1066e-05,135,1,135,135,135,4,1,4,4,4
14,30,5.437e-05,1,5.437e-05,5.437e-05,5.437e-05,131,1,131,131,131,4,1,4,4,4
14,30,8.2982e-05,1,8.2982e-05,8.2982e-05,8.2982e-05,133,1,133,133,133,4,1,4,4,4
14,30,6.2252e-05,1,6.2252e-05,6.2252e-05,6.2252e-05,123,1,123,123,123,3,1,3,3,3
14,30,7.3673e-05,1,7.3673e-05,7.3673e-05,7.3673e-05,138,1,138,138,138,4,1,4,4,4
14,30,7.3087e-05,1,7.3087e-05,7.3087e-05,7.3087e-05,139,1,139,139,139,4,1,4,4,4
14,30,5.3736e-05,1,5.3736e-05,5.3736e-05,5.3736e-05,134,1,134,134,134,4,1,4,4,4
14,30,1.9217e-05,1,1.9217e-05,1.9217e-05,1.9217e-05,112,1,112,112,112,4,1,4,4,4
14,30,3.9928e-05,1,3.9928e-05,3.9928e-05,3.9928e-05,127,1,127,127,127,4,1,4,4,4
14,30,1.9094e-05,1,1.9094e-05,1.9094e-05,1.9094e-05,105,1,105,105,105,4,1,4,4,4
14,30,2.5126e-05,1,2.5126e-05,2.5126e-05,2.5126e-05,117,1,117,117,117,3,1,3,3,3
14,30,9.5395e-05,1,9.5395e-05,9.5395e-05,9.5395e-05,149,1,149,149,149,4,1,4,4,4
14,30,3.0652e-05,1,3.0652e-05,3.0652e-05,3.0652e-05,117,1,117,117,117,3,1,3,3,3
14,30,6.1648e-05,1,6.1648e-05,6.1648e-05,6.1648e-05,147,1,147,147,147,3,1,3,3,3
14,30,7.8945e-05,1,7.8945e-05,7.8945e-05,7.8945e-05,144,1,144,144,144,4,1,4,4,4
