n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,number_total,number_count,number_mean,number_min,number_max
24,20,0.000153437,1,0.000153437,0.000153437,0.000153437,356,1,356,356,356,4,1,4,4,4
24,20,0.000202818,1,0.000202818,0.000202818,0.000202818,359,1,359,359,359,4,1,4,4,4
24,20,0.000188342,1,0.000188342,0.000188342,0.000188342,364,1,364,364,364,5,1,5,5,5
24,20,9.7332e-05,1,9.7332e-05,9.7332e-05,9.7332e-05,346,1,346,346,346,4,1,4,4,4
24,20,9.3032e-05,1,9.3032e-05,9.3032e-05,9.3032e-05,336,1,336,336,336,4,1,4,4,4
24,20,0.000176565,1,0.000176565,0.000176565,0.000176565,387,1,387,387,387,4,1,4,4,4
24,20,9.9601e-05,1,9.9601e-05,9.9601e-05,9.9601e-05,329,1,329,329,329,4,1,4,4,4
24,20,0.000108471,1,0.000108471,0.000108471,0.000108471,344,1,344,344,344,4,1,4,4,4
24,20,9.1807e-05,1,9.1807e-05,9.1807e-05,9.1807e-05,337,1,337,337,337,4,1,4,4,4
24,20,0.00011925,1,0.00011925,0.00011925,0.00011925,350,1,350,350,350,4,1,4,4,4
24,20,0.000181321,1,0.000181321,0.000181321,0.000181321,387,1,387,387,387,5,1,5,5,5
24,20,0.000127979,1,0.000127979,0.000127979,0.000127979,343,1,343,343,343,4,1,4,4,4
24,20,8.993e-05,1,8.993e-05,8.993e-05,8.993e-05,324,1,324,324,324,4,1,4,4,4
24,20,0.00013161,1,0.00013161,0.00013161,0.00013161,350,1,350,350,350,4,1,4,4,4
24,20,0.000236504,1,0.000236504,0.000236504,0.000236504,392,1,392,392,392,5,1,5,5,5
24,20,8.3814e-05,1,8.3814e-05,8.3814e-05,8.3814e-05,331,1,331,331,331,4,1,4,4,4
24,20,0.000140789,1,0.000140789,0.000140789,0.000140789,361,1,361,361,361,4,1,4,4,4
24,20,0.000165706,1,0.000165706,0.000165706,0.000165706,394,1,394,394,394,4,1,4,4,4
24,20,9.2037e-05,1,9.2037e-05,9.2037e-05,9.2037e-05,358,1,358,358,358,4,1,4,4,4
24,20,0.000130263,1,0.000130263,0.000130263,0.000130263,356,1,356,356,356,3,1,3,3,3
24,20,0.000147759,1,0.000147759,0.000147759,0.000147759,349,1,349,349,349,4,1,4,4,4
24,20,0.00016985,1,0.00016985,0.00016985,0.00016985,350,1,350,350,350,4,1,4,4,4
24,20,0.000242873,1,0.000242873,0.000242873,0.000242873,399,1,399,399,399,5,1,5,5,5
24,20,0.000120586,1,0.000120586,0.000120586,0.000120586,363,1,363,363,363,5,1,5,5,5
24,20,6.6359e-05,1,6.6359e-05,6.6359e-05,6.6359e-05,331,1,331,331,331,4,1,4,4,4
24,20,9.1599e-05,1,9.1599e-05,9.1599e-05,9.1599e-05,340,1,340,340,340,4,1,4,4,4
24,20,0.000161939,1,0.000161939,0.000161939,0.000161939,363,1,363,363,363,4,1,4,4,4
24,20,0.000249785,1,0.000249785,0.000249785,0.000249785,397,1,397,397,397,4,1,4,4,4
24,20,6.457e-05,1,6.457e-05,6.457e-05,6.457e-05,325,1,325,325,325,4,1,4,4,4
24,20,0.000102216,1,0.000102216,0.000102216,0.000102216,357,1,357,357,357,4,1,4,4,4
24,20,0.000130095,1,0.000130095,0.000130095,0.000130095,372,1,372,372,372,4,1,4,4,4
24,20,0.00011145,1,0.00011145,0.00011145,0.00011145,346,1,346,346,346,4,1,4,4,4
24,20,7.6865e-05,1,7.6865e-05,7.6865e-05,7.6865e-05,329,1,329,329,329,4,1,4,4,4
24,20,0.000209604,1,0.000209604,0.000209604,0.000209604,389,1,389,389,389,4,1,4,4,4
24,20,0.000141187,1,0.000141187,0.000141187,0.000141187,352,1,352,352,352,4,1,4,4,4
24,20,0.000185052,1,0.000185052,0.000185052,0.000185052,384,1,384,384,384,5,1,5,5,5
24,20,0.000146211,1,0.000146211,0.000146211,0.000146211,372,1,372,372,372,4,1,4,4,4
24,20,0.000212248,1,0.000212248,0.000212248,0.000212248,381,1,381,381,381,5,1,5,5,5
24,20,0.000121583,1,0.000121583,0.000121583,0.000121583,338,1,338,338,338,4,1,4,4,4
24,20,0.000127427,1,0.000127427,0.000127427,0.000127427,370,1,370,370,370,4,1,4,4,4
24,20,0.000123668,1,0.000123668,0.000123668,0.000123668,335,1,335,335,335,4,1,4,4,4
24,20,0.000148434,1,0.000148434,0.000148434,0.000148434,385,1,385,385,385,4,1,4,4,4
24,20,0.000109025,1,0.000109025,0.000109025,0.000109025,343,1,343,343,343,4,1,4,4,4
24,20,9.4742e-05,1,9.4742e-05,9.4742e-05,9.4742e-05,346,1,346,346,346,4,1,4,4,4
24,20,8.2787e-05,1,8.2787e-05,8.2787e-05,8.2787e-05,325,1,325,325,325,4,1,4,4,4
24,20,0.000130418,1,0.000130418,0.000130418,0.000130418,354,1,354,354,354,4,1,4,4,4
24,20,0.000190473,1,0.000190473,0.000190473,0.000190473,363,1,363,363,363,4,1,4,4,4
24,20,0.000186655,1,0.000186655,0.000186655,0.000186655,387,1,387,387,387,4,1,4,4,4
24,20,0.000133336,1,0.000133336,0.000133336,0.000133336,347,1,347,347,347,4,1,4,4,4
24,20,0.000116763,1,0.000116763,0.000116763,0.000116763,346,1,346,346,346,4,1,4,4,4
24,20,0.000103479,1,0.000103479,0.000103479,0.000103479,336,1,336,336,336,5,1,5,5,5
24,20,0.000281366,1,0.000281366,0.000281366,0.000281366,414,1,414,414,414,5,1,5,5,5
24,20,8.574e-05,1,8.574e-05,8.574e-05,8.574e-05,328,1,328,328,328,4,1,4,4,4
24,20,0.000130859,1,0.000130859,0.000130859,0.000130859,340,1,340,340,340,4,1,4,4,4
24,20,0.000191388,1,0.000191388,0.000191388,0.000191388,373,1,373,373,373,5,1,5,5,5
24,20,8.0424e-05,1,8.0424e-05,8.0424e-05,8.0424e-05,320,1,320,320,320,4,1,4,4,4
24,20,0.000129321,1,0.000129321,0.000129321,0.000129321,360,1,360,360,360,4,1,4,4,4
24,20,0.000198336,1,0.000198336,0.000198336,0.000198336,385,1,385,385,385,5,1,5,5,5
24,20,0.000125946,1,0.000125946,0.000125946,0.000125946,352,1,352,352,352,4,1,4,4,4
24,20,0.000103048,1,0.000103048,0.000103048,0.000103048,346,1,346,346,346,4,1,4,4,4
24,20,0.000208739,1,0.000208739,0.000208739,0.000208739,368,1,368,368,368,4,1,4,4,4
24,20,0.000128965,1,0.000128965,0.000128965,0.000128965,347,1,347,347,347,4,1,4,4,4
24,20,0.00026269,1,0.00026269,0.00026269,0.00026269,413,1,413,413,413,4,1,4,4,4
24,20,0.00016031,1,0.00016031,0.00016031,0.00016031,384,1,384,384,384,5,1,5,5,5
24,20,9.9367e-05,1,9.9367e-05,9.9367e-05,9.9367e-05,341,1,341,341,341,4,1,4,4,4
24,20,0.000103308,1,0.000103308,0.000103308,0.000103308,342,1,342,342,342,4,1,4,4,4
24,20,0.000133664,1,0.000133664,0.000133664,0.000133664,374,1,374,374,374,4,1,4,4,4
24,20,0.000132862,1,0.000132862,0.000132862,0.000132862,338,1,338,338,338,4,1,4,4,4
24,20,8.8056e-05,1,8.8056e-05,8.8056e-05,8.8056e-05,327,1,327,327,327,4,1,4,4,4
24,20,9.1617e-05,1,9.1617e-05,9.1617e-05,9.1617e-05,337,1,337,337,337,4,1,4,4,4
24,20,0.00014843,1,0.00014843,0.00014843,0.00014843,367,1,367,367,367,5,1,5,5,5
24,20,0.000156437,1,0.000156437,0.000156437,0.000156437,368,1,368,368,368,5,1,5,5,5
