n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
30,20,98,1,98,98,98,0.000264792,1,0.000264792,0.000264792,0.000264792,140,1,140,140,140,6,1,6,6,6,62,1,62,62,62
30,20,88,1,88,88,88,0.000247844,1,0.000247844,0.000247844,0.000247844,132,1,132,132,132,4,1,4,4,4,57,1,57,57,57
30,20,84,1,84,84,84,0.000228892,1,0.000228892,0.000228892,0.000228892,125,1,125,125,125,4,1,4,4,4,57,1,57,57,57
30,20,93,1,93,93,93,0.000255037,1,0.000255037,0.000255037,0.000255037,139,1,139,139,139,4,1,4,4,4,62,1,62,62,62
30,20,73,1,73,73,73,0.000222173,1,0.000222173,0.000222173,0.000222173,107,1,107,107,107,4,1,4,4,4,55,1,55,55,55
30,20,88,1,88,88,88,0.000231705,1,0.000231705,0.000231705,0.000231705,125,1,125,125,125,4,1,4,4,4,55,1,55,55,55
30,20,91,1,91,91,91,0.000259014,1,0.000259014,0.000259014,0.000259014,140,1,140,140,140,5,1,5,5,5,52,1,52,52,52
30,20,83,1,83,83,83,0.000221911,1,0.000221911,0.000221911,0.000221911,120,1,120,120,120,4,1,4,4,4,52,1,52,52,52
30,20,100,1,100,100,100,0.00026926,1,0.00026926,0.00026926,0.00026926,146,1,146,146,146,5,1,5,5,5,58,1,58,58,58
30,20,92,1,92,92,92,0.000255001,1,0.000255001,0.000255001,0.000255001,137,1,137,137,137,5,1,5,5,5,55,1,55,55,55
30,20,92,1,92,92,92,0.000253932,1,0.000253932,0.000253932,0.000253932,131,1,131,131,131,5,1,5,5,5,52,1,52,52,52
30,20,85,1,85,85,85,0.000233521,1,0.000233521,0.000233521,0.000233521,126,1,126,126,126,5,1,5,5,5,53,1,53,53,53
30,20,79,1,79,79,79,0.000215071,1,0.000215071,0.000215071,0.000215071,117,1,117,117,117,4,1,4,4,4,56,1,56,56,56
30,20,87,1,87,87,87,0.000235742,1,0.000235742,0.000235742,0.000235742,123,1,123,123,123,5,1,5,5,5,52,1,52,52,52
30,20,101,1,101,101,101,0.00029158,1,0.00029158,0.00029158,0.00029158,157,1,157,157,157,5,1,5,5,5,63,1,63,63,63
30,20,72,1,72,72,72,0.000201591,1,0.000201591,0.000201591,0.000201591,106,1,106,106,106,5,1,5,5,5,47,1,47,47,47
30,20,102,1,102,102,102,0.000277345,1,0.000277345,0.000277345,0.000277345,144,1,144,144,144,5,1,5,5,5,60,1,60,60,60
30,20,75,1,75,75,75,0.000206245,1,0.000206245,0.000206245,0.000206245,105,1,105,105,105,4,1,4,4,4,54,1,54,54,54
30,20,90,1,90,90,90,0.000248149,1,0.000248149,0.000248149,0.000248149,137,1,137,137,137,4,1,4,4,4,56,1,56,56,56
30,20,91,1,91,91,91,0.000247707,1,0.000247707,0.000247707,0.000247707,138,1,138,138,138,4,1,4,4,4,58,1,58,58,58
30,20,90,1,90,90,90,0.000248549,1,0.000248549,0.000248549,0.000248549,130,1,130,130,130,5,1,5,5,5,59,1,59,59,59
30,20,72,1,72,72,72,0.0001979,1,0.0001979,0.0001979,0.0001979,105,1,105,105,105,4,1,4,4,4,49,1,49,49,49
30,20,91,1,91,91,91,0.00026134,1,0.00026134,0.00026134,0.00026134,138,1,138,138,138,5,1,5,5,5,52,1,52,52,52
30,20,100,1,100,100,100,0.000261389,1,0.000261389,0.000261389,0.000261389,142,1,142,142,142,4,1,4,4,4,65,1,65,65,65
30,20,82,1,82,82,82,0.000231958,1,0.000231958,0.000231958,0.000231958,123,1,123,123,123,5,1,5,5,5,52,1,52,52,52
30,20,89,1,89,89,89,0.000238523,1,0.000238523,0.000238523,0.000238523,131,1,131,131,131,5,1,5,5,5,54,1,54,54,54
30,20,79,1,79,79,79,0.000207693,1,0.000207693,0.000207693,0.000207693,111,1,111,111,111,5,1,5,5,5,54,1,54,54,54
30,20,98,1,98,98,98,0.000257522,1,0.000257522,0.000257522,0.000257522,143,1,143,143,143,5,1,5,5,5,57,1,57,57,57
30,20,83,1,83,83,83,0.00021638,1,0.00021638,0.00021638,0.00021638,114,1,114,114,114,4,1,4,4,4,56,1,56,56,56
30,20,93,1,93,93,93,0.00024811,1,0.00024811,0.00024811,0.00024811,137,1,137,137,137,4,1,4,4,4,59,1,59,59,59
30,20,87,1,87,87,87,0.00023006,1,0.00023006,0.00023006,0.00023006,121,1,121,121,121,5,1,5,5,5,50,1,50,50,50
30,20,74,1,74,74,74,0.00020756,1,0.00020756,0.00020756,0.00020756,108,1,108,108,108,4,1,4,4,4,52,1,52,52,52
30,20,84,1,84,84,84,0.000223999,1,0.000223999,0.000223999,0.000223999,118,1,118,118,118,5,1,5,5,5,50,1,50,50,50
30,20,89,1,89,89,89,0.000236233,1,0.000236233,0.000236233,0.000236233,126,1,126,126,126,5,1,5,5,5,55,1,55,55,55
30,20,91,1,91,91,91,0.000243759,1,0.000243759,0.000243759,0.000243759,137,1,137,137,137,5,1,5,5,5,54,1,54,54,54
30,20,87,1,87,87,87,0.000242752,1,0.000242752,0.000242752,0.000242752,127,1,127,127,127,5,1,5,5,5,56,1,56,56,56
30,20,103,1,103,103,103,0.00028009,1,0.00028009,0.00028009,0.00028009,149,1,149,149,149,5,1,5,5,5,68,1,68,68,68
30,20,102,1,102,102,102,0.000284623,1,0.000284623,0.000284623,0.000284623,157,1,157,157,157,5,1,5,5,5,62,1,62,62,62
30,20,92,1,92,92,92,0.000226123,1,0.000226123,0.000226123,0.000226123,126,1,126,126,126,5,1,5,5,5,54,1,54,54,54
30,20,84,1,84,84,84,0.000234065,1,0.000234065,0.000234065,0.000234065,124,1,124,124,124,5,1,5,5,5,56,1,56,56,56
30,20,76,1,76,76,76,0.000220524,1,0.000220524,0.000220524,0.000220524,118,1,118,118,118,5,1,5,5,5,45,1,45,45,45
30,20,78,1,78,78,78,0.000206076,1,0.000206076,0.000206076,0.000206076,105,1,105,105,105,5,1,5,5,5,48,1,48,48,48
30,20,85,1,85,85,85,0.00023699,1,0.00023699,0.00023699,0.00023699,127,1,127,127,127,4,1,4,4,4,50,1,50,50,50
30,20,92,1,92,92,92,0.000260258,1,0.000260258,0.000260258,0.000260258,139,1,139,139,139,5,1,5,5,5,53,1,53,53,53
30,20,83,1,83,83,83,0.000223052,1,0.000223052,0.000223052,0.000223052,116,1,116,116,116,5,1,5,5,5,54,1,54,54,54
30,20,85,1,85,85,85,0.000260337,1,0.000260337,0.000260337,0.000260337,124,1,124,124,124,5,1,5,5,5,51,1,51,51,51
30,20,81,1,81,81,81,0.000212346,1,0.000212346,0.000212346,0.000212346,113,1,113,113,113,4,1,4,4,4,53,1,53,53,53
30,20,103,1,103,103,103,0.000288887,1,0.000288887,0.000288887,0.000288887,156,1,156,156,156,5,1,5,5,5,61,1,61,61,61
30,20,95,1,95,95,95,0.000260792,1,0.000260792,0.000260792,0.000260792,146,1,146,146,146,5,1,5,5,5,59,1,59,59,59
30,20,89,1,89,89,89,0.000236978,1,0.000236978,0.000236978,0.000236978,128,1,128,128,128,5,1,5,5,5,55,1,55,55,55
30,20,83,1,83,83,83,0.000240526,1,0.000240526,0.000240526,0.000240526,130,1,130,130,130,5,1,5,5,5,53,1,53,53,53
30,20,83,1,83,83,83,0.00022325,1,0.00022325,0.00022325,0.00022325,122,1,122,122,122,5,1,5,5,5,58,1,58,58,58
30,20,88,1,88,88,88,0.000241343,1,0.000241343,0.000241343,0.000241343,130,1,130,130,130,5,1,5,5,5,61,1,61,61,61
30,20,66,1,66,66,66,0.000192882,1,0.000192882,0.000192882,0.000192882,98,1,98,98,98,4,1,4,4,4,45,1,45,45,45
30,20,81,1,81,81,81,0.000228516,1,0.000228516,0.000228516,0.000228516,120,1,120,120,120,5,1,5,5,5,49,1,49,49,49
30,20,88,1,88,88,88,0.000242196,1,0.000242196,0.000242196,0.000242196,130,1,130,130,130,5,1,5,5,5,52,1,52,52,52
30,20,86,1,86,86,86,0.000227427,1,0.000227427,0.000227427,0.000227427,123,1,123,123,123,4,1,4,4,4,62,1,62,62,62
30,20,75,1,75,75,75,0.000220428,1,0.000220428,0.000220428,0.000220428,114,1,114,114,114,5,1,5,5,5,47,1,47,47,47
30,20,81,1,81,81,81,0.00021993,1,0.00021993,0.00021993,0.00021993,119,1,119,119,119,4,1,4,4,4,49,1,49,49,49
30,20,79,1,79,79,79,0.000208673,1,0.000208673,0.000208673,0.000208673,110,1,110,110,110,4,1,4,4,4,59,1,59,59,59
30,20,86,1,86,86,86,0.000221075,1,0.000221075,0.000221075,0.000221075,118,1,118,118,118,4,1,4,4,4,56,1,56,56,56
30,20,89,1,89,89,89,0.000249801,1,0.000249801,0.000249801,0.000249801,137,1,137,137,137,5,1,5,5,5,57,1,57,57,57
30,20,98,1,98,98,98,0.000267855,1,0.000267855,0.000267855,0.000267855,147,1,147,147,147,5,1,5,5,5,62,1,62,62,62
30,20,92,1,92,92,92,0.000252349,1,0.000252349,0.000252349,0.000252349,136,1,136,136,136,4,1,4,4,4,65,1,65,65,65
30,20,95,1,95,95,95,0.000269806,1,0.000269806,0.000269806,0.000269806,145,1,145,145,145,5,1,5,5,5,60,1,60,60,60
30,20,78,1,78,78,78,0.000216057,1,0.000216057,0.000216057,0.000216057,116,1,116,116,116,4,1,4,4,4,50,1,50,50,50
30,20,76,1,76,76,76,0.000240538,1,0.000240538,0.000240538,0.000240538,109,1,109,109,109,5,1,5,5,5,51,1,51,51,51
30,20,89,1,89,89,89,0.000231328,1,0.000231328,0.000231328,0.000231328,123,1,123,123,123,5,1,5,5,5,53,1,53,53,53
30,20,73,1,73,73,73,0.000203226,1,0.000203226,0.000203226,0.000203226,106,1,106,106,106,5,1,5,5,5,50,1,50,50,50
