n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
31,70,334,1,334,334,334,0.0059102,1,0.0059102,0.0059102,0.0059102,2732,1,2732,2732,2732,10,1,10,10,10,592,1,592,592,592
31,70,311,1,311,311,311,0.0047678,1,0.0047678,0.0047678,0.0047678,2024,1,2024,2024,2024,10,1,10,10,10,407,1,407,407,407
31,70,332,1,332,332,332,0.00656588,1,0.00656588,0.00656588,0.00656588,2899,1,2899,2899,2899,11,1,11,11,11,597,1,597,597,597
31,70,317,1,317,317,317,0.00465707,1,0.00465707,0.00465707,0.00465707,2192,1,2192,2192,2192,9,1,9,9,9,546,1,546,546,546
31,70,330,1,330,330,330,0.00709371,1,0.00709371,0.00709371,0.00709371,2875,1,2875,2875,2875,10,1,10,10,10,540,1,540,540,540
31,70,337,1,337,337,337,0.00740687,1,0.00740687,0.00740687,0.00740687,3045,1,3045,3045,3045,10,1,10,10,10,566,1,566,566,566
31,70,324,1,324,324,324,0.00528026,1,0.00528026,0.00528026,0.00528026,2264,1,2264,2264,2264,11,1,11,11,11,450,1,450,450,450
31,70,327,1,327,327,327,0.00672616,1,0.00672616,0.00672616,0.00672616,2723,1,2723,2723,2723,10,1,10,10,10,533,1,533,533,533
31,70,338,1,338,338,338,0.00622478,1,0.00622478,0.00622478,0.00622478,2652,1,2652,2652,2652,12,1,12,12,12,482,1,482,482,482
31,70,322,1,322,322,322,0.00578127,1,0.00578127,0.00578127,0.00578127,2466,1,2466,2466,2466,10,1,10,10,10,465,1,465,465,465
31,70,320,1,320,320,320,0.00656717,1,0.00656717,0.00656717,0.00656717,2620,1,2620,2620,2620,9,1,9,9,9,531,1,531,531,531
31,70,321,1,321,321,321,0.00532342,1,0.00532342,0.00532342,0.00532342,2166,1,2166,2166,2166,11,1,11,11,11,444,1,444,444,444
31,70,316,1,316,316,316,0.00602429,1,0.00602429,0.00602429,0.00602429,2463,1,2463,2463,2463,10,1,10,10,10,485,1,485,485,485
31,70,327,1,327,327,327,0.00521332,1,0.00521332,0.00521332,0.00521332,2178,1,2178,2178,2178,11,1,11,11,11,416,1,416,416,416
31,70,323,1,323,323,323,0.00587836,1,0.00587836,0.00587836,0.00587836,2374,1,2374,2374,2374,11,1,11,11,11,440,1,440,440,440
31,70,321,1,321,321,321,0.00618031,1,0.00618031,0.00618031,0.00618031,2356,1,2356,2356,2356,10,1,10,10,10,457,1,457,457,457
31,70,334,1,334,334,334,0.00723692,1,0.00723692,0.00723692,0.00723692,2870,1,2870,2870,2870,11,1,11,11,11,589,1,589,589,589
31,70,333,1,333,333,333,0.00715222,1,0.00715222,0.00715222,0.00715222,2959,1,2959,2959,2959,10,1,10,10,10,617,1,617,617,617
31,70,321,1,321,321,321,0.00579397,1,0.00579397,0.00579397,0.00579397,2421,1,2421,2421,2421,10,1,10,10,10,489,1,489,489,489
31,70,339,1,339,339,339,0.00794648,1,0.00794648,0.00794648,0.00794648,3107,1,3107,3107,3107,11,1,11,11,11,580,1,580,580,580
31,70,335,1,335,335,335,0.0075349,1,0.0075349,0.0075349,0.0075349,3123,1,3123,3123,3123,10,1,10,10,10,603,1,603,603,603
31,70,319,1,319,319,319,0.00495082,1,0.00495082,0.00495082,0.00495082,1945,1,1945,1945,1945,11,1,11,11,11,314,1,314,314,314
31,70,325,1,325,325,325,0.00584733,1,0.00584733,0.00584733,0.00584733,2458,1,2458,2458,2458,10,1,10,10,10,484,1,484,484,484
31,70,326,1,326,326,326,0.00620227,1,0.00620227,0.00620227,0.00620227,2530,1,2530,2530,2530,10,1,10,10,10,489,1,489,489,489
31,70,325,1,325,325,325,0.00736121,1,0.00736121,0.00736121,0.00736121,2911,1,2911,2911,2911,10,1,10,10,10,578,1,578,578,578
31,70,311,1,311,311,311,0.00450374,1,0.00450374,0.00450374,0.00450374,1955,1,1955,1955,1955,10,1,10,10,10,404,1,404,404,404
31,70,322,1,322,322,322,0.00745531,1,0.00745531,0.00745531,0.00745531,2720,1,2720,2720,2720,10,1,10,10,10,405,1,405,405,405
31,70,337,1,337,337,337,0.00721248,1,0.00721248,0.00721248,0.00721248,3092,1,3092,3092,3092,11,1,11,11,11,606,1,606,606,606
31,70,330,1,330,330,330,0.00598364,1,0.00598364,0.00598364,0.00598364,2500,1,2500,2500,2500,10,1,10,10,10,467,1,467,467,467
31,70,318,1,318,318,318,0.00486405,1,0.00486405,0.00486405,0.00486405,1990,1,1990,1990,1990,10,1,10,10,10,388,1,388,388,388
31,70,335,1,335,335,335,0.00721825,1,0.00721825,0.00721825,0.00721825,2903,1,2903,2903,2903,11,1,11,11,11,504,1,504,504,504
31,70,313,1,313,313,313,0.00605966,1,0.00605966,0.00605966,0.00605966,2281,1,2281,2281,2281,10,1,10,10,10,412,1,412,412,412
31,70,341,1,341,341,341,0.00783004,1,0.00783004,0.00783004,0.00783004,3224,1,3224,3224,3224,11,1,11,11,11,638,1,638,638,638
31,70,332,1,332,332,332,0.00804708,1,0.00804708,0.00804708,0.00804708,2916,1,2916,2916,2916,11,1,11,11,11,558,1,558,558,558
31,70,316,1,316,316,316,0.00460265,1,0.00460265,0.00460265,0.00460265,1976,1,1976,1976,1976,9,1,9,9,9,483,1,483,483,483
31,70,346,1,346,346,346,0.00819286,1,0.00819286,0.00819286,0.00819286,3299,1,3299,3299,3299,11,1,11,11,11,657,1,657,657,657
31,70,328,1,328,328,328,0.00663376,1,0.00663376,0.00663376,0.00663376,2762,1,2762,2762,2762,10,1,10,10,10,542,1,542,542,542
31,70,318,1,318,318,318,0.00470081,1,0.00470081,0.00470081,0.00470081,2148,1,2148,2148,2148,10,1,10,10,10,423,1,423,423,423
31,70,320,1,320,320,320,0.0050714,1,0.0050714,0.0050714,0.0050714,2186,1,2186,2186,2186,10,1,10,10,10,496,1,496,496,496
31,70,327,1,327,327,327,0.00615907,1,0.00615907,0.00615907,0.00615907,2827,1,2827,2827,2827,10,1,10,10,10,647,1,647,647,647
