n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
6,20,0,1,0,0,0,8.626e-06,1,8.626e-06,8.626e-06,8.626e-06,7,1,7,7,7,2,1,2,2,2,6,1,6,6,6
6,20,3,1,3,3,3,1.0292e-05,1,1.0292e-05,1.0292e-05,1.0292e-05,9,1,9,9,9,3,1,3,3,3,5,1,5,5,5
6,20,2,1,2,2,2,8.134e-06,1,8.134e-06,8.134e-06,8.134e-06,8,1,8,8,8,3,1,3,3,3,4,1,4,4,4
6,20,2,1,2,2,2,8.248e-06,1,8.248e-06,8.248e-06,8.248e-06,8,1,8,8,8,3,1,3,3,3,4,1,4,4,4
6,20,2,1,2,2,2,9.489e-06,1,9.489e-06,9.489e-06,9.489e-06,9,1,9,9,9,3,1,3,3,3,5,1,5,5,5
6,20,6,1,6,6,6,1.3066e-05,1,1.3066e-05,1.3066e-05,1.3066e-05,12,1,12,12,12,3,1,3,3,3,6,1,6,6,6
6,20,3,1,3,3,3,9.529e-06,1,9.529e-06,9.529e-06,9.529e-06,9,1,9,9,9,3,1,3,3,3,5,1,5,5,5
6,20,5,1,5,5,5,9.625e-06,1,9.625e-06,9.625e-06,9.625e-06,9,1,9,9,9,4,1,4,4,4,3,1,3,3,3
6,20,2,1,2,2,2,9.633e-06,1,9.633e-06,9.633e-06,9.633e-06,9,1,9,9,9,3,1,3,3,3,5,1,5,5,5
6,20,3,1,3,3,3,8.041e-06,1,8.041e-06,8.041e-06,8.041e-06,8,1,8,8,8,3,1,3,3,3,4,1,4,4,4
6,20,4,1,4,4,4,1.0383e-05,1,1.0383e-05,1.0383e-05,1.0383e-05,10,1,10,10,10,3,1,3,3,3,4,1,4,4,4
6,20,4,1,4,4,4,9.76e-06,1,9.76e-06,9.76e-06,9.76e-06,9,1,9,9,9,3,1,3,3,3,5,1,5,5,5
6,20,1,1,1,1,1,8.7e-06,1,8.7e-06,8.7e-06,8.7e-06,8,1,8,8,8,3,1,3,3,3,5,1,5,5,5
6,20,4,1,4,4,4,1.0819e-05,1,1.0819e-05,1.0819e-05,1.0819e-05,10,1,10,10,10,3,1,3,3,3,5,1,5,5,5
6,20,3,1,3,3,3,9.855e-06,1,9.855e-06,9.855e-06,9.855e-06,10,1,10,10,10,3,1,3,3,3,4,1,4,4,4
6,20,4,1,4,4,4,9.224e-06,1,9.224e-06,9.224e-06,9.224e-06,9,1,9,9,9,3,1,3,3,3,5,1,5,5,5
6,20,1,1,1,1,1,7.845e-06,1,7.845e-06,7.845e-06,7.845e-06,7,1,7,7,7,3,1,3,3,3,5,1,5,5,5
6,20,0,1,0,0,0,7.811e-06,1,7.811e-06,7.811e-06,7.811e-06,7,1,7,7,7,2,1,2,2,2,6,1,6,6,6
6,20,4,1,4,4,4,1.075e-05,1,1.075e-05,1.075e-05,1.075e-05,10,1,10,10,10,3,1,3,3,3,5,1,5,5,5
6,20,1,1,1,1,1,8.613e-06,1,8.613e-06,8.613e-06,8.613e-06,8,1,8,8,8,3,1,3,3,3,5,1,5,5,5
6,20,3,1,3,3,3,9.576e-06,1,9.576e-06,9.576e-06,9.576e-06,10,1,10,10,10,3,1,3,3,3,4,1,4,4,4
6,20,1,1,1,1,1,8.678e-06,1,8.678e-06,8.678e-06,8.678e-06,8,1,8,8,8,3,1,3,3,3,5,1,5,5,5
6,20,1,1,1,1,1,8.68e-06,1,8.68e-06,8.68e-06,8.68e-06,8,1,8,8,8,3,1,3,3,3,5,1,5,5,5
6,20,1,1,1,1,1,8.659e-06,1,8.659e-06,8.659e-06,8.659e-06,8,1,8,8,8,3,1,3,3,3,5,1,5,5,5
6,20,2,1,2,2,2,9.647e-06,1,9.647e-06,9.647e-06,9.647e-06,9,1,9,9,9,3,1,3,3,3,5,1,5,5,5
6,20,3,1,3,3,3,1.0636e-05,1,1.0636e-05,1.0636e-05,1.0636e-05,10,1,10,10,10,3,1,3,3,3,5,1,5,5,5
6,20,1,1,1,1,1,7.857e-06,1,7.857e-06,7.857e-06,7.857e-06,7,1,7,7,7,3,1,3,3,3,5,1,5,5,5
6,20,2,1,2,2,2,8.462e-06,1,8.462e-06,8.462e-06,8.462e-06,8,1,8,8,8,3,1,3,3,3,5,1,5,5,5
6,20,5,1,5,5,5,8.724e-06,1,8.724e-06,8.724e-06,8.724e-06,9,1,9,9,9,4,1,4,4,4,4,1,4,4,4
6,20,3,1,3,3,3,9.124e-06,1,9.124e-06,9.124e-06,9.124e-06,9,1,9,9,9,3,1,3,3,3,4,1,4,4,4
6,20,6,1,6,6,6,9.845e-06,1,9.845e-06,9.845e-06,9.845e-06,10,1,10,10,10,4,1,4,4,4,4,1,4,4,4
6,20,6,1,6,6,6,9.418e-06,1,9.418e-06,9.418e-06,9.418e-06,9,1,9,9,9,4,1,4,4,4,4,1,4,4,4
