n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
9,30,9,1,9,9,9,2.1237e-05,1,2.1237e-05,2.1237e-05,2.1237e-05,17,1,17,17,17,4,1,4,4,4,8,1,8,8,8
9,30,12,1,12,12,12,3.9661e-05,1,3.9661e-05,3.9661e-05,3.9661e-05,20,1,20,20,20,4,1,4,4,4,8,1,8,8,8
9,30,13,1,13,13,13,2.4668e-05,1,2.4668e-05,2.4668e-05,2.4668e-05,20,1,20,20,20,4,1,4,4,4,9,1,9,9,9
9,30,7,1,7,7,7,1.8643e-05,1,1.8643e-05,1.8643e-05,1.8643e-05,16,1,16,16,16,3,1,3,3,3,8,1,8,8,8
9,30,8,1,8,8,8,1.961e-05,1,1.961e-05,1.961e-05,1.961e-05,16,1,16,16,16,4,1,4,4,4,6,1,6,6,6
9,30,13,1,13,13,13,2.7015e-05,1,2.7015e-05,2.7015e-05,2.7015e-05,22,1,22,22,22,4,1,4,4,4,7,1,7,7,7
9,30,17,1,17,17,17,2.7736e-05,1,2.7736e-05,2.7736e-05,2.7736e-05,22,1,22,22,22,5,1,5,5,5,8,1,8,8,8
9,30,15,1,15,15,15,2.5633e-05,1,2.5633e-05,2.5633e-05,2.5633e-05,22,1,22,22,22,4,1,4,4,4,10,1,10,10,10
9,30,12,1,12,12,12,2.556e-05,1,2.556e-05,2.556e-05,2.556e-05,21,1,21,21,21,4,1,4,4,4,8,1,8,8,8
9,30,12,1,12,12,12,2.5818e-05,1,2.5818e-05,2.5818e-05,2.5818e-05,20,1,20,20,20,4,1,4,4,4,9,1,9,9,9
9,30,11,1,11,11,11,2.1888e-05,1,2.1888e-05,2.1888e-05,2.1888e-05,18,1,18,18,18,4,1,4,4,4,6,1,6,6,6
9,30,15,1,15,15,15,2.8458e-05,1,2.8458e-05,2.8458e-05,2.8458e-05,23,1,23,23,23,4,1,4,4,4,9,1,9,9,9
9,30,15,1,15,15,15,2.3925e-05,1,2.3925e-05,2.3925e-05,2.3925e-05,17,1,17,17,17,5,1,5,5,5,5,1,5,5,5
9,30,15,1,15,15,15,2.9849e-05,1,2.9849e-05,2.9849e-05,2.9849e-05,23,1,23,23,23,4,1,4,4,4,9,1,9,9,9
9,30,18,1,18,18,18,3.3089e-05,1,3.3089e-05,3.3089e-05,3.3089e-05,26,1,26,26,26,5,1,5,5,5,8,1,8,8,8
9,30,10,1,10,10,10,2.2103e-05,1,2.2103e-05,2.2103e-05,2.2103e-05,18,1,18,18,18,4,1,4,4,4,6,1,6,6,6
9,30,9,1,9,9,9,2.2475e-05,1,2.2475e-05,2.2475e-05,2.2475e-05,16,1,16,16,16,5,1,5,5,5,6,1,6,6,6
9,30,5,1,5,5,5,1.6439e-05,1,1.6439e-05,1.6439e-05,1.6439e-05,14,1,14,14,14,3,1,3,3,3,6,1,6,6,6
9,30,16,1,16,16,16,2.7564e-05,1,2.7564e-05,2.7564e-05,2.7564e-05,20,1,20,20,20,5,1,5,5,5,7,1,7,7,7
9,30,14,1,14,14,14,2.708e-05,1,2.708e-05,2.708e-05,2.708e-05,21,1,21,21,21,4,1,4,4,4,10,1,10,10,10
9,30,11,1,11,11,11,2.2791e-05,1,2.2791e-05,2.2791e-05,2.2791e-05,19,1,19,19,19,4,1,4,4,4,7,1,7,7,7
9,30,10,1,10,10,10,2.091e-05,1,2.091e-05,2.091e-05,2.091e-05,17,1,17,17,17,4,1,4,4,4,7,1,7,7,7
9,30,13,1,13,13,13,2.1562e-05,1,2.1562e-05,2.1562e-05,2.1562e-05,19,1,19,19,19,4,1,4,4,4,8,1,8,8,8
9,30,10,1,10,10,10,2.2914e-05,1,2.2914e-05,2.2914e-05,2.2914e-05,18,1,18,18,18,4,1,4,4,4,8,1,8,8,8
9,30,14,1,14,14,14,2.3535e-05,1,2.3535e-05,2.3535e-05,2.3535e-05,19,1,19,19,19,5,1,5,5,5,7,1,7,7,7
9,30,11,1,11,11,11,2.1184e-05,1,2.1184e-05,2.1184e-05,2.1184e-05,18,1,18,18,18,4,1,4,4,4,8,1,8,8,8
9,30,12,1,12,12,12,2.3716e-05,1,2.3716e-05,2.3716e-05,2.3716e-05,19,1,19,19,19,4,1,4,4,4,7,1,7,7,7
9,30,10,1,10,10,10,1.9649e-05,1,1.9649e-05,1.9649e-05,1.9649e-05,17,1,17,17,17,4,1,4,4,4,7,1,7,7,7
9,30,15,1,15,15,15,2.7702e-05,1,2.7702e-05,2.7702e-05,2.7702e-05,22,1,22,22,22,4,1,4,4,4,10,1,10,10,10
9,30,14,1,14,14,14,2.5881e-05,1,2.5881e-05,2.5881e-05,2.5881e-05,20,1,20,20,20,5,1,5,5,5,8,1,8,8,8
9,30,15,1,15,15,15,2.9117e-05,1,2.9117e-05,2.9117e-05,2.9117e-05,22,1,22,22,22,5,1,5,5,5,6,1,6,6,6
9,30,12,1,12,12,12,2.4471e-05,1,2.4471e-05,2.4471e-05,2.4471e-05,19,1,19,19,19,4,1,4,4,4,10,1,10,10,10
9,30,13,1,13,13,13,2.5875e-05,1,2.5875e-05,2.5875e-05,2.5875e-05,20,1,20,20,20,4,1,4,4,4,7,1,7,7,7
9,30,11,1,11,11,11,2.2955e-05,1,2.2955e-05,2.2955e-05,2.2955e-05,19,1,19,19,19,3,1,3,3,3,11,1,11,11,11
9,30,13,1,13,13,13,2.2794e-05,1,2.2794e-05,2.2794e-05,2.2794e-05,18,1,18,18,18,4,1,4,4,4,7,1,7,7,7
9,30,8,1,8,8,8,1.8275e-05,1,1.8275e-05,1.8275e-05,1.8275e-05,15,1,15,15,15,4,1,4,4,4,6,1,6,6,6
9,30,9,1,9,9,9,2.1901e-05,1,2.1901e-05,2.1901e-05,2.1901e-05,18,1,18,18,18,3,1,3,3,3,9,1,9,9,9
9,30,16,1,16,16,16,2.8496e-05,1,2.8496e-05,2.8496e-05,2.8496e-05,25,1,25,25,25,4,1,4,4,4,8,1,8,8,8
9,30,9,1,9,9,9,2.1749e-05,1,2.1749e-05,2.1749e-05,2.1749e-05,18,1,18,18,18,4,1,4,4,4,7,1,7,7,7
9,30,9,1,9,9,9,2.1231e-05,1,2.1231e-05,2.1231e-05,2.1231e-05,17,1,17,17,17,3,1,3,3,3,10,1,10,10,10
9,30,17,1,17,17,17,2.8389e-05,1,2.8389e-05,2.8389e-05,2.8389e-05,22,1,22,22,22,5,1,5,5,5,8,1,8,8,8
9,30,15,1,15,15,15,2.87e-05,1,2.87e-05,2.87e-05,2.87e-05,22,1,22,22,22,4,1,4,4,4,10,1,10,10,10
9,30,8,1,8,8,8,1.9171e-05,1,1.9171e-05,1.9171e-05,1.9171e-05,16,1,16,16,16,4,1,4,4,4,6,1,6,6,6
9,30,9,1,9,9,9,1.9032e-05,1,1.9032e-05,1.9032e-05,1.9032e-05,15,1,15,15,15,4,1,4,4,4,7,1,7,7,7
9,30,15,1,15,15,15,2.8294e-05,1,2.8294e-05,2.8294e-05,2.8294e-05,22,1,22,22,22,5,1,5,5,5,7,1,7,7,7
9,30,6,1,6,6,6,1.7717e-05,1,1.7717e-05,1.7717e-05,1.7717e-05,15,1,15,15,15,3,1,3,3,3,7,1,7,7,7
9,30,14,1,14,14,14,2.3438e-05,1,2.3438e-05,2.3438e-05,2.3438e-05,19,1,19,19,19,4,1,4,4,4,10,1,10,10,10
9,30,13,1,13,13,13,2.4041e-05,1,2.4041e-05,2.4041e-05,2.4041e-05,20,1,20,20,20,4,1,4,4,4,7,1,7,7,7
9,30,10,1,10,10,10,3.6082e-05,1,3.6082e-05,3.6082e-05,3.6082e-05,18,1,18,18,18,3,1,3,3,3,10,1,10,10,10
9,30,11,1,11,11,11,2.1933e-05,1,2.1933e-05,2.1933e-05,2.1933e-05,19,1,19,19,19,4,1,4,4,4,7,1,7,7,7
9,30,10,1,10,10,10,2.3182e-05,1,2.3182e-05,2.3182e-05,2.3182e-05,18,1,18,18,18,4,1,4,4,4,9,1,9,9,9
9,30,13,1,13,13,13,2.6772e-05,1,2.6772e-05,2.6772e-05,2.6772e-05,21,1,21,21,21,4,1,4,4,4,10,1,10,10,10
9,30,15,1,15,15,15,2.8664e-05,1,2.8664e-05,2.8664e-05,2.8664e-05,22,1,22,22,22,4,1,4,4,4,9,1,9,9,9
9,30,13,1,13,13,13,2.3549e-05,1,2.3549e-05,2.3549e-05,2.3549e-05,19,1,19,19,19,4,1,4,4,4,10,1,10,10,10
9,30,14,1,14,14,14,2.7717e-05,1,2.7717e-05,2.7717e-05,2.7717e-05,22,1,22,22,22,4,1,4,4,4,10,1,10,10,10
9,30,12,1,12,12,12,2.3618e-05,1,2.3618e-05,2.3618e-05,2.3618e-05,18,1,18,18,18,5,1,5,5,5,6,1,6,6,6
9,30,9,1,9,9,9,2.1897e-05,1,2.1897e-05,2.1897e-05,2.1897e-05,18,1,18,18,18,3,1,3,3,3,9,1,9,9,9
9,30,11,1,11,11,11,2.2071e-05,1,2.2071e-05,2.2071e-05,2.2071e-05,18,1,18,18,18,4,1,4,4,4,8,1,8,8,8
9,30,5,1,5,5,5,1.6459e-05,1,1.6459e-05,1.6459e-05,1.6459e-05,14,1,14,14,14,3,1,3,3,3,7,1,7,7,7
9,30,10,1,10,10,10,2.3346e-05,1,2.3346e-05,2.3346e-05,2.3346e-05,19,1,19,19,19,3,1,3,3,3,10,1,10,10,10
