n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,cliques_total,cliques_count,cliques_mean,cliques_min,cliques_max
19,30,46,1,46,46,46,0.000122892,1,0.000122892,0.000122892,0.000122892,45,1,45,45,45,5,1,5,5,5,0,1,0,0,0
19,30,59,1,59,59,59,0.000102703,1,0.000102703,0.000102703,0.000102703,56,1,56,56,56,5,1,5,5,5,0,1,0,0,0
19,30,49,1,49,49,49,8.9715e-05,1,8.9715e-05,8.9715e-05,8.9715e-05,47,1,47,47,47,5,1,5,5,5,0,1,0,0,0
19,30,49,1,49,49,49,8.3999e-05,1,8.3999e-05,8.3999e-05,8.3999e-05,43,1,43,43,43,5,1,5,5,5,0,1,0,0,0
19,30,46,1,46,46,46,8.7279e-05,1,8.7279e-05,8.7279e-05,8.7279e-05,48,1,48,48,48,5,1,5,5,5,0,1,0,0,0
19,30,46,1,46,46,46,8.0541e-05,1,8.0541e-05,8.0541e-05,8.0541e-05,48,1,48,48,48,4,1,4,4,4,0,1,0,0,0
19,30,66,1,66,66,66,0.000134014,1,0.000134014,0.000134014,0.000134014,75,1,75,75,75,5,1,5,5,5,0,1,0,0,0
19,30,55,1,55,55,55,9.3434e-05,1,9.3434e-05,9.3434e-05,9.3434e-05,47,1,47,47,47,6,1,6,6,6,0,1,0,0,0
19,30,48,1,48,48,48,9.4158e-05,1,9.4158e-05,9.4158e-05,9.4158e-05,54,1,54,54,54,4,1,4,4,4,0,1,0,0,0
19,30,55,1,55,55,55,0.000106766,1,0.000106766,0.000106766,0.000106766,58,1,58,58,58,5,1,5,5,5,0,1,0,0,0
19,30,51,1,51,51,51,8.7706e-05,1,8.7706e-05,8.7706e-05,8.7706e-05,47,1,47,47,47,5,1,5,5,5,0,1,0,0,0
19,30,49,1,49,49,49,8.569e-05,1,8.569e-05,8.569e-05,8.569e-05,48,1,48,48,48,5,1,5,5,5,0,1,0,0,0
19,30,58,1,58,58,58,0.000108265,1,0.000108265,0.000108265,0.000108265,59,1,59,59,59,5,1,5,5,5,0,1,0,0,0
19,30,51,1,51,51,51,8.7314e-05,1,8.7314e-05,8.7314e-05,8.7314e-05,48,1,48,48,48,5,1,5,5,5,0,1,0,0,0
19,30,53,1,53,53,53,9.9683e-05,1,9.9683e-05,9.9683e-05,9.9683e-05,57,1,57,57,57,5,1,5,5,5,0,1,0,0,0
19,30,60,1,60,60,60,0.000115764,1,0.000115764,0.000115764,0.000115764,57,1,57,57,57,5,1,5,5,5,0,1,0,0,0
19,30,49,1,49,49,49,0.000108767,1,0.000108767,0.000108767,0.000108767,53,1,53,53,53,5,1,5,5,5,0,1,0,0,0
19,30,60,1,60,60,60,0.000105722,1,0.000105722,0.000105722,0.000105722,54,1,54,54,54,5,1,5,5,5,0,1,0,0,0
19,30,45,1,45,45,45,8.1803e-05,1,8.1803e-05,8.1803e-05,8.1803e-05,45,1,45,45,45,4,1,4,4,4,0,1,0,0,0
19,30,62,1,62,62,62,0.000121597,1,0.000121597,0.000121597,0.000121597,71,1,71,71,71,5,1,5,5,5,0,1,0,0,0
19,30,49,1,49,49,49,0.000102471,1,0.000102471,0.000102471,0.000102471,57,1,57,57,57,4,1,4,4,4,0,1,0,0,0
19,30,54,1,54,54,54,9.5102e-05,1,9.5102e-05,9.5102e-05,9.5102e-05,49,1,49,49,49,5,1,5,5,5,0,1,0,0,0
19,30,42,1,42,42,42,8.6728e-05,1,8.6728e-05,8.6728e-05,8.6728e-05,52,1,52,52,52,4,1,4,4,4,0,1,0,0,0
19,30,62,1,62,62,62,9.6053e-05,1,9.6053e-05,9.6053e-05,9.6053e-05,44,1,44,44,44,6,1,6,6,6,0,1,0,0,0
19,30,42,1,42,42,42,8.527e-05,1,8.527e-05,8.527e-05,8.527e-05,47,1,47,47,47,4,1,4,4,4,0,1,0,0,0
19,30,48,1,48,48,48,8.7742e-05,1,8.7742e-05,8.7742e-05,8.7742e-05,48,1,48,48,48,5,1,5,5,5,0,1,0,0,0
19,30,45,1,45,45,45,8.6278e-05,1,8.6278e-05,8.6278e-05,8.6278e-05,53,1,53,53,53,4,1,4,4,4,0,1,0,0,0
19,30,58,1,58,58,58,0.000104515,1,0.000104515,0.000104515,0.000104515,49,1,49,49,49,5,1,5,5,5,0,1,0,0,0
19,30,50,1,50,50,50,9.1704e-05,1,9.1704e-05,9.1704e-05,9.1704e-05,46,1,46,46,46,5,1,5,5,5,0,1,0,0,0
19,30,41,1,41,41,41,7.13e-05,1,7.13e-05,7.13e-05,7.13e-05,41,1,41,41,41,4,1,4,4,4,0,1,0,0,0
19,30,51,1,51,51,51,9.4597e-05,1,9.4597e-05,9.4597e-05,9.4597e-05,60,1,60,60,60,4,1,4,4,4,0,1,0,0,0
19,30,40,1,40,40,40,7.3363e-05,1,7.3363e-05,7.3363e-05,7.3363e-05,40,1,40,40,40,5,1,5,5,5,0,1,0,0,0
19,30,66,1,66,66,66,0.000140736,1,0.000140736,0.000140736,0.000140736,80,1,80,80,80,5,1,5,5,5,0,1,0,0,0
19,30,54,1,54,54,54,0.000124906,1,0.000124906,0.000124906,0.000124906,72,1,72,72,72,5,1,5,5,5,0,1,0,0,0
