n,p,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,found_total,found_count,found_mean,found_min,found_max,actual_total,actual_count,actual_mean,actual_min,actual_max,differ_total,differ_count,differ_mean,differ_min,differ_max
17,70,0.0144605,1,0.0144605,0.0144605,0.0144605,192,1,192,192,192,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.0208697,1,0.0208697,0.0208697,0.0208697,187,1,187,187,187,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.00925383,1,0.00925383,0.00925383,0.00925383,197,1,197,197,197,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.00673327,1,0.00673327,0.00673327,0.00673327,182,1,182,182,182,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.00588425,1,0.00588425,0.00588425,0.00588425,184,1,184,184,184,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0199204,1,0.0199204,0.0199204,0.0199204,180,1,180,180,180,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.00599874,1,0.00599874,0.00599874,0.00599874,185,1,185,185,185,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.019939,1,0.019939,0.019939,0.019939,185,1,185,185,185,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0288792,1,0.0288792,0.0288792,0.0288792,186,1,186,186,186,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0277003,1,0.0277003,0.0277003,0.0277003,180,1,180,180,180,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
17,70,0.0157872,1,0.0157872,0.0157872,0.0157872,180,1,180,180,180,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
17,70,0.0645371,1,0.0645371,0.0645371,0.0645371,179,1,179,179,179,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
17,70,0.0143519,1,0.0143519,0.0143519,0.0143519,188,1,188,188,188,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.0133561,1,0.0133561,0.0133561,0.0133561,183,1,183,183,183,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
17,70,0.0129397,1,0.0129397,0.0129397,0.0129397,192,1,192,192,192,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.0319479,1,0.0319479,0.0319479,0.0319479,188,1,188,188,188,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0118098,1,0.0118098,0.0118098,0.0118098,193,1,193,193,193,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.0560991,1,0.0560991,0.0560991,0.0560991,188,1,188,188,188,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.012363,1,0.012363,0.012363,0.012363,190,1,190,190,190,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0375399,1,0.0375399,0.0375399,0.0375399,190,1,190,190,190,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0183608,1,0.0183608,0.0183608,0.0183608,188,1,188,188,188,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0120796,1,0.0120796,0.0120796,0.0120796,190,1,190,190,190,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.0101391,1,0.0101391,0.0101391,0.0101391,187,1,187,187,187,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0155387,1,0.0155387,0.0155387,0.0155387,180,1,180,180,180,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0113538,1,0.0113538,0.0113538,0.0113538,181,1,181,181,181,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.00906222,1,0.00906222,0.00906222,0.00906222,192,1,192,192,192,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.00565103,1,0.00565103,0.00565103,0.00565103,204,1,204,204,204,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
17,70,0.0177662,1,0.0177662,0.0177662,0.0177662,188,1,188,188,188,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.0101959,1,0.0101959,0.0101959,0.0101959,190,1,190,190,190,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.00657411,1,0.00657411,0.00657411,0.00657411,183,1,183,183,183,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.018958,1,0.018958,0.018958,0.018958,179,1,179,179,179,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
17,70,0.0203781,1,0.0203781,0.0203781,0.0203781,203,1,203,203,203,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
17,70,0.0663691,1,0.0663691,0.0663691,0.0663691,191,1,191,191,191,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.00529236,1,0.00529236,0.00529236,0.00529236,190,1,190,190,190,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.0397307,1,0.0397307,0.0397307,0.0397307,185,1,185,185,185,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
17,70,0.0210961,1,0.0210961,0.0210961,0.0210961,179,1,179,179,179,6,1,6,6,6,6,1,6,6,6,0,1,0,0,0
17,70,0.013734,1,0.013734,0.013734,0.013734,189,1,189,189,189,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.00823133,1,0.00823133,0.00823133,0.00823133,185,1,185,185,185,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0116653,1,0.0116653,0.0116653,0.0116653,184,1,184,184,184,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0274198,1,0.0274198,0.0274198,0.0274198,180,1,180,180,180,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
17,70,0.0115563,1,0.0115563,0.0115563,0.0115563,185,1,185,185,185,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0261112,1,0.0261112,0.0261112,0.0261112,189,1,189,189,189,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
17,70,0.00478335,1,0.00478335,0.00478335,0.00478335,188,1,188,188,188,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.00775197,1,0.00775197,0.00775197,0.00775197,193,1,193,193,193,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.0165221,1,0.0165221,0.0165221,0.0165221,191,1,191,191,191,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.016584,1,0.016584,0.016584,0.016584,185,1,185,185,185,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0114324,1,0.0114324,0.0114324,0.0114324,182,1,182,182,182,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.112801,1,0.112801,0.112801,0.112801,184,1,184,184,184,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0104162,1,0.0104162,0.0104162,0.0104162,188,1,188,188,188,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0144157,1,0.0144157,0.0144157,0.0144157,183,1,183,183,183,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0233457,1,0.0233457,0.0233457,0.0233457,184,1,184,184,184,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.00559133,1,0.00559133,0.00559133,0.00559133,184,1,184,184,184,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
17,70,0.0130724,1,0.0130724,0.0130724,0.0130724,195,1,195,195,195,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.0199167,1,0.0199167,0.0199167,0.0199167,184,1,184,184,184,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
17,70,0.0169011,1,0.0169011,0.0169011,0.0169011,193,1,193,193,193,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.00437181,1,0.00437181,0.00437181,0.00437181,193,1,193,193,193,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
17,70,0.011013,1,0.011013,0.011013,0.011013,183,1,183,183,183,7,1,7,7,7,6,1,6,6,6,1,1,1,1,1
17,70,0.0061328,1,0.0061328,0.0061328,0.0061328,187,1,187,187,187,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0248333,1,0.0248333,0.0248333,0.0248333,190,1,190,190,190,8,1,8,8,8,8,1,8,8,8,0,1,0,0,0
17,70,0.0121745,1,0.0121745,0.0121745,0.0121745,195,1,195,195,195,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.024837,1,0.024837,0.024837,0.024837,190,1,190,190,190,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.0201594,1,0.0201594,0.0201594,0.0201594,188,1,188,188,188,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0174912,1,0.0174912,0.0174912,0.0174912,184,1,184,184,184,7,1,7,7,7,7,1,7,7,7,0,1,0,0,0
17,70,0.0275216,1,0.0275216,0.0275216,0.0275216,188,1,188,188,188,8,1,8,8,8,7,1,7,7,7,1,1,1,1,1
17,70,0.0171544,1,0.0171544,0.0171544,0.0171544,195,1,195,195,195,9,1,9,9,9,8,1,8,8,8,1,1,1,1,1
