n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,lower_bound_total,lower_bound_count,lower_bound_mean,lower_bound_min,lower_bound_max,upper_bound_total,upper_bound_count,upper_bound_mean,upper_bound_min,upper_bound_max,number_total,number_count,number_mean,number_min,number_max,match_tries,match_hits,match_pct,edge_threshold_tries,edge_threshold_hits,edge_threshold_pct,small_degree_tries,small_degree_hits,small_degree_pct,neighborhood_subset_tries,neighborhood_subset_hits,neighborhood_subset_pct,common_neighbors_tries,common_neighbors_hits,common_neighbors_pct,bounding_tries,bounding_hits,bounding_pct
26,10,25,1,25,25,25,0.0555206,1,0.0555206,0.0555206,0.0555206,6741,1,6741,6741,6741,228,1,228,228,228,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,900,4,0.4,896,228,25.4,668,444,66.5,224,224,100,0,0,0
26,10,26,1,26,26,26,0.000191569,1,0.000191569,0.000191569,0.000191569,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,49,1,49,49,49,0.000264805,1,0.000264805,0.000264805,0.000264805,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,25,1,25,25,25,0.000212599,1,0.000212599,0.000212599,0.000212599,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,37,1,37,37,37,0.000274538,1,0.000274538,0.000274538,0.000274538,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,34,1,34,34,34,0.000193665,1,0.000193665,0.000193665,0.000193665,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,35,1,35,35,35,0.000226216,1,0.000226216,0.000226216,0.000226216,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,31,1,31,31,31,0.000237826,1,0.000237826,0.000237826,0.000237826,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,27,1,27,27,27,0.000200927,1,0.000200927,0.000200927,0.000200927,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,33,1,33,33,33,0.0974662,1,0.0974662,0.0974662,0.0974662,9820,1,9820,9820,9820,178,1,178,178,178,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,1365,16,1.2,1349,174,12.9,1175,1013,86.2,162,162,100,0,0,0
26,10,38,1,38,38,38,0.000247212,1,0.000247212,0.000247212,0.000247212,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10,24,1,24,24,24,0.0305637,1,0.0305637,0.0305637,0.0305637,3671,1,3671,3671,3671,112,1,112,112,112,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,501,11,2.2,490,110,22.4,380,279,73.4,101,101,100,0,0,0
26,10,28,1,28,28,28,0.00024977,1,0.00024977,0.00024977,0.00024977,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
