n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,lower_bound_total,lower_bound_count,lower_bound_mean,lower_bound_min,lower_bound_max,upper_bound_total,upper_bound_count,upper_bound_mean,upper_bound_min,upper_bound_max,number_total,number_count,number_mean,number_min,number_max,match_tries,match_hits,match_pct,edge_threshold_tries,edge_threshold_hits,edge_threshold_pct,small_degree_tries,small_degree_hits,small_degree_pct,neighborhood_subset_tries,neighborhood_subset_hits,neighborhood_subset_pct,common_neighbors_tries,common_neighbors_hits,common_neighbors_pct,bounding_tries,bounding_hits,bounding_pct
30,50,226,1,226,226,226,23.5648,1,23.5648,23.5648,23.5648,319886,1,319886,319886,319886,16582,1,16582,16582,16582,58,1,58,58,58,6,1,6,6,6,8,1,8,8,8,7,1,7,7,7,1,0,0,30662,275,0.9,30387,15,0,30372,14066,46.3,16306,0,0,16306,8027,49.2
30,50,219,1,219,219,219,103.656,1,103.656,103.656,103.656,1822001,1,1.822e+06,1822001,1822001,75389,1,75389,75389,75389,70,1,70,70,70,7,1,7,7,7,8,1,8,8,8,7,1,7,7,7,1,0,0,195938,4355,2.2,191583,183,0.1,191400,120367,62.9,71033,0,0,71033,33342,46.9
30,50,202,1,202,202,202,0.0260237,1,0.0260237,0.0260237,0.0260237,299,1,299,299,299,11,1,11,11,11,8,1,8,8,8,7,1,7,7,7,8,1,8,8,8,7,1,7,7,7,1,0,0,34,1,2.9,33,2,6.1,31,22,71,9,0,0,9,2,22.2
30,50,210,1,210,210,210,48.2608,1,48.2608,48.2608,48.2608,701693,1,701693,701693,701693,36483,1,36483,36483,36483,63,1,63,63,63,6,1,6,6,6,8,1,8,8,8,7,1,7,7,7,1,0,0,66794,329,0.5,66465,12,0,66453,30300,45.6,36153,0,0,36153,17917,49.6
30,50,210,1,210,210,210,54.2222,1,54.2222,54.2222,54.2222,899799,1,899799,899799,899799,42404,1,42404,42404,42404,68,1,68,68,68,6,1,6,6,6,9,1,9,9,9,7,1,7,7,7,1,0,0,90918,1333,1.5,89585,114,0.1,89471,48401,54.1,41070,0,0,41070,19876,48.4
30,50,231,1,231,231,231,177.757,1,177.757,177.757,177.757,2784566,1,2.78457e+06,2784566,2784566,126248,1,126248,126248,126248,74,1,74,74,74,7,1,7,7,7,9,1,9,9,9,7,1,7,7,7,1,0,0,285999,4192,1.5,281807,142,0.1,281665,159610,56.7,122055,0,0,122055,58937,48.3
30,50,211,1,211,211,211,43.4866,1,43.4866,43.4866,43.4866,602783,1,602783,602783,602783,30022,1,30022,30022,30022,62,1,62,62,62,6,1,6,6,6,8,1,8,8,8,7,1,7,7,7,1,0,0,58559,247,0.4,58312,9,0,58303,28529,48.9,29774,0,0,29774,14779,49.6
30,50,203,1,203,203,203,347.427,1,347.427,347.427,347.427,5277747,1,5.27775e+06,5277747,5277747,250788,1,250788,250788,250788,74,1,74,74,74,6,1,6,6,6,9,1,9,9,9,7,1,7,7,7,1,0,0,524616,2729,0.5,521887,56,0,521831,273773,52.5,248058,0,0,248058,122672,49.5
30,50,236,1,236,236,236,0.707466,1,0.707466,0.707466,0.707466,16515,1,16515,16515,16515,698,1,698,698,698,34,1,34,34,34,8,1,8,8,8,10,1,10,10,10,8,1,8,8,8,1,0,0,1844,100,5.4,1744,11,0.6,1733,1136,65.6,597,0,0,597,247,41.4
30,50,209,1,209,209,209,23.1794,1,23.1794,23.1794,23.1794,489707,1,489707,489707,489707,22443,1,22443,22443,22443,65,1,65,65,65,7,1,7,7,7,8,1,8,8,8,7,1,7,7,7,1,0,0,50951,1400,2.7,49551,111,0.2,49440,28398,57.4,21042,0,0,21042,9819,46.7
