n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,steps_total,steps_count,steps_mean,steps_min,steps_max,calls_total,calls_count,calls_mean,calls_min,calls_max,depth_total,depth_count,depth_mean,depth_min,depth_max,lower_bound_total,lower_bound_count,lower_bound_mean,lower_bound_min,lower_bound_max,upper_bound_total,upper_bound_count,upper_bound_mean,upper_bound_min,upper_bound_max,number_total,number_count,number_mean,number_min,number_max,match_tries,match_hits,match_pct,edge_threshold_tries,edge_threshold_hits,edge_threshold_pct,small_degree_tries,small_degree_hits,small_degree_pct,neighborhood_subset_tries,neighborhood_subset_hits,neighborhood_subset_pct,common_neighbors_tries,common_neighbors_hits,common_neighbors_pct,bounding_tries,bounding_hits,bounding_pct
19,10,13,1,13,13,13,0.000110587,1,0.000110587,0.000110587,0.000110587,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,11,1,11,11,11,0.00012326,1,0.00012326,0.00012326,0.00012326,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,13,1,13,13,13,0.00329101,1,0.00329101,0.00329101,0.00329101,447,1,447,447,447,28,1,28,28,28,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,68,14,20.6,54,28,51.9,26,12,46.2,14,14,100,0,0,0
19,10,14,1,14,14,14,0.000140217,1,0.000140217,0.000140217,0.000140217,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,19,1,19,19,19,0.00011079,1,0.00011079,0.00011079,0.00011079,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,17,1,17,17,17,0.000158537,1,0.000158537,0.000158537,0.000158537,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,15,1,15,15,15,0.0021044,1,0.0021044,0.0021044,0.0021044,233,1,233,233,233,12,1,12,12,12,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,32,4,12.5,28,12,42.9,16,8,50,8,8,100,0,0,0
19,10,17,1,17,17,17,0.00508125,1,0.00508125,0.00508125,0.00508125,718,1,718,718,718,34,1,34,34,34,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,99,8,8.1,91,34,37.4,57,31,54.4,26,26,100,0,0,0
19,10,13,1,13,13,13,0.000103203,1,0.000103203,0.000103203,0.000103203,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,17,1,17,17,17,0.000124603,1,0.000124603,0.000124603,0.000124603,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,17,1,17,17,17,0.00782798,1,0.00782798,0.00782798,0.00782798,1169,1,1169,1169,1169,60,1,60,60,60,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,160,12,7.5,148,60,40.5,88,40,45.5,48,48,100,0,0,0
19,10,20,1,20,20,20,0.000159393,1,0.000159393,0.000159393,0.000159393,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,12,1,12,12,12,0.0001291,1,0.0001291,0.0001291,0.0001291,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,18,1,18,18,18,0.000130385,1,0.000130385,0.000130385,0.000130385,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,23,1,23,23,23,0.000157671,1,0.000157671,0.000157671,0.000157671,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,19,1,19,19,19,0.000199693,1,0.000199693,0.000199693,0.000199693,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,22,1,22,22,22,0.000139335,1,0.000139335,0.000139335,0.000139335,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,20,1,20,20,20,0.000128232,1,0.000128232,0.000128232,0.000128232,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,15,1,15,15,15,0.000125795,1,0.000125795,0.000125795,0.000125795,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,7,1,7,7,7,9.8012e-05,1,9.8012e-05,9.8012e-05,9.8012e-05,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,23,1,23,23,23,0.000139069,1,0.000139069,0.000139069,0.000139069,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,16,1,16,16,16,0.000119437,1,0.000119437,0.000119437,0.000119437,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,22,1,22,22,22,0.00602307,1,0.00602307,0.00602307,0.00602307,775,1,775,775,775,24,1,24,24,24,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,104,2,1.9,102,24,23.5,78,56,71.8,22,22,100,0,0,0
19,10,22,1,22,22,22,0.000122391,1,0.000122391,0.000122391,0.000122391,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,16,1,16,16,16,0.000107315,1,0.000107315,0.000107315,0.000107315,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,13,1,13,13,13,0.00372938,1,0.00372938,0.00372938,0.00372938,529,1,529,529,529,34,1,34,34,34,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,80,16,20,64,34,53.1,30,12,40,18,18,100,0,0,0
19,10,16,1,16,16,16,0.00606979,1,0.00606979,0.00606979,0.00606979,907,1,907,907,907,48,1,48,48,48,1,1,1,1,1,2,1,2,2,2,3,1,3,3,3,3,1,3,3,3,1,0,0,142,28,19.7,114,48,42.1,66,46,69.7,20,20,100,0,0,0
19,10,18,1,18,18,18,0.000148679,1,0.000148679,0.000148679,0.000148679,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,19,1,19,19,19,0.000110979,1,0.000110979,0.000110979,0.000110979,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,20,1,20,20,20,0.000164589,1,0.000164589,0.000164589,0.000164589,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,13,1,13,13,13,0.000104474,1,0.000104474,0.000104474,0.000104474,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,13,1,13,13,13,0.000134825,1,0.000134825,0.000134825,0.000134825,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,19,1,19,19,19,0.000188948,1,0.000188948,0.000188948,0.000188948,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,17,1,17,17,17,0.000106612,1,0.000106612,0.000106612,0.000106612,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
