n,p,quick_total,quick_count,quick_mean,quick_min,quick_max,wang_total,wang_count,wang_mean,wang_min,wang_max,zykov_total,zykov_count,zykov_mean,zykov_min,zykov_max
10,50,0.00706375,1,0.00706375,0.00706375,0.00706375,0.00534501,1,0.00534501,0.00534501,0.00534501,0.00357513,1,0.00357513,0.00357513,0.00357513
10,50,0.00504394,1,0.00504394,0.00504394,0.00504394,0.00366932,1,0.00366932,0.00366932,0.00366932,0.00132306,1,0.00132306,0.00132306,0.00132306
10,50,0.0057389,1,0.0057389,0.0057389,0.0057389,0.0047902,1,0.0047902,0.0047902,0.0047902,0.00326043,1,0.00326043,0.00326043,0.00326043
10,50,0.00450895,1,0.00450895,0.00450895,0.00450895,0.00399843,1,0.00399843,0.00399843,0.00399843,0.00326867,1,0.00326867,0.00326867,0.00326867
10,50,0.00693105,1,0.00693105,0.00693105,0.00693105,0.00632291,1,0.00632291,0.00632291,0.00632291,0.00492149,1,0.00492149,0.00492149,0.00492149
10,50,0.0019194,1,0.0019194,0.0019194,0.0019194,0.00148155,1,0.00148155,0.00148155,0.00148155,0.000901884,1,0.000901884,0.000901884,0.000901884
10,50,0.00318238,1,0.00318238,0.00318238,0.00318238,0.0024195,1,0.0024195,0.0024195,0.0024195,0.00123172,1,0.00123172,0.00123172,0.00123172
10,50,0.00188897,1,0.00188897,0.00188897,0.00188897,0.00137155,1,0.00137155,0.00137155,0.00137155,0.000629492,1,0.000629492,0.000629492,0.000629492
10,50,0.00261451,1,0.00261451,0.00261451,0.00261451,0.00193796,1,0.00193796,0.00193796,0.00193796,0.000809497,1,0.000809497,0.000809497,0.000809497
10,50,0.00369303,1,0.00369303,0.00369303,0.00369303,0.00248416,1,0.00248416,0.00248416,0.00248416,0.00107454,1,0.00107454,0.00107454,0.00107454
10,50,0.00397896,1,0.00397896,0.00397896,0.00397896,0.00347676,1,0.00347676,0.00347676,0.00347676,0.0026431,1,0.0026431,0.0026431,0.0026431
10,50,0.0017355,1,0.0017355,0.0017355,0.0017355,0.00129407,1,0.00129407,0.00129407,0.00129407,0.000419687,1,0.000419687,0.000419687,0.000419687
10,50,0.0021043,1,0.0021043,0.0021043,0.0021043,0.00129444,1,0.00129444,0.00129444,0.00129444,0.000265482,1,0.000265482,0.000265482,0.000265482
10,50,0.0021416,1,0.0021416,0.0021416,0.0021416,0.00140858,1,0.00140858,0.00140858,0.00140858,0.00022836,1,0.00022836,0.00022836,0.00022836
10,50,0.00909455,1,0.00909455,0.00909455,0.00909455,0.00860531,1,0.00860531,0.00860531,0.00860531,0.00763455,1,0.00763455,0.00763455,0.00763455
10,50,0.00292605,1,0.00292605,0.00292605,0.00292605,0.0021337,1,0.0021337,0.0021337,0.0021337,0.00138671,1,0.00138671,0.00138671,0.00138671
10,50,0.00443798,1,0.00443798,0.00443798,0.00443798,0.00350802,1,0.00350802,0.00350802,0.00350802,0.00222241,1,0.00222241,0.00222241,0.00222241
