n,p,quick_total,quick_count,quick_mean,quick_min,quick_max,wang_total,wang_count,wang_mean,wang_min,wang_max,zykov_total,zykov_count,zykov_mean,zykov_min,zykov_max
13,80,0.00492491,1,0.00492491,0.00492491,0.00492491,0.00369771,1,0.00369771,0.00369771,0.00369771,0.00182043,1,0.00182043,0.00182043,0.00182043
13,80,0.00620721,1,0.00620721,0.00620721,0.00620721,0.0038774,1,0.0038774,0.0038774,0.0038774,0.00242017,1,0.00242017,0.00242017,0.00242017
13,80,0.00901972,1,0.00901972,0.00901972,0.00901972,0.00799618,1,0.00799618,0.00799618,0.00799618,0.00569505,1,0.00569505,0.00569505,0.00569505
13,80,0.00465185,1,0.00465185,0.00465185,0.00465185,0.00316145,1,0.00316145,0.00316145,0.00316145,0.00220554,1,0.00220554,0.00220554,0.00220554
13,80,0.00815077,1,0.00815077,0.00815077,0.00815077,0.00588813,1,0.00588813,0.00588813,0.00588813,0.00363726,1,0.00363726,0.00363726,0.00363726
13,80,0.00465028,1,0.00465028,0.00465028,0.00465028,0.00355482,1,0.00355482,0.00355482,0.00355482,0.00191946,1,0.00191946,0.00191946,0.00191946
13,80,0.014656,1,0.014656,0.014656,0.014656,0.0137079,1,0.0137079,0.0137079,0.0137079,0.0117235,1,0.0117235,0.0117235,0.0117235
13,80,0.0152986,1,0.0152986,0.0152986,0.0152986,0.0140104,1,0.0140104,0.0140104,0.0140104,0.00878485,1,0.00878485,0.00878485,0.00878485
13,80,0.00791443,1,0.00791443,0.00791443,0.00791443,0.00376749,1,0.00376749,0.00376749,0.00376749,0.00165794,1,0.00165794,0.00165794,0.00165794
13,80,0.0044645,1,0.0044645,0.0044645,0.0044645,0.00347533,1,0.00347533,0.00347533,0.00347533,0.00204162,1,0.00204162,0.00204162,0.00204162
13,80,0.0160537,1,0.0160537,0.0160537,0.0160537,0.0151815,1,0.0151815,0.0151815,0.0151815,0.0130692,1,0.0130692,0.0130692,0.0130692
13,80,0.00342861,1,0.00342861,0.00342861,0.00342861,0.00219927,1,0.00219927,0.00219927,0.00219927,0.000930877,1,0.000930877,0.000930877,0.000930877
