n,p,quick_total,quick_count,quick_mean,quick_min,quick_max,wang_total,wang_count,wang_mean,wang_min,wang_max,zykov_total,zykov_count,zykov_mean,zykov_min,zykov_max
13,30,0.00799989,1,0.00799989,0.00799989,0.00799989,0.00612428,1,0.00612428,0.00612428,0.00612428,0.00294086,1,0.00294086,0.00294086,0.00294086
13,30,0.0540184,1,0.0540184,0.0540184,0.0540184,0.0531173,1,0.0531173,0.0531173,0.0531173,0.0504767,1,0.0504767,0.0504767,0.0504767
13,30,0.0185581,1,0.0185581,0.0185581,0.0185581,0.0174189,1,0.0174189,0.0174189,0.0174189,0.0139045,1,0.0139045,0.0139045,0.0139045
13,30,0.0115379,1,0.0115379,0.0115379,0.0115379,0.0105944,1,0.0105944,0.0105944,0.0105944,0.00847856,1,0.00847856,0.00847856,0.00847856
13,30,0.00965279,1,0.00965279,0.00965279,0.00965279,0.00815271,1,0.00815271,0.00815271,0.00815271,0.00584441,1,0.00584441,0.00584441,0.00584441
13,30,0.00620954,1,0.00620954,0.00620954,0.00620954,0.00502944,1,0.00502944,0.00502944,0.00502944,0.00283342,1,0.00283342,0.00283342,0.00283342
13,30,0.012647,1,0.012647,0.012647,0.012647,0.0118602,1,0.0118602,0.0118602,0.0118602,0.0106426,1,0.0106426,0.0106426,0.0106426
13,30,0.00375597,1,0.00375597,0.00375597,0.00375597,0.00265739,1,0.00265739,0.00265739,0.00265739,0.00130624,1,0.00130624,0.00130624,0.00130624
13,30,0.0346572,1,0.0346572,0.0346572,0.0346572,0.0324318,1,0.0324318,0.0324318,0.0324318,0.0260947,1,0.0260947,0.0260947,0.0260947
13,30,0.0107146,1,0.0107146,0.0107146,0.0107146,0.00979937,1,0.00979937,0.00979937,0.00979937,0.00645349,1,0.00645349,0.00645349,0.00645349
13,30,0.0440311,1,0.0440311,0.0440311,0.0440311,0.0428899,1,0.0428899,0.0428899,0.0428899,0.0378512,1,0.0378512,0.0378512,0.0378512
13,30,0.0090937,1,0.0090937,0.0090937,0.0090937,0.00814187,1,0.00814187,0.00814187,0.00814187,0.00542793,1,0.00542793,0.00542793,0.00542793
13,30,0.00983298,1,0.00983298,0.00983298,0.00983298,0.00804878,1,0.00804878,0.00804878,0.00804878,0.00508223,1,0.00508223,0.00508223,0.00508223
13,30,0.0162926,1,0.0162926,0.0162926,0.0162926,0.0153497,1,0.0153497,0.0153497,0.0153497,0.0129251,1,0.0129251,0.0129251,0.0129251
13,30,0.0111282,1,0.0111282,0.0111282,0.0111282,0.00951719,1,0.00951719,0.00951719,0.00951719,0.0047293,1,0.0047293,0.0047293,0.0047293
13,30,0.0131223,1,0.0131223,0.0131223,0.0131223,0.0116608,1,0.0116608,0.0116608,0.0116608,0.00738613,1,0.00738613,0.00738613,0.00738613
13,30,0.0037451,1,0.0037451,0.0037451,0.0037451,0.0026354,1,0.0026354,0.0026354,0.0026354,0.00126782,1,0.00126782,0.00126782,0.00126782
13,30,0.00295487,1,0.00295487,0.00295487,0.00295487,0.00215959,1,0.00215959,0.00215959,0.00215959,0.000946124,1,0.000946124,0.000946124,0.000946124
13,30,0.015861,1,0.015861,0.015861,0.015861,0.0137556,1,0.0137556,0.0137556,0.0137556,0.00956641,1,0.00956641,0.00956641,0.00956641
13,30,0.00716852,1,0.00716852,0.00716852,0.00716852,0.00550471,1,0.00550471,0.00550471,0.00550471,0.00245607,1,0.00245607,0.00245607,0.00245607
13,30,0.0212565,1,0.0212565,0.0212565,0.0212565,0.0204485,1,0.0204485,0.0204485,0.0204485,0.018329,1,0.018329,0.018329,0.018329
13,30,0.0505027,1,0.0505027,0.0505027,0.0505027,0.0493386,1,0.0493386,0.0493386,0.0493386,0.0466254,1,0.0466254,0.0466254,0.0466254
13,30,0.0142674,1,0.0142674,0.0142674,0.0142674,0.0129056,1,0.0129056,0.0129056,0.0129056,0.00709585,1,0.00709585,0.00709585,0.00709585
13,30,0.0103119,1,0.0103119,0.0103119,0.0103119,0.00845217,1,0.00845217,0.00845217,0.00845217,0.00412181,1,0.00412181,0.00412181,0.00412181
13,30,0.0128418,1,0.0128418,0.0128418,0.0128418,0.0121101,1,0.0121101,0.0121101,0.0121101,0.00967985,1,0.00967985,0.00967985,0.00967985
13,30,0.567548,1,0.567548,0.567548,0.567548,0.566621,1,0.566621,0.566621,0.566621,0.564082,1,0.564082,0.564082,0.564082
13,30,0.0551755,1,0.0551755,0.0551755,0.0551755,0.0542041,1,0.0542041,0.0542041,0.0542041,0.0505627,1,0.0505627,0.0505627,0.0505627
13,30,0.0163534,1,0.0163534,0.0163534,0.0163534,0.0151478,1,0.0151478,0.0151478,0.0151478,0.0127235,1,0.0127235,0.0127235,0.0127235
13,30,0.00850168,1,0.00850168,0.00850168,0.00850168,0.00754035,1,0.00754035,0.00754035,0.00754035,0.00562723,1,0.00562723,0.00562723,0.00562723
13,30,0.0625821,1,0.0625821,0.0625821,0.0625821,0.061779,1,0.061779,0.061779,0.061779,0.0600249,1,0.0600249,0.0600249,0.0600249
13,30,0.00666968,1,0.00666968,0.00666968,0.00666968,0.00560094,1,0.00560094,0.00560094,0.00560094,0.00291196,1,0.00291196,0.00291196,0.00291196
13,30,0.00664987,1,0.00664987,0.00664987,0.00664987,0.00484425,1,0.00484425,0.00484425,0.00484425,0.00185058,1,0.00185058,0.00185058,0.00185058
13,30,0.0268759,1,0.0268759,0.0268759,0.0268759,0.0250917,1,0.0250917,0.0250917,0.0250917,0.0201055,1,0.0201055,0.0201055,0.0201055
13,30,0.0741673,1,0.0741673,0.0741673,0.0741673,0.0733992,1,0.0733992,0.0733992,0.0733992,0.0719428,1,0.0719428,0.0719428,0.0719428
13,30,0.0079482,1,0.0079482,0.0079482,0.0079482,0.00553989,1,0.00553989,0.00553989,0.00553989,0.000785284,1,0.000785284,0.000785284,0.000785284
13,30,0.396087,1,0.396087,0.396087,0.396087,0.393442,1,0.393442,0.393442,0.393442,0.388974,1,0.388974,0.388974,0.388974
13,30,0.0529307,1,0.0529307,0.0529307,0.0529307,0.0523581,1,0.0523581,0.0523581,0.0523581,0.0515745,1,0.0515745,0.0515745,0.0515745
13,30,0.0171006,1,0.0171006,0.0171006,0.0171006,0.0161636,1,0.0161636,0.0161636,0.0161636,0.0118945,1,0.0118945,0.0118945,0.0118945
13,30,0.0186452,1,0.0186452,0.0186452,0.0186452,0.0156967,1,0.0156967,0.0156967,0.0156967,0.00824839,1,0.00824839,0.00824839,0.00824839
13,30,0.0187312,1,0.0187312,0.0187312,0.0187312,0.0175879,1,0.0175879,0.0175879,0.0175879,0.0153438,1,0.0153438,0.0153438,0.0153438
13,30,0.0080758,1,0.0080758,0.0080758,0.0080758,0.00590244,1,0.00590244,0.00590244,0.00590244,0.000549859,1,0.000549859,0.000549859,0.000549859
13,30,0.0333992,1,0.0333992,0.0333992,0.0333992,0.0322225,1,0.0322225,0.0322225,0.0322225,0.0252991,1,0.0252991,0.0252991,0.0252991
13,30,0.0177174,1,0.0177174,0.0177174,0.0177174,0.0155214,1,0.0155214,0.0155214,0.0155214,0.0132129,1,0.0132129,0.0132129,0.0132129
13,30,0.0136679,1,0.0136679,0.0136679,0.0136679,0.0126559,1,0.0126559,0.0126559,0.0126559,0.00913049,1,0.00913049,0.00913049,0.00913049
13,30,0.039035,1,0.039035,0.039035,0.039035,0.0383552,1,0.0383552,0.0383552,0.0383552,0.0368691,1,0.0368691,0.0368691,0.0368691
13,30,0.00949064,1,0.00949064,0.00949064,0.00949064,0.00709889,1,0.00709889,0.00709889,0.00709889,0.00258768,1,0.00258768,0.00258768,0.00258768
13,30,0.0135572,1,0.0135572,0.0135572,0.0135572,0.0125343,1,0.0125343,0.0125343,0.0125343,0.00850038,1,0.00850038,0.00850038,0.00850038
13,30,0.00743258,1,0.00743258,0.00743258,0.00743258,0.00686442,1,0.00686442,0.00686442,0.00686442,0.00580386,1,0.00580386,0.00580386,0.00580386
13,30,0.0156041,1,0.0156041,0.0156041,0.0156041,0.0141522,1,0.0141522,0.0141522,0.0141522,0.0110706,1,0.0110706,0.0110706,0.0110706
13,30,0.0158815,1,0.0158815,0.0158815,0.0158815,0.0149544,1,0.0149544,0.0149544,0.0149544,0.0122634,1,0.0122634,0.0122634,0.0122634
13,30,0.011698,1,0.011698,0.011698,0.011698,0.0104891,1,0.0104891,0.0104891,0.0104891,0.00827381,1,0.00827381,0.00827381,0.00827381
13,30,0.0104526,1,0.0104526,0.0104526,0.0104526,0.00944834,1,0.00944834,0.00944834,0.00944834,0.00695959,1,0.00695959,0.00695959,0.00695959
13,30,0.0524751,1,0.0524751,0.0524751,0.0524751,0.0516314,1,0.0516314,0.0516314,0.0516314,0.049734,1,0.049734,0.049734,0.049734
13,30,0.011406,1,0.011406,0.011406,0.011406,0.0105492,1,0.0105492,0.0105492,0.0105492,0.00822189,1,0.00822189,0.00822189,0.00822189
13,30,0.0128885,1,0.0128885,0.0128885,0.0128885,0.0102859,1,0.0102859,0.0102859,0.0102859,0.00625385,1,0.00625385,0.00625385,0.00625385
13,30,0.0112894,1,0.0112894,0.0112894,0.0112894,0.00863608,1,0.00863608,0.00863608,0.00863608,0.00483907,1,0.00483907,0.00483907,0.00483907
13,30,0.0163014,1,0.0163014,0.0163014,0.0163014,0.0138609,1,0.0138609,0.0138609,0.0138609,0.00808139,1,0.00808139,0.00808139,0.00808139
13,30,0.00934157,1,0.00934157,0.00934157,0.00934157,0.00857135,1,0.00857135,0.00857135,0.00857135,0.00533263,1,0.00533263,0.00533263,0.00533263
13,30,0.0102367,1,0.0102367,0.0102367,0.0102367,0.00785616,1,0.00785616,0.00785616,0.00785616,0.0022697,1,0.0022697,0.0022697,0.0022697
13,30,0.00972243,1,0.00972243,0.00972243,0.00972243,0.00842388,1,0.00842388,0.00842388,0.00842388,0.00633941,1,0.00633941,0.00633941,0.00633941
13,30,0.0269698,1,0.0269698,0.0269698,0.0269698,0.0261394,1,0.0261394,0.0261394,0.0261394,0.0236884,1,0.0236884,0.0236884,0.0236884
13,30,0.0122591,1,0.0122591,0.0122591,0.0122591,0.0104615,1,0.0104615,0.0104615,0.0104615,0.00678292,1,0.00678292,0.00678292,0.00678292
13,30,0.0129772,1,0.0129772,0.0129772,0.0129772,0.0108411,1,0.0108411,0.0108411,0.0108411,0.00685505,1,0.00685505,0.00685505,0.00685505
13,30,0.00709031,1,0.00709031,0.00709031,0.00709031,0.00605882,1,0.00605882,0.00605882,0.00605882,0.00439805,1,0.00439805,0.00439805,0.00439805
13,30,0.0367108,1,0.0367108,0.0367108,0.0367108,0.0359493,1,0.0359493,0.0359493,0.0359493,0.0341069,1,0.0341069,0.0341069,0.0341069
13,30,0.0176717,1,0.0176717,0.0176717,0.0176717,0.0165228,1,0.0165228,0.0165228,0.0165228,0.0125523,1,0.0125523,0.0125523,0.0125523
13,30,0.00864176,1,0.00864176,0.00864176,0.00864176,0.00722958,1,0.00722958,0.00722958,0.00722958,0.00416189,1,0.00416189,0.00416189,0.00416189
13,30,0.0114593,1,0.0114593,0.0114593,0.0114593,0.0091694,1,0.0091694,0.0091694,0.0091694,0.0023678,1,0.0023678,0.0023678,0.0023678
13,30,0.0189823,1,0.0189823,0.0189823,0.0189823,0.0178995,1,0.0178995,0.0178995,0.0178995,0.014447,1,0.014447,0.014447,0.014447
13,30,0.00442412,1,0.00442412,0.00442412,0.00442412,0.00337174,1,0.00337174,0.00337174,0.00337174,0.00230463,1,0.00230463,0.00230463,0.00230463
13,30,0.059943,1,0.059943,0.059943,0.059943,0.0588694,1,0.0588694,0.0588694,0.0588694,0.0556549,1,0.0556549,0.0556549,0.0556549
13,30,0.017811,1,0.017811,0.017811,0.017811,0.0168663,1,0.0168663,0.0168663,0.0168663,0.0132331,1,0.0132331,0.0132331,0.0132331
13,30,0.0107531,1,0.0107531,0.0107531,0.0107531,0.00981667,1,0.00981667,0.00981667,0.00981667,0.00787774,1,0.00787774,0.00787774,0.00787774
13,30,0.013245,1,0.013245,0.013245,0.013245,0.0105956,1,0.0105956,0.0105956,0.0105956,0.00590744,1,0.00590744,0.00590744,0.00590744
13,30,0.00355318,1,0.00355318,0.00355318,0.00355318,0.0027891,1,0.0027891,0.0027891,0.0027891,0.00131657,1,0.00131657,0.00131657,0.00131657
13,30,0.0047205,1,0.0047205,0.0047205,0.0047205,0.0035656,1,0.0035656,0.0035656,0.0035656,0.000391318,1,0.000391318,0.000391318,0.000391318
13,30,0.0248194,1,0.0248194,0.0248194,0.0248194,0.0236569,1,0.0236569,0.0236569,0.0236569,0.0201862,1,0.0201862,0.0201862,0.0201862
13,30,0.00893229,1,0.00893229,0.00893229,0.00893229,0.00786176,1,0.00786176,0.00786176,0.00786176,0.00663246,1,0.00663246,0.00663246,0.00663246
13,30,0.0129491,1,0.0129491,0.0129491,0.0129491,0.00997,1,0.00997,0.00997,0.00997,0.00502383,1,0.00502383,0.00502383,0.00502383
13,30,0.0141613,1,0.0141613,0.0141613,0.0141613,0.0135649,1,0.0135649,0.0135649,0.0135649,0.0125355,1,0.0125355,0.0125355,0.0125355
