n,p,quick_total,quick_count,quick_mean,quick_min,quick_max,wang_total,wang_count,wang_mean,wang_min,wang_max,zykov_total,zykov_count,zykov_mean,zykov_min,zykov_max
11,80,0.00347894,1,0.00347894,0.00347894,0.00347894,0.00254795,1,0.00254795,0.00254795,0.00254795,0.00121871,1,0.00121871,0.00121871,0.00121871
11,80,0.00207898,1,0.00207898,0.00207898,0.00207898,0.00135803,1,0.00135803,0.00135803,0.00135803,0.000814069,1,0.000814069,0.000814069,0.000814069
11,80,0.00356789,1,0.00356789,0.00356789,0.00356789,0.00233808,1,0.00233808,0.00233808,0.00233808,0.00121081,1,0.00121081,0.00121081,0.00121081
11,80,0.00271991,1,0.00271991,0.00271991,0.00271991,0.00204235,1,0.00204235,0.00204235,0.00204235,0.00103055,1,0.00103055,0.00103055,0.00103055
11,80,0.00251911,1,0.00251911,0.00251911,0.00251911,0.0013991,1,0.0013991,0.0013991,0.0013991,0.000658574,1,0.000658574,0.000658574,0.000658574
11,80,0.00412482,1,0.00412482,0.00412482,0.00412482,0.00296267,1,0.00296267,0.00296267,0.00296267,0.00170483,1,0.00170483,0.00170483,0.00170483
11,80,0.00375327,1,0.00375327,0.00375327,0.00375327,0.00238447,1,0.00238447,0.00238447,0.00238447,0.0014064,1,0.0014064,0.0014064,0.0014064
11,80,0.00464637,1,0.00464637,0.00464637,0.00464637,0.00386362,1,0.00386362,0.00386362,0.00386362,0.00287781,1,0.00287781,0.00287781,0.00287781
11,80,0.00291844,1,0.00291844,0.00291844,0.00291844,0.00195971,1,0.00195971,0.00195971,0.00195971,0.000996424,1,0.000996424,0.000996424,0.000996424
11,80,0.00302298,1,0.00302298,0.00302298,0.00302298,0.00201218,1,0.00201218,0.00201218,0.00201218,0.00125204,1,0.00125204,0.00125204,0.00125204
11,80,0.00241129,1,0.00241129,0.00241129,0.00241129,0.00148672,1,0.00148672,0.00148672,0.00148672,0.000949974,1,0.000949974,0.000949974,0.000949974
