n,p,quick_total,quick_count,quick_mean,quick_min,quick_max,wang_total,wang_count,wang_mean,wang_min,wang_max,zykov_total,zykov_count,zykov_mean,zykov_min,zykov_max
18,40,0.446976,1,0.446976,0.446976,0.446976,0.4433,1,0.4433,0.4433,0.4433,0.378416,1,0.378416,0.378416,0.378416
18,40,0.309453,1,0.309453,0.309453,0.309453,0.297759,1,0.297759,0.297759,0.297759,0.250321,1,0.250321,0.250321,0.250321
18,40,0.187241,1,0.187241,0.187241,0.187241,0.164421,1,0.164421,0.164421,0.164421,0.082001,1,0.082001,0.082001,0.082001
18,40,0.0963933,1,0.0963933,0.0963933,0.0963933,0.0890748,1,0.0890748,0.0890748,0.0890748,0.0179585,1,0.0179585,0.0179585,0.0179585
18,40,0.411774,1,0.411774,0.411774,0.411774,0.408563,1,0.408563,0.408563,0.408563,0.346099,1,0.346099,0.346099,0.346099
18,40,0.294004,1,0.294004,0.294004,0.294004,0.2683,1,0.2683,0.2683,0.2683,0.106483,1,0.106483,0.106483,0.106483
18,40,0.242172,1,0.242172,0.242172,0.242172,0.232181,1,0.232181,0.232181,0.232181,0.160486,1,0.160486,0.160486,0.160486
18,40,0.033837,1,0.033837,0.033837,0.033837,0.0299221,1,0.0299221,0.0299221,0.0299221,0.0140118,1,0.0140118,0.0140118,0.0140118
18,40,0.176445,1,0.176445,0.176445,0.176445,0.162421,1,0.162421,0.162421,0.162421,0.101623,1,0.101623,0.101623,0.101623
18,40,0.118444,1,0.118444,0.118444,0.118444,0.112609,1,0.112609,0.112609,0.112609,0.0923924,1,0.0923924,0.0923924,0.0923924
18,40,0.0633879,1,0.0633879,0.0633879,0.0633879,0.0513019,1,0.0513019,0.0513019,0.0513019,0.00772639,1,0.00772639,0.00772639,0.00772639
18,40,0.103021,1,0.103021,0.103021,0.103021,0.0911291,1,0.0911291,0.0911291,0.0911291,0.022008,1,0.022008,0.022008,0.022008
18,40,0.317959,1,0.317959,0.317959,0.317959,0.301476,1,0.301476,0.301476,0.301476,0.208039,1,0.208039,0.208039,0.208039
18,40,0.243154,1,0.243154,0.243154,0.243154,0.223539,1,0.223539,0.223539,0.223539,0.143684,1,0.143684,0.143684,0.143684
18,40,0.163684,1,0.163684,0.163684,0.163684,0.158628,1,0.158628,0.158628,0.158628,0.113068,1,0.113068,0.113068,0.113068
18,40,4.40823,1,4.40823,4.40823,4.40823,4.40499,1,4.40499,4.40499,4.40499,4.31183,1,4.31183,4.31183,4.31183
18,40,0.303722,1,0.303722,0.303722,0.303722,0.299739,1,0.299739,0.299739,0.299739,0.235431,1,0.235431,0.235431,0.235431
18,40,28.6184,1,28.6184,28.6184,28.6184,28.6019,1,28.6019,28.6019,28.6019,28.5607,1,28.5607,28.5607,28.5607
18,40,0.419671,1,0.419671,0.419671,0.419671,0.405906,1,0.405906,0.405906,0.405906,0.380494,1,0.380494,0.380494,0.380494
18,40,0.0392769,1,0.0392769,0.0392769,0.0392769,0.0346282,1,0.0346282,0.0346282,0.0346282,0.0137577,1,0.0137577,0.0137577,0.0137577
18,40,0.178583,1,0.178583,0.178583,0.178583,0.161194,1,0.161194,0.161194,0.161194,0.0805815,1,0.0805815,0.0805815,0.0805815
